
[00:00:00.000 --> 00:00:01.440]  各位靖姊妹平安
[00:00:01.440 --> 00:00:08.840]  很多謝師班剛才為我們獻唱這一首詞的自命
[00:00:08.840 --> 00:00:13.920]  很記得這首詩歌都是小弟當年在神學院
[00:00:13.920 --> 00:00:19.400]  有機會在一個師班裏面一起集體獻唱
[00:00:19.400 --> 00:00:23.200]  沒有記錯的這首歌是
[00:00:23.200 --> 00:00:27.840]  已故當時的院長劉福群牧師所作的
[00:00:28.600 --> 00:00:31.880]  想起劉福群牧師我沒有機會見過他
[00:00:31.880 --> 00:00:37.080]  但在神學院裏面見過很多不同的西教士教導我們
[00:00:37.080 --> 00:00:42.640]  很覺得這首詩歌能夠將他們的精神講出來
[00:00:42.640 --> 00:00:47.120]  就是要去洗萬民座的門徒
[00:00:47.120 --> 00:00:51.160]  突然今天早上踏入十月的時候
[00:00:51.160 --> 00:00:55.400]  在教會一連四個主日
[00:00:55.720 --> 00:00:59.960]  都在猜拳方面、傳福音方面、宣教方面
[00:00:59.960 --> 00:01:02.080]  想跟大家去思想
[00:01:02.080 --> 00:01:03.920]  特別是在港台的訊息
[00:01:03.920 --> 00:01:11.760]  今早我願意以「門徒」這兩個字
[00:01:11.760 --> 00:01:14.280]  來去成為大家一起的思想
[00:01:14.280 --> 00:01:20.800]  讓我們先讀一讀我們耳熟能詳的《馬太福音》第28章
[00:01:20.800 --> 00:01:23.120]  大家會讀十九二十節
[00:01:23.440 --> 00:01:26.240]  我會將十六至十八節一重讀出
[00:01:26.240 --> 00:01:28.640]  然後大家讀十九二十節
[00:01:28.640 --> 00:01:32.520]  這裏這樣說
[00:01:32.520 --> 00:01:35.440]  「十一個門徒往加利尼去
[00:01:35.440 --> 00:01:38.440]  到了耶穌約定的山上面
[00:01:38.440 --> 00:01:41.560]  他們見了耶穌就拜祂
[00:01:41.560 --> 00:01:43.880]  然而還有人疑惑
[00:01:43.880 --> 00:01:47.840]  耶穌就進前來對他們說
[00:01:47.840 --> 00:01:53.360]  天上地下所有的權柄都賜給我了
[00:01:53.600 --> 00:01:54.160]  請讀
[00:01:54.160 --> 00:01:58.640]  所以你們要去施壓民族的那些門徒
[00:01:58.640 --> 00:02:02.560]  毫不顧之聖地給予他們屍體
[00:02:02.560 --> 00:02:07.320]  反我所吩咐的你們的道教給他們遵守
[00:02:07.320 --> 00:02:09.680]  我就尚與你們同在
[00:02:09.680 --> 00:02:11.920]  直到世界的榮耀」
[00:02:11.920 --> 00:02:14.080]  讓我們一起低頭禱告
[00:02:14.080 --> 00:02:19.680]  「無在如經上所記
[00:02:20.840 --> 00:02:25.520]  神為愛祂的人所預備的是眼睛未曾看見
[00:02:25.520 --> 00:02:28.440]  耳朵未曾聽見
[00:02:28.440 --> 00:02:31.400]  人心也未曾想到的
[00:02:31.400 --> 00:02:35.480]  就是主釘十架榮耀的舊恩」
[00:02:35.480 --> 00:02:37.720]  神我們多謝祢
[00:02:37.720 --> 00:02:42.960]  今日如果不是有眾多的先賢宣教士
[00:02:42.960 --> 00:02:44.960]  他們踏足中國
[00:02:44.960 --> 00:02:47.160]  以至今日我們沒有辦法
[00:02:47.160 --> 00:02:50.120]  可以坐在祢面前自由的敬拜
[00:02:50.480 --> 00:02:52.680]  認識真理、認識真神
[00:02:52.680 --> 00:02:57.320]  求主就幫助我們在這一間安靜己深
[00:02:57.320 --> 00:03:05.200]  除去生命裡面種種纏繞、攪擾、纏累我們的事
[00:03:05.200 --> 00:03:07.000]  即或多重要
[00:03:07.000 --> 00:03:10.720]  但都無礙我們今日在主面前聽到
[00:03:10.720 --> 00:03:14.000]  願聖靈陪伴我們進入真理
[00:03:14.000 --> 00:03:18.280]  提醒我們、引導我們、鼓勵我們
[00:03:19.200 --> 00:03:21.560]  因為真理使我們得自由
[00:03:21.560 --> 00:03:24.720]  但願我們能夠在生活中
[00:03:24.720 --> 00:03:29.160]  成為更有力的見證人和跟隨者
[00:03:29.160 --> 00:03:30.800]  我們這樣禱告
[00:03:30.800 --> 00:03:34.240]  是奉群洋大牧者耶穌基督的名求
[00:03:34.240 --> 00:03:35.040]  阿們
[00:03:35.040 --> 00:03:44.080]  2007年是馬禮信一位的西教士、宣教士
[00:03:44.080 --> 00:03:46.280]  來華一百年
[00:03:47.800 --> 00:03:49.360]  在這段日子裡面
[00:03:49.360 --> 00:03:51.280]  我們會見到
[00:03:51.280 --> 00:03:53.840]  在當中講座裡面
[00:03:53.840 --> 00:03:56.680]  用了特別一個標題來有一個講
[00:03:56.680 --> 00:03:59.280]  是講到馬禮信的生命
[00:03:59.280 --> 00:04:03.520]  就是孤獨的傳道者
[00:04:03.520 --> 00:04:05.560]  怎樣孤獨呢?
[00:04:05.560 --> 00:04:09.520]  在1807年當他被差派
[00:04:09.520 --> 00:04:11.440]  當時他二十五歲
[00:04:11.440 --> 00:04:15.160]  由倫敦差會差派他來到中國的時候
[00:04:17.080 --> 00:04:19.920]  他在出發前的兩天這樣寫
[00:04:19.920 --> 00:04:23.000]  他說:「上帝啊,只有我一個人
[00:04:23.000 --> 00:04:25.760]  將獨自前往中國
[00:04:25.760 --> 00:04:28.440]  願意我不是一個人出發
[00:04:28.440 --> 00:04:32.800]  上帝啊,我信靠祢持我的手的參附
[00:04:32.800 --> 00:04:36.600]  亦都靠祢差派天使在我面前出現」
[00:04:36.600 --> 00:04:39.520]  遺憾的是
[00:04:39.520 --> 00:04:43.000]  在往後的十年都沒有任何的天使出現
[00:04:43.000 --> 00:04:45.480]  只有馬禮信
[00:04:46.000 --> 00:04:50.480]  當他在一個經過二百天的水路
[00:04:50.480 --> 00:04:52.480]  輾轉來到澳門
[00:04:52.480 --> 00:04:57.480]  再跟他所受僱他的東印度草種公司
[00:04:57.480 --> 00:05:00.760]  進入這個廣州做一個翻譯員的時候
[00:05:00.760 --> 00:05:03.640]  十年之久
[00:05:03.640 --> 00:05:05.800]  都沒有任何人
[00:05:05.800 --> 00:05:08.280]  後來他在1807年固然
[00:05:08.280 --> 00:05:10.240]  他將新婚的太太接過來
[00:05:10.240 --> 00:05:13.800]  但只能夠在澳門這個地方住
