
[00:00:00.000 --> 00:00:02.500]  鄧小妹好 網上的鄧小妹也好
[00:00:02.500 --> 00:00:04.000]  在這裡問大家安安
[00:00:04.000 --> 00:00:07.380]  讓我們在再次聆聽主的說話以先
[00:00:07.380 --> 00:00:09.880]  讓我們一起同襯低頭禱告
[00:00:09.880 --> 00:00:12.080]  將我們的新心靈交給我們的主
[00:00:12.080 --> 00:00:14.080]  多謝神
[00:00:14.080 --> 00:00:15.080]  慈悲的父神多謝祢
[00:00:15.080 --> 00:00:20.080]  讓我們再次回到祢的啟示當中去學習
[00:00:20.080 --> 00:00:25.580]  並且從當中去認識上主祢的性情
[00:00:25.580 --> 00:00:30.080]  並且看見上主祢的救恩計劃
[00:00:30.080 --> 00:00:38.080]  怎樣從祢創造以後一直到今天仍然在生效
[00:00:38.080 --> 00:00:44.580]  怎樣在我們每一個屬祢的真正神的兒女裡面
[00:00:44.580 --> 00:00:47.580]  能夠生根建造
[00:00:47.580 --> 00:00:51.080]  好讓我們重歸於創造的原樣
[00:00:51.080 --> 00:00:53.580]  我們為此獻上感恩
[00:00:53.580 --> 00:00:55.080]  求祢的帶領
[00:00:55.080 --> 00:00:59.580]  讓每一個無論是聽的、說的
[00:00:59.580 --> 00:01:03.580]  都能夠在今天這個訊息當中
[00:01:03.580 --> 00:01:07.080]  讓我們重新去明白到
[00:01:07.080 --> 00:01:10.580]  我們怎樣走面前的屬靈的道路
[00:01:10.580 --> 00:01:13.580]  禱告奉靠主耶穌基督
[00:01:13.580 --> 00:01:16.080]  北聖的名字而行
[00:01:16.080 --> 00:01:18.080]  阿門
[00:01:18.080 --> 00:01:23.080]  今天在教會裡面其實很多人
[00:01:23.080 --> 00:01:28.080]  是處於一種不信主的狀態
[00:01:28.080 --> 00:01:32.080]  當他們在這種狀態之下
[00:01:32.080 --> 00:01:40.080]  比不信主的人的表現更加可怕和可憐
[00:01:40.080 --> 00:01:43.080]  我一直都認為
[00:01:43.080 --> 00:01:45.080]  所信的東西
[00:01:45.080 --> 00:01:49.080]  是需要清楚從聖經作為基礎
[00:01:49.080 --> 00:01:53.080]  但是對於很多這些不信主的人
[00:01:53.080 --> 00:01:55.080]  錯了
[00:01:55.080 --> 00:01:57.080]  誤打誤撞
[00:01:57.080 --> 00:01:59.080]  以為自己信了主的人
[00:01:59.080 --> 00:02:01.080]  他有一些特色
[00:02:01.080 --> 00:02:06.080]  他認為他自己所信的東西全部都是對的
[00:02:06.080 --> 00:02:10.080]  不會去檢查也不會去監察一下
[00:02:10.080 --> 00:02:14.080]  聖經和他自己信的東西有什麼分別
[00:02:14.080 --> 00:02:20.080]  他於是乎認為只需要我在教會裡面做到某一些程度
[00:02:20.080 --> 00:02:22.080]  或者參與某一些活動
[00:02:22.080 --> 00:02:27.080]  我們就已經信得很無比的正確
[00:02:27.080 --> 00:02:32.080]  他以為他自己所認信的所謂基督教的教義
[00:02:32.080 --> 00:02:35.080]  是毫無瑕疵的
[00:02:35.080 --> 00:02:37.080]  錯的是其他人而已
[00:02:37.080 --> 00:02:39.080]  不會是我自己
[00:02:39.080 --> 00:02:44.080]  如果連這樣信的人
[00:02:44.080 --> 00:02:47.080]  都可以說是真的信的話
[00:02:47.080 --> 00:02:50.080]  其實聖經就沒有需要存在
[00:02:50.080 --> 00:02:54.080]  只需要一班人說一些宗教教義
[00:02:54.080 --> 00:02:56.080]  宗教的術語
[00:02:56.080 --> 00:03:02.080]  或者一些我們在神學上的理論
[00:03:02.080 --> 00:03:04.080]  神學的教義
[00:03:04.080 --> 00:03:06.080]  就已經足夠
[00:03:06.080 --> 00:03:11.080]  但是當我們是一個認真相信主的人
[00:03:11.080 --> 00:03:13.080]  屬神的子民
[00:03:13.080 --> 00:03:16.080]  其實我們為什麼要去讀聖經呢?
[00:03:16.080 --> 00:03:20.080]  就是因為我們會希望用聖經裡面的啟示
[00:03:20.080 --> 00:03:27.080]  去糾正我們今天的信究竟有沒有什麼地方扭曲了
[00:03:27.080 --> 00:03:30.080]  而往往那些不信主的人
[00:03:30.080 --> 00:03:33.080]  最怕就是拿本聖經出來
[00:03:33.080 --> 00:03:35.080]  去量度一下自己的信
[00:03:35.080 --> 00:03:40.080]  因為他接受不了自己的信是錯誤的
[00:03:40.080 --> 00:03:44.080]  他只是擁抱著一大串扭曲
[00:03:44.080 --> 00:03:49.080]  並且適合他自己口味的教義
[00:03:49.080 --> 00:03:52.080]  所以在我信主或者穆會的過程
[00:03:52.080 --> 00:03:55.080]  我經常和很多的信徒
[00:03:55.080 --> 00:03:57.080]  或者慕道的人
