
[00:00:00.000 --> 00:00:02.640]  請師父讓我們聽道理 才能夠同心同德
[00:00:02.640 --> 00:00:05.120]  師父怎麼樣?我聽到這些 才重新打擾
[00:00:05.120 --> 00:00:09.520]  慈悲天父多謝你 讓我們能夠再次回來你的說話
[00:00:09.520 --> 00:00:12.880]  去掌握人生的方向
[00:00:12.880 --> 00:00:17.360]  怎樣能夠真的隨著神的教訓 以及你的道理
[00:00:17.360 --> 00:00:19.360]  活得更像主你的樣式
[00:00:19.360 --> 00:00:21.360]  求主你與我們同在
[00:00:21.360 --> 00:00:24.160]  好在我們在聽道的過程裏面
[00:00:24.160 --> 00:00:28.080]  心思意念 無性靈的引導 求你的幫助
[00:00:28.080 --> 00:00:31.680]  表揚講的 同樣在你的引導當中
[00:00:31.680 --> 00:00:33.040]  捉住他的心
[00:00:33.040 --> 00:00:36.960]  好在能夠將主你的道理 按正義分解
[00:00:36.960 --> 00:00:39.200]  感謝主給我們能夠有這個機會
[00:00:39.200 --> 00:00:41.680]  再次來到學習主理的說話
[00:00:41.680 --> 00:00:43.360]  我們在這個時候很求你
[00:00:43.360 --> 00:00:45.680]  讓聖靈幫助我們一個弟兄姊妹
[00:00:45.680 --> 00:00:47.600]  透過經文來掌握到
[00:00:47.600 --> 00:00:51.040]  怎麼樣來到好好在生活上面
[00:00:51.040 --> 00:00:54.160]  按照主理的教訓來到活出
[00:00:54.160 --> 00:00:57.520]  屬神你所喜悅的生命
[00:00:57.520 --> 00:01:00.880]  求主你也同樣幫助講道的
[00:01:00.880 --> 00:01:04.000]  揚講道的 心也在主你的裏面
[00:01:04.000 --> 00:01:06.000]  求主你掌握
[00:01:06.000 --> 00:01:08.400]  緊緊地找著他的心
[00:01:08.400 --> 00:01:11.760]  使到他能夠把主你的真道
[00:01:11.760 --> 00:01:14.160]  按正義分解
[00:01:14.160 --> 00:01:15.680]  我們求你的幫助
[00:01:15.680 --> 00:01:18.720]  我們禱告 封住耶穌的民族
[00:01:18.720 --> 00:01:20.720]  Amen
[00:01:20.720 --> 00:01:25.280]  第一節目在提摩泰的後書第二章目的時候
[00:01:25.280 --> 00:01:31.840]  我們看見作者有一個對人很寬大的心胸
[00:01:31.840 --> 00:01:34.480]  就是說在提摩泰後書第二章結尾
