
[00:00:00.000 --> 00:00:03.540]  在建烈士大全有一位很出名的
[00:00:03.540 --> 00:00:09.180]  被稱為是數一數二的一個守財奴
[00:00:09.180 --> 00:00:12.940]  建烈士大全 你知道是一些最特別的人
[00:00:12.940 --> 00:00:16.960]  打破紀錄 建烈士大全就出了名
[00:00:16.960 --> 00:00:21.500]  有一位人物很出名是守財奴
[00:00:21.500 --> 00:00:23.000]  為什麼是守財奴呢
[00:00:23.000 --> 00:00:27.020]  這位人物叫做Hattie Greene
[00:00:27.020 --> 00:00:29.220]  Hattie Greene是怎樣一個人呢
[00:00:29.220 --> 00:00:31.960]  其實她是非常富有的
[00:00:31.960 --> 00:00:35.680]  她是一個很成功的商人
[00:00:35.680 --> 00:00:40.720]  投資在很多的金融行業
[00:00:40.720 --> 00:00:44.640]  一些鐵路或者礦場裡面賺很多錢
[00:00:44.640 --> 00:00:47.640]  但是她有一個特色就是捨不得花錢
[00:00:47.640 --> 00:00:49.940]  好像把自己弄得很窮
[00:00:49.940 --> 00:00:52.320]  她怎樣窮呢
[00:00:52.320 --> 00:00:56.900]  她在家裡很少開暖氣或者用熱水
[00:00:56.900 --> 00:00:59.980]  免得浪費能源
[00:00:59.980 --> 00:01:05.040]  她多數都是穿一件黑色的衣服
[00:01:05.040 --> 00:01:07.180]  內衣也不會怎樣換
[00:01:07.180 --> 00:01:11.560]  當她破爛之後才換另一件
[00:01:11.560 --> 00:01:13.760]  還有她的衣服是這樣的
[00:01:13.760 --> 00:01:17.220]  幫她洗衣服的工人叫她
[00:01:17.220 --> 00:01:19.800]  你不用整件衣服洗
[00:01:19.800 --> 00:01:21.900]  在最髒的地方洗就可以了
[00:01:21.900 --> 00:01:26.900]  譬如像那些接縫 漏了一些縫隙的那些就捉一下它
[00:01:26.900 --> 00:01:29.180]  因為這樣可以省下一點肥皂
[00:01:29.180 --> 00:01:31.400]  不要那麼快用完
[00:01:31.400 --> 00:01:35.260]  這個你說也挺好的 接電
[00:01:35.260 --> 00:01:40.080]  不過她對人都是這樣的 很淪陷的
[00:01:40.080 --> 00:01:42.120]  當她要結婚的時候
[00:01:42.120 --> 00:01:45.980]  她就跟她的未婚夫這樣說
[00:01:45.980 --> 00:01:49.200]  你要當著這麼多的公開的承認
[00:01:49.200 --> 00:01:54.040]  你放棄了任何擁有我的金錢的權利
[00:01:54.040 --> 00:01:55.440]  先割了一隻
[00:01:55.440 --> 00:01:58.580]  你不可以貪我的錢 你不可以拿我的錢
[00:01:58.580 --> 00:02:00.420]  還有一件事 更加是
[00:02:00.420 --> 00:02:03.580]  這件事我看起來都挺不幸的
[00:02:03.580 --> 00:02:07.420]  當小朋友小時候 她生了一個兒子一個女兒
[00:02:07.420 --> 00:02:09.780]  兒子叫做Alex
[00:02:09.780 --> 00:02:13.920]  Alex不知怎樣跌傷了
[00:02:13.920 --> 00:02:19.420]  Hattie就將他去到一間診所
[00:02:19.420 --> 00:02:21.200]  免費可以醫治病人的
[00:02:21.200 --> 00:02:25.500]  因為這間診所是專門為了窮人而設的
[00:02:25.500 --> 00:02:27.800]  Hattie不知為何搞一些賬目
[00:02:27.800 --> 00:02:31.420]  搞一些假的東西告訴別人他窮到不得了
[00:02:31.420 --> 00:02:33.280]  不然別人就不收容他了
[00:02:33.280 --> 00:02:36.660]  結果人家查了出來就趕他走
[00:02:36.660 --> 00:02:41.320]  結果他就真的要給錢去看他的兒子
[00:02:41.320 --> 00:02:43.760]  結果如是者醫治了好幾年
[00:02:43.760 --> 00:02:46.540]  但是很可惜的就是因為一拖再拖
