
[00:00:00.000 --> 00:00:02.000]  之前我們再有一個禱告
[00:00:02.000 --> 00:00:07.900]  上帝多謝祢
[00:00:07.900 --> 00:00:12.960]  讓我們今天再有機會來到祢面前去聆聽祢的話
[00:00:12.960 --> 00:00:15.340]  主求祢預備我們的心
[00:00:15.340 --> 00:00:20.340]  求祢去安撫我們可能很雜亂
[00:00:20.340 --> 00:00:22.840]  或者很嘈吵的心靈
[00:00:22.840 --> 00:00:25.340]  在這一刻可以安靜下來
[00:00:25.340 --> 00:00:29.980]  有開放的心來聆聽祢給我們的說話
[00:00:30.540 --> 00:00:32.540]  主求祢去幫助我們
[00:00:32.540 --> 00:00:35.340]  我們一起祈禱奉耶穌名求
[00:00:35.340 --> 00:00:38.900]  想問大家一個問題
[00:00:38.900 --> 00:00:42.000]  大家對上帝最近有什麼祈求?
[00:00:42.000 --> 00:00:47.060]  大家最近對上帝有什麼祈求?
[00:00:47.060 --> 00:00:51.900]  我以前信主的時候
[00:00:51.900 --> 00:00:54.060]  我大概二十歲左右信耶穌
[00:00:54.060 --> 00:00:59.120]  我信主的時候也有對上帝有期望的祈求
[00:00:59.120 --> 00:01:01.120]  因為當時家裡比較窮
[00:01:01.120 --> 00:01:03.120]  我很想祂
[00:01:03.120 --> 00:01:05.120]  如果你是神的話
[00:01:05.120 --> 00:01:07.120]  可不可以給我一份工作
[00:01:07.120 --> 00:01:11.120]  希望我自己出來工作可以脫貧
[00:01:11.120 --> 00:01:13.120]  不用那麼辛苦
[00:01:13.120 --> 00:01:15.120]  如果你是上帝
[00:01:15.120 --> 00:01:17.120]  你是上帝來的
[00:01:17.120 --> 00:01:19.120]  你是神來的
[00:01:19.120 --> 00:01:21.120]  你就去給我一份工作
[00:01:21.120 --> 00:01:23.120]  不用我那麼辛苦
[00:01:23.120 --> 00:01:25.120]  終於真的有一份工作了
[00:01:25.120 --> 00:01:27.120]  但我發覺原來上下班
[00:01:27.120 --> 00:01:29.120]  除了工作本身的困難外
[00:01:29.120 --> 00:01:31.120]  還有很多其他的困難
[00:01:31.120 --> 00:01:33.120]  人與人之間的困難
[00:01:33.120 --> 00:01:35.120]  人事的困難
[00:01:35.120 --> 00:01:37.120]  還有很複雜的
[00:01:37.120 --> 00:01:39.120]  面對架構上的一些不好
[00:01:39.120 --> 00:01:41.120]  引致工作上的一些困難
[00:01:41.120 --> 00:01:43.120]  然後我就會祈禱
[00:01:43.120 --> 00:01:45.120]  希望神啊
[00:01:45.120 --> 00:01:47.120]  祢是神來的
[00:01:47.120 --> 00:01:49.120]  祢幫我搞定這些事
[00:01:49.120 --> 00:01:51.120]  因為我只是很想專心
[00:01:51.120 --> 00:01:53.120]  安安分分地工作
[00:01:53.120 --> 00:01:55.120]  我很想專心工作
[00:01:55.120 --> 00:01:57.120]  神啊
[00:01:57.120 --> 00:01:59.120]  如果祢是神的話
[00:01:59.120 --> 00:02:01.120]  祢解決了這些事
[00:02:01.120 --> 00:02:03.120]  讓我可以專心工作
[00:02:03.120 --> 00:02:05.120]  不知道最近大家對神
[00:02:05.120 --> 00:02:07.120]  或者人生裡對神有什麼祈求
[00:02:07.120 --> 00:02:09.120]  可能已經在祈禱裡表達過
[00:02:09.120 --> 00:02:11.120]  不知道大家有沒有祈禱過
[00:02:11.120 --> 00:02:13.120]  如果祢是神的話
[00:02:13.120 --> 00:02:15.120]  祢就幫我這樣的祈禱
[00:02:15.120 --> 00:02:17.120]  因為祢是神來的
[00:02:17.120 --> 00:02:19.120]  所以應該是可以的
[00:02:19.120 --> 00:02:21.120]  祢是神來的
[00:02:21.120 --> 00:02:23.120]  祢就可以幫我達成這件事
[00:02:23.120 --> 00:02:25.120]  不知道大家有沒有
[00:02:25.120 --> 00:02:27.120]  試過這樣的祈禱
[00:02:27.120 --> 00:02:29.120]  原來我們對神是有一種
[00:02:29.120 --> 00:02:31.120]  這樣的期望
[00:02:31.120 --> 00:02:33.120]  但其實
[00:02:33.120 --> 00:02:35.120]  主耶穌對信祂的人
