
[00:00:00.000 --> 00:00:03.500]  我們常常錯誤的以爲是說
[00:00:03.500 --> 00:00:06.500]  我們有一個選擇擺在我們面前
[00:00:06.500 --> 00:00:08.500]  就是我們還沒有去啦
[00:00:08.500 --> 00:00:11.000]  所以神在這裏給我們發出一個挑戰
[00:00:11.000 --> 00:00:14.500]  我們可以選擇去或是不去
[00:00:14.500 --> 00:00:16.500]  但事實上這兩節聖經
[00:00:16.500 --> 00:00:17.500]  我們很熟悉的
[00:00:17.500 --> 00:00:19.500]  其實在文法上
[00:00:19.500 --> 00:00:22.500]  是屬於同一個完整的句子
[00:00:22.500 --> 00:00:24.500]  如果你知道文法裏面
[00:00:24.500 --> 00:00:26.000]  任何一個完整的句子
[00:00:26.000 --> 00:00:28.000]  都有一個主動詞
[00:00:28.000 --> 00:00:30.500]  然後旁邊有很多不同的主動詞
[00:00:30.500 --> 00:00:33.000]  或者所謂的分詞
[00:00:33.000 --> 00:00:35.000]  我們看這個句子
[00:00:35.000 --> 00:00:36.500]  在文法上裏面
[00:00:36.500 --> 00:00:39.000]  我們看主動詞是哪一個字呢
[00:00:39.000 --> 00:00:41.000]  以前我們常以爲是去
[00:00:41.000 --> 00:00:44.000]  但事實上在這個句子裏面
[00:00:44.000 --> 00:00:47.500]  真正的主動詞是做門徒這個字
[00:00:47.500 --> 00:00:50.500]  而去只不過是個主動詞
[00:00:50.500 --> 00:00:53.000]  是這個現在分詞
[00:00:53.000 --> 00:00:54.000]  所以換句話說
[00:00:54.000 --> 00:00:55.500]  耶穌的意思是
[00:00:55.500 --> 00:00:59.000]  當你們正在去的路上
[00:00:59.000 --> 00:01:01.500]  要使萬民做我的門徒
[00:01:01.500 --> 00:01:03.000]  不是還沒有去哦
[00:01:03.000 --> 00:01:04.500]  是正在去
[00:01:04.500 --> 00:01:06.500]  已經去的路上
[00:01:06.500 --> 00:01:10.000]  要使萬民做主的門徒
[00:01:10.000 --> 00:01:10.500]  換句話說
[00:01:10.500 --> 00:01:13.500]  主在這裏並沒有給我們一個選擇
[00:01:13.500 --> 00:01:14.500]  沒有一個選擇
[00:01:14.500 --> 00:01:16.500]  去與不去的選擇
[00:01:16.500 --> 00:01:19.000]  事實上很多時候我們做一個基督徒
[00:01:19.000 --> 00:01:20.500]  我們看見我們不明白這一點
[00:01:20.500 --> 00:01:23.000]  當你做基督徒一開始
[00:01:23.000 --> 00:01:25.500]  神就把你放在去的地位上
[00:01:25.500 --> 00:01:27.000]  已經在去的地位上
[00:01:27.000 --> 00:01:28.500]  然後主對你說
[00:01:28.500 --> 00:01:31.000]  在你去的過程當中
[00:01:31.000 --> 00:01:34.500]  使萬民做主的門徒
[00:01:34.500 --> 00:01:36.500]  一旦你明白這個真理
[00:01:36.500 --> 00:01:37.500]  你就明白爲什麼
[00:01:37.500 --> 00:01:40.500]  保羅在格林多前書第九章十七節
[00:01:40.500 --> 00:01:42.000]  這樣說我們一同來唸
[00:01:42.000 --> 00:01:45.000]  我若甘心做這事就有賞賜
[00:01:45.000 --> 00:01:46.000]  若不甘心
[00:01:46.000 --> 00:01:47.000]  怎麼樣
[00:01:47.000 --> 00:01:49.500]  責任卻已經託付我了
[00:01:49.500 --> 00:01:50.500]  所以保羅說
[00:01:50.500 --> 00:01:52.000]  甘心去做就有賞賜
[00:01:52.000 --> 00:01:53.000]  若不甘心呢
[00:01:53.000 --> 00:01:55.000]  Too bad
[00:01:55.000 --> 00:01:57.000]  責任已經託付在你身上
[00:01:57.000 --> 00:01:58.000]  如果是這樣
[00:01:58.000 --> 00:01:59.500]  那還不如怎麼樣
[00:01:59.500 --> 00:02:02.000]  甘心順服去做
[00:02:02.000 --> 00:02:05.500]  所以宣教不是一個選擇
[00:02:05.500 --> 00:02:07.500]  宣教應該是一個
[00:02:07.500 --> 00:02:10.000]  甘心順服的行動
[00:02:10.000 --> 00:02:11.000]  Amen
[00:02:11.000 --> 00:02:12.000]  那你說
[00:02:12.000 --> 00:02:14.500]  爲什麼我們就不就從我們身旁周圍人
[00:02:14.500 --> 00:02:16.000]  開始就好了嗎
[00:02:16.000 --> 00:02:17.000]  爲什麼還要什麼
[00:02:17.000 --> 00:02:20.000]  做跨文化宣教的事工呢
[00:02:20.000 --> 00:02:22.500]  我還記得以前我也是這麼想的
[00:02:22.500 --> 00:02:25.500]  我以前總覺得中國人這麼多
[00:02:25.500 --> 00:02:30.000]  說真的我們窮盡一生都傳不完
[00:02:30.000 --> 00:02:32.000]  那幹嘛還要花時間去做什麼
[00:02:32.000 --> 00:02:33.500]  跨文化宣教
[00:02:33.500 --> 00:02:37.000]  爲什麼不專心做中國人宣教就好了
[00:02:37.000 --> 00:02:38.500]  我們看見
[00:02:38.500 --> 00:02:40.500]  很多時候以前我也有這種想法
[00:02:40.500 --> 00:02:43.000]  以前我看很多華人教也有這種想法
[00:02:43.000 --> 00:02:45.500]  爲什麼還要做這些工作
[00:02:45.500 --> 00:02:47.000]  直到有一次
[00:02:47.000 --> 00:02:48.000]  我還記得
[00:02:48.000 --> 00:02:50.500]  在讀聖經的時候就讀到馬太福音28章
[00:02:50.500 --> 00:02:51.500]  很熟悉的經文
[00:02:51.500 --> 00:02:53.000]  那天正在讀
[00:02:53.000 --> 00:02:54.000]  一邊讀的時候
[00:02:54.000 --> 00:02:56.000]  忽然間好像主的靈在我裏面
[00:02:56.000 --> 00:02:58.000]  就問我一個問題
[00:02:58.000 --> 00:02:59.000]  主在對我說
[00:02:59.000 --> 00:03:00.000]  嘿
[00:03:00.000 --> 00:03:02.000]  你的聖經是怎麼說的
[00:03:02.000 --> 00:03:03.500]  我什麼意思啊
[00:03:03.500 --> 00:03:05.000]  主靈再一次問我
[00:03:05.000 --> 00:03:07.000]  你的聖經上怎麼說的
[00:03:07.000 --> 00:03:08.000]  你的聖經上是說
[00:03:08.000 --> 00:03:11.500]  你要去使中國人做主的門徒嗎
[00:03:11.500 --> 00:03:13.000]  我說不是啊
[00:03:13.000 --> 00:03:15.000]  那你的聖經怎麼說呢
[00:03:15.000 --> 00:03:16.000]  我說主啊
[00:03:16.000 --> 00:03:20.500]  我的聖經說你們要去使萬民做主的門徒
[00:03:20.500 --> 00:03:22.500]  我很清楚那天主的靈在我裏面
[00:03:22.500 --> 00:03:23.500]  就對我說
[00:03:23.500 --> 00:03:26.000]  Then you go
[00:03:26.000 --> 00:03:28.000]  那麼你就去吧
[00:03:28.000 --> 00:03:30.500]  使萬民做主的門徒
[00:03:30.500 --> 00:03:32.000]  Amen
[00:03:32.000 --> 00:03:33.000]  所以從那天開始
[00:03:33.000 --> 00:03:35.500]  我不再有任何的藉口了
[00:03:35.500 --> 00:03:37.000]  如果主的心意
[00:03:37.000 --> 00:03:40.000]  是要使萬國萬民都歸向耶穌基督
[00:03:40.000 --> 00:03:42.000]  那我們只能順從神
[00:03:42.000 --> 00:03:44.000]  按照神的心意
[00:03:44.000 --> 00:03:47.000]  走向萬國萬民來完成神的工作
[00:03:47.000 --> 00:03:48.000]  Amen
[00:03:48.000 --> 00:03:49.000]  當然你會說
[00:03:49.000 --> 00:03:52.000]  那牧師你去吧
