
[00:00:00.000 --> 00:00:01.480]  讓我們大家一起祈禱
[00:00:01.480 --> 00:00:05.000]  我們求神賜福這一段一起看聖經的時間
[00:00:05.000 --> 00:00:09.000]  天父我們同心感恩
[00:00:09.000 --> 00:00:12.240]  因為祢的確是那位施恩的上帝
[00:00:12.240 --> 00:00:15.400]  主當我們心裏面倚靠祢的時候
[00:00:15.400 --> 00:00:16.720]  就得到幫助
[00:00:16.720 --> 00:00:18.560]  當我們向祢尋求
[00:00:18.560 --> 00:00:21.920]  祢就不論式賜下祢各樣的恩福
[00:00:21.920 --> 00:00:24.080]  如今我們到祢面前
[00:00:24.080 --> 00:00:25.600]  向祢獻上感恩
[00:00:25.600 --> 00:00:28.920]  想回到剛才的詩歌所提及的
[00:00:29.280 --> 00:00:32.600]  主啊祢真是向尋求祢的人施恩惠
[00:00:32.600 --> 00:00:35.160]  如今我們同心禱告
[00:00:35.160 --> 00:00:38.600]  求主在每一年每一天
[00:00:38.600 --> 00:00:40.720]  上上賜下祢的恩賢
[00:00:40.720 --> 00:00:43.800]  因為祢的道是靈是生命
[00:00:43.800 --> 00:00:46.480]  是叫我們真正得到飽足的
[00:00:46.480 --> 00:00:48.280]  願祢賜下祢的話
[00:00:48.280 --> 00:00:50.280]  引導我們走平安的路
[00:00:50.280 --> 00:00:51.680]  也因為祢的話
[00:00:51.680 --> 00:00:53.560]  我們心裏面可以滿足
[00:00:53.560 --> 00:00:56.120]  求祢賜下寶貴的聖靈
[00:00:56.120 --> 00:00:57.920]  引導我們的心思
[00:00:58.120 --> 00:01:00.120]  以後賜福帶領我們
[00:01:00.120 --> 00:01:03.160]  我們祈禱奉耶穌聖名祈求
[00:01:03.160 --> 00:01:04.360]  阿們
[00:01:04.360 --> 00:01:05.800]  阿們
[00:01:05.800 --> 00:01:09.120]  大家打開聖經
[00:01:09.120 --> 00:01:10.640]  詩篇三十三篇
[00:01:10.640 --> 00:01:11.720]  我們思想就是
[00:01:11.720 --> 00:01:13.320]  仰望主賜我的人
[00:01:13.320 --> 00:01:15.880]  是會時常的歡樂的
[00:01:15.880 --> 00:01:20.520]  我相信大家在農曆新年的時候
[00:01:20.520 --> 00:01:22.720]  都會去買一些蓮花
[00:01:22.720 --> 00:01:25.040]  或者會有一些布置
[00:01:25.040 --> 00:01:26.840]  很多中國人會歡喜
[00:01:26.840 --> 00:01:30.640]  透過蓮花來做一些寓意
[00:01:30.640 --> 00:01:32.040]  表達一些祝福
[00:01:32.040 --> 00:01:35.040]  一些祝賀的心意
[00:01:35.040 --> 00:01:37.440]  所以有人送一盤大吉給你
[00:01:37.440 --> 00:01:39.240]  他一定會多加一句說話
[00:01:39.240 --> 00:01:40.440]  什麼?
[00:01:40.440 --> 00:01:42.440]  大吉大利
[00:01:42.440 --> 00:01:46.440]  如果你自己去買一棵桃花
[00:01:46.440 --> 00:01:47.840]  店主一定會說
[00:01:47.840 --> 00:01:49.440]  好啊,快點買桃花
[00:01:49.440 --> 00:01:53.520]  買桃花就會花開富貴
[00:01:53.520 --> 00:01:56.120]  很多寓意的祝賀
[00:01:56.320 --> 00:02:00.240]  這幾年很多人都喜歡買那些五子卷
[00:02:00.240 --> 00:02:01.840]  就是一些黃色
[00:02:01.840 --> 00:02:04.040]  有幾個特別的菱角
[00:02:04.040 --> 00:02:06.040]  不是菱角,是圓角
[00:02:06.040 --> 00:02:07.640]  買給你的時候
[00:02:07.640 --> 00:02:08.440]  他就馬上會說
[00:02:08.440 --> 00:02:11.040]  是啊,好的,五代同堂
[00:02:11.040 --> 00:02:13.320]  但我相信這幾年
[00:02:13.320 --> 00:02:16.240]  更多人喜歡買的是銀柳
[00:02:16.240 --> 00:02:17.440]  大家知道那種嗎?
[00:02:17.440 --> 00:02:20.520]  那種銀色的,白色的花
[00:02:20.520 --> 00:02:22.640]  一買的時候就會告訴你
[00:02:22.640 --> 00:02:24.840]  有銀,有柳
[00:02:26.440 --> 00:02:30.440]  買銀柳就好像多了一些祝福
[00:02:30.440 --> 00:02:32.640]  當然這些只是一廂情願
[00:02:32.640 --> 00:02:35.440]  自己心裡希望得到的祝福
[00:02:35.440 --> 00:02:37.040]  不因為你買了一條銀柳
[00:02:37.040 --> 00:02:39.040]  就因此有銀,有柳
[00:02:39.040 --> 00:02:41.040]  但是這些寓意
[00:02:41.040 --> 00:02:43.040]  都有時候給我們一些
[00:02:43.040 --> 00:02:46.640]  好像心裡的一種祝福
[00:02:46.640 --> 00:02:50.040]  但聖經也有時候會用一些植物
[00:02:50.040 --> 00:02:52.040]  來提醒我們
[00:02:52.040 --> 00:02:55.440]  留心去尋求神給我們的祝福
[00:02:56.040 --> 00:03:00.040]  聖經詩篇提及過的是青橄欖樹
