
[00:00:00.000 --> 00:00:05.320]  大家都知道我幾年前就加入了播道差會成為宣教士
[00:00:05.320 --> 00:00:09.640]  我心裏面就越來越有個感觸
[00:00:09.640 --> 00:00:14.360]  宣教工場好缺乏宣教士
[00:00:14.360 --> 00:00:16.600]  好缺乏
[00:00:16.600 --> 00:00:19.800]  我而家都請緊好多宣教士
[00:00:19.800 --> 00:00:21.800]  而且仲未請到
[00:00:21.800 --> 00:00:27.520]  因為大部份基督徒都唔想做宣教士
[00:00:28.280 --> 00:00:32.680]  那些想做宣教士的又未必個個口齒伶俐
[00:00:32.680 --> 00:00:38.080]  口齒伶俐的又好似財多身子弱成日病
[00:00:38.080 --> 00:00:42.200]  唔病的可能年紀大有曬所有抗體
[00:00:42.200 --> 00:00:43.120]  好似我咁
[00:00:43.120 --> 00:00:46.560]  年紀大就有限制
[00:00:46.560 --> 00:00:51.480]  怪唔知上帝在《耳塞亞書》第六章第八召
[00:00:51.480 --> 00:00:53.600]  我可以差遣誰呢
[00:00:53.600 --> 00:00:55.400]  誰肯為我唔去呢
[00:00:55.400 --> 00:00:57.080]  因為冇乜人想去
[00:00:58.520 --> 00:01:01.560]  你知我諗嘢好多時諗出位
[00:01:01.560 --> 00:01:03.280]  我就諗一個好特別嘅問題
[00:01:03.280 --> 00:01:08.920]  點解上帝唔差派天使來做宣教士呢
[00:01:08.920 --> 00:01:12.600]  天使做宣教士可以解決好多問題
[00:01:12.600 --> 00:01:13.640]  有好多優點
[00:01:13.640 --> 00:01:15.120]  第一
[00:01:15.120 --> 00:01:20.840]  天使千千萬萬又唔會托手肘
[00:01:20.840 --> 00:01:25.360]  第二天使口齒伶俐唔會講錯嘢
[00:01:25.360 --> 00:01:27.360]  你聽過邊個天使講錯嘢未
[00:01:27.920 --> 00:01:30.840]  墮落嘅三分一就唔計
[00:01:30.840 --> 00:01:35.000]  而家喺上帝身邊服侍嘅三分二就唔會講錯嘢
[00:01:35.000 --> 00:01:37.480]  天使會唔會病
[00:01:37.480 --> 00:01:39.400]  唔會病
[00:01:39.400 --> 00:01:41.520]  天使又唔會老
[00:01:41.520 --> 00:01:44.400]  天使又唔使瞓覺
[00:01:44.400 --> 00:01:46.120]  又唔使食飯
[00:01:46.120 --> 00:01:48.480]  唔使坐飛機
[00:01:48.480 --> 00:01:49.880]  坐飛機好多時間
[00:01:49.880 --> 00:01:51.840]  天使仲飛得快過飛機
[00:01:51.840 --> 00:01:54.440]  又唔會浪費時間
[00:01:54.440 --> 00:01:56.640]  天使唔使籌款
[00:01:56.640 --> 00:01:58.160]  咩都唔使洗
[00:01:58.160 --> 00:02:01.440]  係咪用好慳時間
[00:02:01.440 --> 00:02:05.440]  所以天使做宣教士其實係非常之完美
[00:02:05.440 --> 00:02:06.440]  大家贊唔贊成
[00:02:06.440 --> 00:02:07.960]  有邊個贊成請你舉手
[00:02:07.960 --> 00:02:08.600]  有冇呀
[00:02:08.600 --> 00:02:10.640]  有幾個
[00:02:10.640 --> 00:02:12.680]  其他嗰啲你唔贊成
[00:02:12.680 --> 00:02:13.840]  咩原因唔贊成先
[00:02:13.840 --> 00:02:16.960]  可唔可以解釋下點解你唔舉手
[00:02:16.960 --> 00:02:20.320]  但我諗來諗去諗到最撈尾
[00:02:20.320 --> 00:02:25.720]  都要承認其實上帝係唔會派天使做宣教士
[00:02:25.720 --> 00:02:28.320]  天使係唔適合做宣教士
[00:02:28.320 --> 00:02:30.800]  咁點解唔適合做宣教士呢
[00:02:30.800 --> 00:02:31.800]  我哋睇吓
[00:02:31.800 --> 00:02:33.920]  第一個原因
[00:02:33.920 --> 00:02:40.120]  天使係冇得夠見證
[00:02:40.120 --> 00:02:42.120]  你同我傳福音
[00:02:42.120 --> 00:02:44.280]  我哋講到我沉淪
[00:02:44.280 --> 00:02:45.800]  上帝救贖我
[00:02:45.800 --> 00:02:48.040]  咁人哋聽起上嚟有共鳴
[00:02:48.040 --> 00:02:49.040]  天使冇
[00:02:49.040 --> 00:02:53.200]  大家聽過一首歌未
[00:02:53.200 --> 00:02:55.400]  Amazing Grace
[00:02:55.400 --> 00:02:57.400]  奇異恩典
[00:02:57.400 --> 00:02:59.200]  何等甘田
[00:02:59.200 --> 00:03:01.680]  甘以得道赦免
[00:03:01.680 --> 00:03:03.680]  呢個作者John Neutron
[00:03:03.680 --> 00:03:06.760]  原本係反賣奴隸
[00:03:06.760 --> 00:03:08.960]  後來信咗耶穌做咗牧師
[00:03:08.960 --> 00:03:10.160]  成個改變到
[00:03:10.160 --> 00:03:11.920]  我罪得以赦免
[00:03:11.920 --> 00:03:13.760]  史特普羅都話
[00:03:13.760 --> 00:03:16.200]  我喺罪人當中我係個罪魁
[00:03:16.200 --> 00:03:18.200]  原本我係迫害教會
[00:03:18.200 --> 00:03:21.200]  而家我成為何等樣嘅人
[00:03:21.200 --> 00:03:26.840]  佢一個改變令到聽者有共鳴
[00:03:26.840 --> 00:03:29.120]  但天使做唔到呢點
[00:03:29.120 --> 00:03:32.400]  第二天使冇選擇
[00:03:32.400 --> 00:03:37.880]  佢未經過被召考慮
[00:03:37.880 --> 00:03:41.280]  掙扎馴服毀身過程
[00:03:41.280 --> 00:03:43.760]  我哋試過
[00:03:43.760 --> 00:03:47.120]  或者有人話
[00:03:47.120 --> 00:03:52.200]  朗斯里好似冇乜
[00:03:52.200 --> 00:03:54.640]  成日見你笑都未見過你掙扎
[00:03:54.640 --> 00:03:55.960]  其實我有
[00:03:55.960 --> 00:03:57.480]  你知唔知
[00:03:57.480 --> 00:04:02.000]  當播道會猜獻禮嗰陣時
[00:04:02.000 --> 00:04:04.520]  我同我太太跪左喺度見唔見到
[00:04:04.520 --> 00:04:07.560]  江牧師嗰陣時係我哋差會嘅主席
[00:04:07.560 --> 00:04:10.480]  何志迪牧師就係我哋
[00:04:10.480 --> 00:04:15.240]  香港派駐跨地域合作宣教計劃
[00:04:15.240 --> 00:04:17.840]  嘅其中一位代表香港
[00:04:17.840 --> 00:04:21.320]  同埋一班播道會嘅總會
[00:04:21.320 --> 00:04:23.800]  差會嘅董事
[00:04:23.800 --> 00:04:25.480]  嗰陣時我71歲
[00:04:25.480 --> 00:04:30.280]  播道差會未試過猜派一個71歲嘅
[00:04:30.280 --> 00:04:33.080]  第一次出去工場宣教
[00:04:33.080 --> 00:04:37.120]  我都唔知有邊間差會會猜派一個71歲
[00:04:37.120 --> 00:04:40.080]  你71歲去到台灣就好危險
[00:04:40.080 --> 00:04:41.480]  唔係台灣危險
[00:04:41.480 --> 00:04:46.600]  又嗰啲路凹凹凸凸高高低低成日撲撐嗰啲危險
[00:04:46.600 --> 00:04:49.160]  咁其實我哋要經過考慮
[00:04:49.160 --> 00:04:51.080]  經過掙扎
[00:04:51.080 --> 00:04:52.480]  經過信服
[00:04:52.480 --> 00:04:54.280]  經過毀神
[00:04:54.280 --> 00:04:58.120]  咁幾個月前我又兼任埋多一份義工
[00:04:58.120 --> 00:05:00.360]  就係差會嘅總幹事
[00:05:00.360 --> 00:05:02.600]  因為我哋嘅前總幹事辭職
[00:05:02.600 --> 00:05:07.480]  咁我如果每個月就來回差會同埋台灣
[00:05:07.480 --> 00:05:09.120]  咁就成日出出入入
[00:05:09.120 --> 00:05:11.680]  咁所以你哋見到我好似多咗呢
[00:05:11.680 --> 00:05:12.640]  其實有道理嘅
[00:05:12.640 --> 00:05:15.200]  因為我有兩份工
[00:05:15.200 --> 00:05:16.520]  我嘅生活好充實
[00:05:16.520 --> 00:05:21.480]  咁呢個其實都係一啲嘅掙扎
[00:05:21.480 --> 00:05:23.400]  我記得以前同大家講過
[00:05:23.400 --> 00:05:26.200]  我55歲返香港嗰陣時同太太講
[00:05:26.200 --> 00:05:27.560]  唔係佢要求我
[00:05:27.560 --> 00:05:34.560]  我65歲返到加拿大買部靚車
[00:05:34.560 --> 00:05:36.200]  買部Cadillac
[00:05:36.200 --> 00:05:40.160]  就唔係好似我哋結婚嗰部車頭車尾都出煙嗰種
[00:05:40.160 --> 00:05:44.080]  咁如果你買電動車就唔會出煙
[00:05:44.080 --> 00:05:48.160]  咁但係到而家都未兌現
[00:05:48.160 --> 00:05:51.120]  見到太太都唔係幾好意思
[00:05:51.120 --> 00:05:55.600]  咁但係呢個都係要經過掙扎信服嘅過程
[00:05:55.600 --> 00:05:56.880]  呢個選擇好緊要
[00:05:56.880 --> 00:05:58.520]  上帝唔想逼我哋
[00:05:58.520 --> 00:06:00.040]  上帝俾你有個選擇
