
[00:00:00.000 --> 00:00:03.600]  我們今天繼續講《使徒行轉》
[00:00:03.600 --> 00:00:07.140]  今天要講第九章《使徒行轉》
[00:00:07.140 --> 00:00:09.260]  就是《掃羅》的改變
[00:00:09.260 --> 00:00:11.580]  掃羅接受耶穌基督
[00:00:11.580 --> 00:00:13.600]  我叫今天的題目做
[00:00:13.600 --> 00:00:16.800]  《改變生命的四個祭遇》
[00:00:16.800 --> 00:00:19.240]  一個真正接受耶穌基督
[00:00:19.240 --> 00:00:20.960]  重新得救的人
[00:00:20.960 --> 00:00:25.500]  我相信都有同樣四個祭遇在我們的身上
[00:00:25.500 --> 00:00:27.400]  成爲我們的標記
[00:00:28.660 --> 00:00:31.460]  掃羅的改變
[00:00:31.460 --> 00:00:33.840]  其實在教會的歷史當中
[00:00:33.840 --> 00:00:36.860]  可以說除了教會的誕生
[00:00:36.860 --> 00:00:38.440]  聖靈的降臨
[00:00:38.440 --> 00:00:40.800]  是最重要的一件事
[00:00:40.800 --> 00:00:42.480]  其次重要的
[00:00:42.480 --> 00:00:45.480]  就是福音傳到外邦人那裏
[00:00:45.480 --> 00:00:47.300]  《使徒行轉》的第十章
[00:00:47.300 --> 00:00:49.980]  就是我下一次會和大家所講的
[00:00:49.980 --> 00:00:53.280]  保羅會成爲外邦人的使徒
[00:00:53.280 --> 00:00:55.080]  繼續神的工作
[00:00:55.080 --> 00:00:58.160]  將福音傳遍整個世界
[00:00:58.900 --> 00:01:01.420]  施布珍曾經說過
[00:01:01.420 --> 00:01:03.580]  他相信當時掃羅
[00:01:03.580 --> 00:01:06.420]  是騎着一匹高頭的大馬
[00:01:06.420 --> 00:01:09.860]  意氣風發地去到大馬式
[00:01:09.860 --> 00:01:13.320]  來欺騙基督徒
[00:01:13.320 --> 00:01:16.920]  帶他們回到耶路撒冷來審判
[00:01:16.920 --> 00:01:20.840]  但是在幾秒鐘之後
[00:01:20.840 --> 00:01:24.160]  他的生命就有很大很大的改變
[00:01:24.160 --> 00:01:27.080]  神將他打落地上
[00:01:27.080 --> 00:01:28.880]  他就爬不起來
[00:01:28.880 --> 00:01:31.420]  掃羅的改變
[00:01:31.420 --> 00:01:32.960]  在《使徒行轉》裏面
[00:01:32.960 --> 00:01:35.280]  出現了三次的描述
[00:01:35.280 --> 00:01:37.280]  《使徒行轉》的第九章
[00:01:37.280 --> 00:01:38.660]  第二十二章
[00:01:38.660 --> 00:01:41.200]  二十六章都有描述
[00:01:41.200 --> 00:01:44.120]  在綜合以上三個描述
[00:01:44.120 --> 00:01:45.280]  我們看到
[00:01:45.280 --> 00:01:48.680]  掃羅的生命有四個祭遇
[00:01:48.680 --> 00:01:51.080]  第一個祭遇
[00:01:51.080 --> 00:01:53.900]  就是他語主來相遇
[00:01:53.900 --> 00:01:55.840]  我們每一個基督徒
[00:01:55.840 --> 00:01:57.680]  在我們的生命當中
[00:01:57.680 --> 00:01:59.220]  我們接受耶穌基督
[00:01:59.220 --> 00:02:02.220]  我們都曾經是語主相遇
[00:02:02.220 --> 00:02:06.000]  當掃羅逼迫基督徒的時候
[00:02:06.000 --> 00:02:09.200]  在《使徒行轉》的九章二節
[00:02:09.200 --> 00:02:13.340]  說他逼迫那些信奉者道的人
[00:02:13.340 --> 00:02:16.580]  信奉者道的人是什麼人?
[00:02:16.580 --> 00:02:20.600]  耶穌基督曾經說我就是道路
[00:02:20.600 --> 00:02:23.380]  在約翰福音的十四章六節
[00:02:23.380 --> 00:02:25.540]  所以信奉者道的人
[00:02:25.540 --> 00:02:27.640]  就是接受耶穌基督
[00:02:27.640 --> 00:02:30.040]  就是信靠耶穌基督的人
[00:02:30.040 --> 00:02:31.360]  在《使徒行轉》裏面
[00:02:31.360 --> 00:02:32.840]  也有其他
[00:02:32.840 --> 00:02:35.320]  稱呼信徒的名稱
[00:02:35.320 --> 00:02:39.400]  例如叫我們做門徒、聖徒
[00:02:39.400 --> 00:02:42.280]  或者一切求告神明的人
[00:02:42.280 --> 00:02:44.160]  或者是兄弟
[00:02:44.160 --> 00:02:47.160]  我們很喜歡叫自己做基督徒
[00:02:47.160 --> 00:02:49.320]  在《使徒行轉》裏面
[00:02:49.320 --> 00:02:53.040]  要去到《使徒行轉》的十一章二十六節
[00:02:53.040 --> 00:02:56.240]  基督徒這個名字纔出現
