
[00:00:00.000 --> 00:00:01.540]  各位大型姊妹早晨
[00:00:01.540 --> 00:00:04.360]  在現場或者在網上的
[00:00:04.360 --> 00:00:06.400]  我們都是這麼高興
[00:00:06.400 --> 00:00:07.940]  在現場的
[00:00:07.940 --> 00:00:09.720]  你見到我我又見到你
[00:00:09.720 --> 00:00:12.540]  我經常提醒大家你在網上
[00:00:12.540 --> 00:00:15.880]  我們很難說和大家見面
[00:00:15.880 --> 00:00:17.920]  因為你見到我我又見不到你
[00:00:17.920 --> 00:00:20.220]  這個世界上
[00:00:20.220 --> 00:00:21.760]  很多的
[00:00:21.760 --> 00:00:23.800]  現實的情況就是這樣
[00:00:23.800 --> 00:00:27.140]  雖然疫情未完全的
[00:00:27.140 --> 00:00:28.160]  減退
[00:00:28.420 --> 00:00:31.480]  甚至在歐洲英國很多地方
[00:00:31.480 --> 00:00:34.040]  還有一些很驚人的數字
[00:00:34.040 --> 00:00:36.600]  有些數字高是很開心的
[00:00:36.600 --> 00:00:37.880]  但是有些數字
[00:00:37.880 --> 00:00:38.660]  高
[00:00:38.660 --> 00:00:40.700]  是很可怕的
[00:00:40.700 --> 00:00:41.720]  我們
[00:00:41.720 --> 00:00:43.000]  繼續
[00:00:43.000 --> 00:00:45.060]  依靠神的恩典
[00:00:45.060 --> 00:00:46.840]  在這些
[00:00:46.840 --> 00:00:50.940]  變幻的世界
[00:00:50.940 --> 00:00:51.960]  我們繼續
[00:00:51.960 --> 00:00:53.000]  跟從神
[00:00:53.000 --> 00:00:53.760]  所以
[00:00:53.760 --> 00:00:55.040]  繼續禱告
[00:00:55.300 --> 00:00:59.140]  還有兩個禮拜前的講道的時候
[00:00:59.140 --> 00:01:00.420]  我提過
[00:01:00.420 --> 00:01:07.080]  在我們因為疫情而停擺了或者是減慢了速度的
[00:01:07.080 --> 00:01:08.100]  很多事情裏面
[00:01:08.100 --> 00:01:10.400]  我們要重建我們
[00:01:10.400 --> 00:01:12.200]  對神的信心
[00:01:12.200 --> 00:01:14.240]  再次看清楚
[00:01:14.240 --> 00:01:18.080]  我們跟隨神的這條天路
[00:01:18.080 --> 00:01:19.880]  我們一起再一起祈禱
[00:01:23.720 --> 00:01:26.020]  多謝我們的全能的天父
[00:01:26.020 --> 00:01:27.820]  奇妙的主宰
[00:01:27.820 --> 00:01:30.620]  我們的救主耶穌
[00:01:30.620 --> 00:01:33.960]  在你一切的恩典豐盛裏面
[00:01:33.960 --> 00:01:36.260]  我們繼續前行
[00:01:36.260 --> 00:01:37.800]  我們知道
[00:01:37.800 --> 00:01:40.360]  你給我們有恩典有豐盛
[00:01:40.360 --> 00:01:42.140]  不是等於說
[00:01:42.140 --> 00:01:44.700]  我們凡事都順利
[00:01:44.700 --> 00:01:46.760]  完全沒有任何的困難
[00:01:46.760 --> 00:01:48.300]  但是我們
[00:01:48.300 --> 00:01:50.340]  帶著信心知道
[00:01:51.100 --> 00:01:55.700]  在這些困難、荊棘裏面
[00:01:55.700 --> 00:01:59.040]  繼續有你的豐盛和恩典
[00:01:59.040 --> 00:02:01.080]  所以主我們今天
[00:02:01.080 --> 00:02:02.880]  從你自己的說話裏面
[00:02:02.880 --> 00:02:04.160]  繼續建立
[00:02:04.160 --> 00:02:06.200]  我們對你的信心
[00:02:06.200 --> 00:02:08.260]  亦都更加確立
[00:02:08.260 --> 00:02:09.280]  我們
[00:02:09.280 --> 00:02:11.840]  在這條人生的路
