
[00:00:00.000 --> 00:00:01.520]  領姐妹平安
[00:00:01.520 --> 00:00:03.920]  想問問大家
[00:00:03.920 --> 00:00:07.520]  你是不是一個很有儀式感的人呢?
[00:00:07.520 --> 00:00:14.000]  有誰是你覺得自己是一個頗重視儀式感的人呢?
[00:00:14.000 --> 00:00:15.000]  有沒有啊?
[00:00:15.000 --> 00:00:17.320]  沒有啊?
[00:00:17.320 --> 00:00:20.960]  可能今天你聽完之後
[00:00:20.960 --> 00:00:23.760]  接著就變成一個有儀式感的人
[00:00:23.760 --> 00:00:26.560]  可能大家會問
[00:00:26.560 --> 00:00:28.000]  什麼是儀式感?
[00:00:28.000 --> 00:00:30.720]  我連什麼是儀式感都不知道
[00:00:30.720 --> 00:00:39.600]  不知道大家有沒有讀過這本法國的中篇小說《小王子》
[00:00:39.600 --> 00:00:44.400]  我記得以前小時候也有買這本書看
[00:00:44.400 --> 00:00:46.560]  裡面有一個角色
[00:00:46.560 --> 00:00:48.360]  就是狐狸
[00:00:48.360 --> 00:00:50.800]  這個狐狸說
[00:00:50.800 --> 00:00:53.600]  儀式感就是你洗某一天
[00:00:53.600 --> 00:00:56.320]  跟其他的日子是不同的
[00:00:56.320 --> 00:01:01.160]  又或者洗到某一刻跟其他的時刻是很不同的
[00:01:01.160 --> 00:01:02.520]  你做一點點事情
[00:01:02.520 --> 00:01:05.320]  就令到那一天很不同了
[00:01:05.320 --> 00:01:07.560]  或者那一刻很不同了
[00:01:07.560 --> 00:01:12.720]  儀式感對於我們的意義就在於
[00:01:12.720 --> 00:01:16.560]  你會幫助我們用認真有趣的態度
[00:01:16.560 --> 00:01:18.600]  去對待生活裡面
[00:01:18.600 --> 00:01:22.120]  看起來沒什麼趣味的小事
[00:01:22.120 --> 00:01:28.000]  以致你能夠體會到生命的美樂和愛
[00:01:28.000 --> 00:01:29.320]  譬如
[00:01:29.320 --> 00:01:32.320]  可能你說我每個月定最後一天
[00:01:32.320 --> 00:01:34.200]  我就會給自己一些獎勵
[00:01:34.200 --> 00:01:36.800]  這個也可能是儀式感
[00:01:36.800 --> 00:01:39.320]  或者你每天可能你做一些事情
[00:01:39.320 --> 00:01:41.920]  是令到整天
[00:01:41.920 --> 00:01:44.520]  一個很平凡的日子是很不同的
