
[00:00:00.000 --> 00:00:04.840]  (主席)各位大家好,今日和大家分享的題目是先壽後思
[00:00:04.840 --> 00:00:07.720]  我原本想簡單地稱之為壽司
[00:00:07.720 --> 00:00:10.200]  但是有些人以為是吃的那本東西
[00:00:10.200 --> 00:00:13.160]  所以改為先壽後思
[00:00:13.160 --> 00:00:15.680]  很少人會講生命記
[00:00:15.680 --> 00:00:18.560]  但是我在星期六的早堂
[00:00:18.560 --> 00:00:20.240]  我是會講生命記的
[00:00:20.240 --> 00:00:21.920]  因為較少人講的時候
[00:00:21.920 --> 00:00:25.200]  反而我很想藉著這樣給大家有更多的體會
[00:00:25.200 --> 00:00:28.920]  今天我們會看生命記第十五章的十一到第十八節
[00:00:28.920 --> 00:00:31.240]  這一段經文其實很簡單
[00:00:31.240 --> 00:00:33.760]  就是當有一個奴隸服侍了你之後
[00:00:33.760 --> 00:00:36.920]  他做了六年之後,你就讓他離開
[00:00:36.920 --> 00:00:38.280]  就是這麼簡單
[00:00:38.280 --> 00:00:42.000]  這段經文跟我們好像現在沒有什麼關係
[00:00:42.000 --> 00:00:44.640]  但其實裏面都有很豐富的教導
[00:00:44.640 --> 00:00:46.200]  值得我們去反思
[00:00:46.200 --> 00:00:48.600]  我們先讀這段經文
[00:00:48.600 --> 00:00:51.120]  以致我們對整段經文有一定的了解
[00:00:51.120 --> 00:00:55.160]  我們一起讀出生命記第十五章十一到第十八節
[00:00:55.160 --> 00:00:59.480]  原來那地上的窮人永不斷絕
[00:00:59.480 --> 00:01:01.680]  所以我吩咐你說
[00:01:01.680 --> 00:01:06.880]  總要向你地上困苦困乏的弟兄鬆開手
[00:01:06.880 --> 00:01:12.520]  你弟兄中若有一個希伯來男人和希伯來女人
[00:01:12.520 --> 00:01:15.400]  避邁給你服侍你六年
[00:01:15.400 --> 00:01:19.240]  到第七年就要任他自由出去
[00:01:19.240 --> 00:01:22.240]  你任他自由的時候
[00:01:22.240 --> 00:01:24.840]  不可使他空手而去
[00:01:24.840 --> 00:01:27.680]  要從你羊群和帳
[00:01:27.680 --> 00:01:30.840]  走在中央多多地給他
[00:01:30.840 --> 00:01:34.400]  也或說你的神怎樣賜福於你
[00:01:34.400 --> 00:01:36.800]  你也要怎樣給他
[00:01:36.800 --> 00:01:40.560]  要紀念你在埃及地作過奴僕
[00:01:40.560 --> 00:01:43.600]  也或說你的神將你救贖
[00:01:43.600 --> 00:01:47.280]  因此我今日吩咐你這件事
[00:01:47.280 --> 00:01:49.480]  他若對你說
[00:01:49.480 --> 00:01:51.560]  我不願意離開你
[00:01:51.560 --> 00:01:54.400]  是因他愛你和你的家
[00:01:54.400 --> 00:01:57.200]  且因在你門裡很好
[00:01:57.200 --> 00:02:02.480]  你就要用錐子將他的耳朵在門上刺透
[00:02:02.480 --> 00:02:05.600]  他便永遠你的奴僕了
[00:02:05.600 --> 00:02:08.840]  你代婢女也要如此
[00:02:08.840 --> 00:02:11.440]  你任他自由的時候
[00:02:11.440 --> 00:02:13.640]  不可以為難事
[00:02:13.640 --> 00:02:15.800]  因他服侍你六年
[00:02:15.800 --> 00:02:19.520]  較比故宮的公價多加一倍了
[00:02:19.520 --> 00:02:24.080]  也或說你的神就必在你所做的一切事上
[00:02:24.080 --> 00:02:25.480]  賜福於你
[00:02:54.080 --> 00:02:56.200]  反而成為他另一個出路
[00:02:56.200 --> 00:02:58.200]  當我讀這段聖經的時候
