
[00:00:00.000 --> 00:00:02.520]  今日我去到第二個門徒
[00:00:02.520 --> 00:00:04.280]  就是巴多羅馬
[00:00:04.280 --> 00:00:05.480]  很有趣的
[00:00:05.480 --> 00:00:11.000]  這個門徒的名字出現在四福音裏面的三卷福音
[00:00:11.000 --> 00:00:13.560]  就是「馬太」、「馬可」、「盧迦」
[00:00:13.560 --> 00:00:15.640]  我們稱之為「芙蕾福音」
[00:00:15.640 --> 00:00:18.560]  或者是「對貢觀福音」或者「同觀福音」
[00:00:18.560 --> 00:00:21.520]  今日我們不想去研究這麼深入
[00:00:21.520 --> 00:00:22.960]  反而我就說
[00:00:22.960 --> 00:00:28.320]  為何這個名字只出現在這三卷福音書
[00:00:28.320 --> 00:00:31.480]  但這三卷福音書裏面只出現了名字之後
[00:00:31.480 --> 00:00:36.240]  沒有去提及究竟這個巴多羅馬是甚麼人物
[00:00:36.240 --> 00:00:38.520]  沒有去描述他的個性
[00:00:38.520 --> 00:00:40.960]  或者描述他的生平
[00:00:40.960 --> 00:00:44.080]  但其實嚴格來說
[00:00:44.080 --> 00:00:47.480]  這個巴多羅馬並不是名字
[00:00:47.480 --> 00:00:50.120]  如果看回原本的名字
[00:00:50.120 --> 00:00:51.720]  我們暫時叫它名字
[00:00:51.720 --> 00:00:52.920]  但它不是名字
[00:00:52.920 --> 00:00:58.720]  就是因為這個意思是多羅馬的兒子的意思
[00:00:58.720 --> 00:01:02.800]  這個巴多羅馬的「巴」就是兒子的意思
[00:01:02.800 --> 00:01:06.920]  所以「巴拿巴」就是拿巴的兒子的意思
[00:01:06.920 --> 00:01:09.120]  所以很多解經家就說
[00:01:09.120 --> 00:01:12.000]  可能這個多羅馬很出名
[00:01:12.000 --> 00:01:15.320]  所以看著兒子都不知道兒子叫甚麼名字
[00:01:15.320 --> 00:01:17.560]  就叫他多羅馬的兒子
[00:01:17.560 --> 00:01:19.760]  就叫做巴多羅馬
[00:01:19.760 --> 00:01:20.960]  大家明白我的意思嗎?
[00:01:20.960 --> 00:01:23.080]  所以如果大家見到我的女兒
[00:01:23.080 --> 00:01:25.800]  千萬不要跟她說你是何志地牧師的女兒
[00:01:25.800 --> 00:01:27.440]  千萬不要說她有名字
[00:01:27.440 --> 00:01:29.480]  她叫做何瑩
[00:01:29.480 --> 00:01:31.520]  所以當時來說
[00:01:31.520 --> 00:01:33.440]  其實這個是不是名字?不是名字
[00:01:33.440 --> 00:01:34.520]  其實是一個身份
[00:01:34.520 --> 00:01:37.760]  是多羅馬的兒子的身份
[00:01:37.760 --> 00:01:40.640]  但這方面在約翰福音
[00:01:40.640 --> 00:01:44.120]  它從來沒有出現過這個巴多羅馬
[00:01:44.120 --> 00:01:46.520]  反而出現了另一個名字
[00:01:46.520 --> 00:01:48.480]  是我們較為熟悉的名字
[00:01:48.480 --> 00:01:50.920]  有少許描述它的背景的名字
[00:01:50.920 --> 00:01:53.520]  叫做「拿旦頁」
[00:01:53.520 --> 00:01:56.640]  「拿旦頁」就出現在約翰福音第一章
[00:01:56.640 --> 00:01:58.440]  和出現在二十一章
[00:01:58.440 --> 00:02:00.240]  所以很多解經家
[00:02:00.240 --> 00:02:04.440]  我們真的要服一些解經家
[00:02:04.440 --> 00:02:07.880]  我們真的要尊敬這些研經的人
[00:02:07.880 --> 00:02:10.480]  這些學者就開始去思考
[00:02:10.480 --> 00:02:15.400]  為甚麼巴多羅馬只出現在那三段福音書
[00:02:15.400 --> 00:02:17.720]  卻沒有出現在約翰福音
[00:02:17.720 --> 00:02:19.920]  而出現在約翰福音的「拿旦頁」
[00:02:19.920 --> 00:02:23.440]  卻沒有出現在其他的三段福音書
[00:02:23.440 --> 00:02:24.760]  於是他們就研究
[00:02:24.760 --> 00:02:27.640]  會不會這兩個是同一個人
[00:02:27.640 --> 00:02:29.800]  大家明白我的意思嗎?同一個人
[00:02:29.800 --> 00:02:32.160]  他們真的去研究
[00:02:32.160 --> 00:02:34.360]  他們在研究的過程當中
[00:02:34.360 --> 00:02:36.280]  他們覺得的結論就是
[00:02:36.280 --> 00:02:40.320]  「拿旦頁」就等於巴多羅馬
[00:02:40.320 --> 00:02:42.120]  為甚麼呢?他們有原因的
[00:02:42.120 --> 00:02:44.600]  其中一個很重要的原因
[00:02:44.600 --> 00:02:49.480]  如果看回耶穌基督十二個門徒的名字的排列
[00:02:49.480 --> 00:02:52.440]  這裡就是彼得、安德烈、西比塔的兒子
[00:02:52.440 --> 00:02:56.720]  雅各、約翰、肥歷和巴多羅馬
[00:02:56.720 --> 00:02:57.920]  很重要的
[00:02:57.920 --> 00:03:00.240]  肥的先,巴多羅馬在後面
[00:03:00.240 --> 00:03:02.440]  然後才是多瑪、馬太、雅各、肥兒子
[00:03:02.440 --> 00:03:06.120]  雅各、納太、西門和迦勒、猶太
[00:03:06.120 --> 00:03:07.160]  看回這十二個名字
[00:03:07.160 --> 00:03:10.440]  我們要強調不是說放在前面那個比較重要
[00:03:10.440 --> 00:03:11.240]  不是這個意思
[00:03:11.240 --> 00:03:13.960]  而是看回次序
[00:03:13.960 --> 00:03:18.120]  很明顯是耶穌呼召的門徒的次序
[00:03:18.120 --> 00:03:21.640]  也是他們信耶穌的次序的進程
[00:03:21.640 --> 00:03:25.360]  所以在肥歷之後是巴多羅馬
[00:03:25.360 --> 00:03:27.120]  如果看回《約翰福音》第一章
