
[00:00:00.000 --> 00:00:03.120]  好,大師妹,讓我們在聆聽主導以前
[00:00:03.120 --> 00:00:06.800]  我們一起同心低頭,禱告仰望的主愛地神
[00:00:06.800 --> 00:00:10.880]  護神,多謝你
[00:00:10.880 --> 00:00:15.320]  讓我們有生命再次踏足地上
[00:00:15.320 --> 00:00:18.920]  經歷多一天上帝你的創造
[00:00:18.920 --> 00:00:21.160]  我們再次獻上感恩
[00:00:21.160 --> 00:00:25.040]  求賜生命的主
[00:00:25.040 --> 00:00:28.240]  讓我們回到祢的啟示的時候
[00:00:29.480 --> 00:00:32.200]  讓我們去明白你更多
[00:00:32.200 --> 00:00:38.040]  也了解如何在今天我們仍有的生命生活裡
[00:00:38.040 --> 00:00:42.160]  能夠作成主祢所教導的使命
[00:00:42.160 --> 00:00:44.240]  求祢的帶領
[00:00:44.240 --> 00:00:48.320]  讓每一個無論是說的、聽的
[00:00:48.320 --> 00:00:53.680]  再次在祢的說話當中蒙受祢的祝福
[00:00:53.680 --> 00:00:59.080]  讓我們生命更新,能夠更加活著你
[00:01:00.040 --> 00:01:01.000]  同心的禱告
[00:01:01.000 --> 00:01:03.720]  奉靠主耶穌的德性的名字而靠
[00:01:03.720 --> 00:01:04.720]  丹麥
[00:01:04.720 --> 00:01:14.240]  我曾經認識過一個很想做媽媽的故事
[00:01:14.240 --> 00:01:17.840]  這個媽媽曾經跟我分享
[00:01:17.840 --> 00:01:22.520]  我從未結婚之前到結婚之後
[00:01:22.520 --> 00:01:26.080]  我都很想成為一個好媽媽
[00:01:26.680 --> 00:01:31.480]  我希望將來我的寶寶,無論兒女
[00:01:31.480 --> 00:01:37.120]  都能夠在很健康而且最好的狀態
[00:01:37.120 --> 00:01:39.280]  成長起來
[00:01:39.280 --> 00:01:43.520]  於是乎她在還未懷孕之前
[00:01:43.520 --> 00:01:46.760]  其實已經由很年輕的時候
[00:01:46.760 --> 00:01:49.840]  好好保養自己的身體
[00:01:49.840 --> 00:01:54.280]  希望將來如果當有懷孕的一天
[00:01:54.960 --> 00:01:59.320]  她的寶寶能夠真正在母腹
[00:01:59.320 --> 00:02:03.800]  有一個最優秀的環境去培養起來
[00:02:03.800 --> 00:02:05.640]  不僅如此
[00:02:05.640 --> 00:02:10.520]  她並且在自己的飲食和睡眠上
[00:02:10.520 --> 00:02:14.960]  都很有系統地去節制和管理
[00:02:14.960 --> 00:02:17.840]  不好的東西、不健康的東西
[00:02:17.840 --> 00:02:19.840]  她通常都不會放進嘴巴
[00:02:19.840 --> 00:02:24.400]  而且她能夠每天有充分的休息
[00:02:24.880 --> 00:02:27.800]  好使她能夠有一個最健康的狀態
[00:02:27.800 --> 00:02:31.160]  能夠去孕育嬰孩
[00:02:31.160 --> 00:02:36.960]  當她說了這個故事或者她的心願的時候
[00:02:36.960 --> 00:02:41.040]  就讓我想起作為一個基督徒
[00:02:41.040 --> 00:02:43.440]  在聖經裡面
[00:02:43.440 --> 00:02:49.360]  特別在哥倫多前書第六章第十九節裡面
[00:02:49.800 --> 00:02:56.320]  曾經保羅向當時哥倫多的教會這樣說過
[00:02:56.320 --> 00:03:02.200]  他說「豈不知你們的身子就是聖靈的殿嗎?
[00:03:02.200 --> 00:03:09.040]  這聖靈是從神而來住在你們裡頭的」
[00:03:09.040 --> 00:03:17.160]  當這句聖經再次在我的腦海裡面浮現出來的時候
[00:03:17.160 --> 00:03:18.760]  就讓我想起
[00:03:19.320 --> 00:03:23.160]  我們作為信徒、作為基督徒
[00:03:23.160 --> 00:03:29.920]  我們又有沒有好好保守我們這個屬靈的身體
[00:03:29.920 --> 00:03:33.440]  讓住在我們裡面的聖靈
[00:03:33.440 --> 00:03:38.640]  能夠無時無刻都準確將她的感動
[00:03:38.640 --> 00:03:41.960]  帶到我們的生命生活裡面呢?
[00:03:41.960 --> 00:03:46.760]  而我們也有沒有好好保養好這個屬靈的身體
[00:03:47.080 --> 00:03:50.600]  來承擔主的使命呢?
[00:03:50.600 --> 00:03:54.960]  而這個啟示也同時間
[00:03:54.960 --> 00:03:59.120]  說了一個很重要的事實給我去明白得到
[00:03:59.120 --> 00:04:05.080]  就是原來我們今天屬靈的生命
[00:04:05.080 --> 00:04:11.600]  正正就是上帝要在這個時代裡面
[00:04:11.600 --> 00:04:15.960]  施行上帝工作的平台
