
[00:00:00.000 --> 00:00:01.920]  在這幾年間
[00:00:01.920 --> 00:00:06.040]  我提到教會要成長
[00:00:06.040 --> 00:00:11.640]  或者教會要面對這個紛亂的社會
[00:00:11.640 --> 00:00:14.920]  我們需要有好的敬拜
[00:00:14.920 --> 00:00:19.520]  要有好的講道、好的宣講
[00:00:19.520 --> 00:00:22.800]  好的關顧、好的性惡
[00:00:22.800 --> 00:00:26.760]  還要加上好的教育
[00:00:26.760 --> 00:00:30.440]  好的教育當然在我們這個年代當中
[00:00:30.440 --> 00:00:33.880]  我們要教導公義
[00:00:33.880 --> 00:00:36.320]  但另一方面我又想強調
[00:00:36.320 --> 00:00:40.040]  好的教育是愛的教育
[00:00:40.040 --> 00:00:42.000]  我的意思是
[00:00:42.000 --> 00:00:47.080]  我們不單止口頭上說我們常常相愛
[00:00:47.080 --> 00:00:51.000]  我們不單止要有愛的行為
[00:00:51.000 --> 00:00:52.640]  走出來就完了
[00:00:52.640 --> 00:00:58.040]  不是,我們在好的愛的經歷見證當中
[00:00:58.040 --> 00:01:01.720]  我們都去述說,我們去教導
[00:01:01.720 --> 00:01:05.000]  我們教導我們的下一代去愛
[00:01:05.000 --> 00:01:08.080]  知道愛是生命的重要
[00:01:08.080 --> 00:01:10.280]  我們教導我們的兒女
[00:01:10.280 --> 00:01:12.880]  教導我們教會的下一代
[00:01:12.880 --> 00:01:15.040]  甚至我們彼此提醒
[00:01:15.040 --> 00:01:17.440]  我們要走出愛、經歷愛
[00:01:17.440 --> 00:01:19.080]  我們都要教導愛
[00:01:19.080 --> 00:01:22.600]  我們對這個社會教導愛
[00:01:22.600 --> 00:01:25.280]  愛的教導和踐行
[00:01:25.280 --> 00:01:27.240]  能夠建立教會
[00:01:27.240 --> 00:01:29.520]  能夠建立社會
[00:01:29.520 --> 00:01:32.520]  剛才大家聽到我說教導
[00:01:32.520 --> 00:01:35.480]  教導是一個很重要的字眼
[00:01:35.480 --> 00:01:38.960]  其實教導是什麼意思呢?
[00:01:38.960 --> 00:01:45.400]  我想今早大家用另一個角度去記住教導這個觀點
[00:01:45.400 --> 00:01:50.800]  教導這個字的英文字就是Edification
[00:01:50.800 --> 00:01:56.600]  Edification它原本拉丁文的意思就是建築
[00:01:56.600 --> 00:02:01.680]  但和它相關的希臘文的字根可以拆開
[00:02:01.680 --> 00:02:04.760]  是Oikos和Domeo
[00:02:04.760 --> 00:02:08.000]  Oikos就解作房屋
[00:02:08.000 --> 00:02:11.160]  Domeo就解作建造
[00:02:11.160 --> 00:02:17.560]  原來教導的意思就是建造房屋
[00:02:17.560 --> 00:02:22.040]  在哥倫多前書裡我們甚至可以引申什麼叫做教導
[00:02:22.040 --> 00:02:30.240]  原來教導是建立教會成為神的居所
[00:02:30.240 --> 00:02:33.320]  成為神的靈的居所
[00:02:33.320 --> 00:02:37.520]  在城鎮家做教導工作的意思是什麼呢?
[00:02:37.520 --> 00:02:42.440]  就是說建造、建立城鎮家
[00:02:42.440 --> 00:02:44.920]  成為神的居所
