
[00:00:00.000 --> 00:00:01.680]  大家主內平安
[00:00:01.680 --> 00:00:05.080]  今日我跟大家正道的經文是
[00:00:05.080 --> 00:00:08.360]  約翰封印一章14到18節
[00:00:08.360 --> 00:00:10.920]  上次我們講到哪裏?
[00:00:10.920 --> 00:00:11.920]  大家記不記得?
[00:00:11.920 --> 00:00:13.440]  13節?
[00:00:13.440 --> 00:00:15.520]  不是很久了
[00:00:15.520 --> 00:00:18.400]  上一次已經是講到哪裏?
[00:00:18.400 --> 00:00:20.880]  母親節已經是講到
[00:00:20.880 --> 00:00:24.360]  耶穌釘在十字架那裏
[00:00:24.360 --> 00:00:28.840]  是講將祂的母親交給約翰
[00:00:29.840 --> 00:00:31.920]  看祂的母親
[00:00:31.920 --> 00:00:35.400]  但是約翰真的很刺激
[00:00:35.400 --> 00:00:40.520]  就是將瑪利亞接到祂的家裏同住
[00:00:40.520 --> 00:00:44.880]  將一個別人的母親
[00:00:44.880 --> 00:00:46.480]  因為不是祂所生的
[00:00:46.480 --> 00:00:48.920]  接到祂自己的家裏住
[00:00:48.920 --> 00:00:52.120]  這是很困難的一件事
[00:00:52.120 --> 00:00:53.120]  因為
[00:00:53.120 --> 00:00:57.640]  這個母親本來還有其他的子女
[00:00:57.640 --> 00:01:00.600]  但是約翰就很抵賴
[00:01:00.600 --> 00:01:02.600]  你耶穌既然可以交給我
[00:01:02.600 --> 00:01:04.400]  我就這樣去做
[00:01:04.400 --> 00:01:07.120]  我們中國人有一句話叫做什麼?
[00:01:07.120 --> 00:01:09.200]  相見而得好,是不是?
[00:01:09.200 --> 00:01:10.200]  苟住呢?
[00:01:10.200 --> 00:01:11.960]  難為人
[00:01:11.960 --> 00:01:15.800]  因為平時一見面都會很客氣
[00:01:15.800 --> 00:01:18.360]  但是如果經常一起住
[00:01:18.360 --> 00:01:19.960]  你就會有很多衝突
[00:01:19.960 --> 00:01:23.960]  所以約翰其實是一個很大的挑戰
[00:01:25.000 --> 00:01:32.120]  我很早15年就跟外人讀神學
[00:01:32.120 --> 00:01:34.200]  到現在10年了
[00:01:34.200 --> 00:01:38.240]  我都是跟老師住、跟學生住
[00:01:38.240 --> 00:01:40.960]  一住就住了很多年
[00:01:40.960 --> 00:01:42.640]  剛才出來的時候
[00:01:42.640 --> 00:01:44.760]  我當時是三十多歲
[00:01:44.760 --> 00:01:47.480]  有比我更小的神學生
