
[00:00:00.000 --> 00:00:03.160]  好 今天我們會繼續約翰醫書系列
[00:00:03.160 --> 00:00:07.120]  今天已經到了約翰醫書的最後一章 第五章
[00:00:07.120 --> 00:00:12.240]  我不曉得大家還記不記得前面幾章的內容
[00:00:12.240 --> 00:00:16.880]  不過呢 沒有關係 我們會稍微提一提
[00:00:16.880 --> 00:00:19.640]  上一次我們講到是第四章
[00:00:19.640 --> 00:00:22.720]  講的主題是神就是愛
[00:00:22.720 --> 00:00:28.160]  講到神祂的本性 神祂自己就是愛
[00:00:28.520 --> 00:00:34.440]  因著神的本性 我們也分享了祂愛的一些屬性
[00:00:34.440 --> 00:00:36.400]  以至於我們能夠去愛
[00:00:36.400 --> 00:00:41.000]  我們從神領受了祂的命令 就是要愛神
[00:00:41.000 --> 00:00:45.320]  然後也要去愛人 這兩者其實是不可分的
[00:00:45.320 --> 00:00:49.120]  愛神跟愛人其實是一個硬幣的兩面
[00:00:49.120 --> 00:00:52.240]  我們透過愛人可以表達我們去愛神
[00:00:52.240 --> 00:00:56.200]  那今天會繼續最後的一章
[00:00:56.560 --> 00:01:01.360]  就是第五章 這一章的經文有一點長
[00:01:01.360 --> 00:01:06.240]  不過呢 我會比較簡單的來講
[00:01:06.240 --> 00:01:10.080]  不會每一個字或者每一節都很詳細的去講
[00:01:10.080 --> 00:01:12.800]  會講它最大概的一個內容
[00:01:12.800 --> 00:01:17.880]  那給它的一個題目叫做「信與德勝」
[00:01:17.880 --> 00:01:20.960]  我們先來讀一讀這一段的經文
[00:01:20.960 --> 00:01:23.360]  就是從第一節到二十一節
[00:01:24.320 --> 00:01:27.080]  我們可以分兩邊來讀
[00:01:27.080 --> 00:01:31.120]  我的左邊的可以讀單數節 從這裡分開
[00:01:31.120 --> 00:01:34.320]  右邊的可以讀雙數節
[00:01:34.320 --> 00:01:38.440]  好 我們先請左邊的從第一節開始
[00:01:38.440 --> 00:01:39.600]  一二起
[00:01:50.200 --> 00:01:54.440]  我們又愛神 又遵守祂的誡命
[00:01:54.440 --> 00:01:58.400]  從此就知道我們愛神的兒女
[00:01:58.400 --> 00:02:11.280]  因為凡從神生的 就勝過世界
[00:02:11.280 --> 00:02:15.920]  使我們勝了世界的 就是我們的信心
[00:02:20.200 --> 00:02:25.280]  這藉著水和雪而來的 就是耶穌基督
[00:02:25.280 --> 00:02:29.520]  不是單用水 乃是用水又用雪
[00:02:29.520 --> 00:02:41.400]  做見證的原有三 就是聖靈 水與雪
[00:02:41.400 --> 00:02:44.200]  這三樣都歸於一
[00:02:47.680 --> 00:02:54.320]  我們已經受了人的見證 神的見證更該營收
[00:02:54.320 --> 00:02:58.240]  因神的見證是為祂兒子做的
[00:03:11.880 --> 00:03:19.520]  這見證就是神賜給我們永生 這永生也是在祂兒子裡面
[00:03:19.520 --> 00:03:27.240]  人有了神的兒子就有生命 沒有神的兒子就沒有生命
[00:03:27.240 --> 00:03:33.040]  我將這些話寫給你們 希望神的兒子遇見你們
[00:03:33.040 --> 00:03:37.000]  要讓你們知道自己有永生
[00:03:37.000 --> 00:03:42.120]  我們若照祂的旨意求什麼 祂就聽我們
[00:03:42.120 --> 00:03:46.760]  這是我們向祂所存坦然無懼的心
[00:03:46.760 --> 00:03:59.880]  人若看見弟兄犯了不至於死的罪
[00:03:59.880 --> 00:04:05.120]  就當為祂祈求 神必將生命賜給他
[00:04:05.120 --> 00:04:10.360]  有至於死的罪 我不說當為這罪祈求
[00:04:10.360 --> 00:04:23.360]  我們知道凡從神生的必不犯罪 從神生的必保守自己
[00:04:23.360 --> 00:04:26.720]  那惡者也就無法害他
[00:04:33.920 --> 00:04:40.280]  我們也知道神的兒子已經來到 且將智慧賜給我們
[00:04:40.280 --> 00:04:43.400]  使我們認識那位真實的
[00:04:43.400 --> 00:04:50.160]  我們也在那位真實的裡面 就是在祂兒子耶穌基督裡面
[00:04:50.160 --> 00:04:52.920]  這是真神也是永生
[00:04:59.080 --> 00:05:07.000]  經文讀完了 雖然比較長 但是它還是有一定的結構在裡面
[00:05:07.000 --> 00:05:14.320]  因為只是這樣讀的話 可能我們會覺得這段經文講了很多方面的內容好像比較散
[00:05:14.320 --> 00:05:18.640]  但是如果我們能夠找到裡面的一些關鍵詞的話
[00:05:18.640 --> 00:05:22.160]  我們會比較容易理解這段的經文
[00:05:22.160 --> 00:05:27.240]  當然它讀的時候會發現好多的詞語它都會重複出現
[00:05:27.240 --> 00:05:31.640]  當然關鍵詞不只是一個 會有好幾個
[00:05:31.640 --> 00:05:34.920]  但是關鍵詞當中有一些是比較重要的
[00:05:34.920 --> 00:05:40.520]  比如說剛才我們讀的 其中有一個是信這個字
[00:05:40.520 --> 00:05:44.080]  在這段經文裡面就出現了很多遍
[00:05:44.080 --> 00:05:46.560]  我不知道你數不數得到有多少遍
[00:05:46.560 --> 00:05:53.480]  其實除了在這段經文裡面 之前的經文其實有曾經出現過很多遍
[00:05:53.480 --> 00:05:58.040]  在第三章 第四章 第二章 第一章 全部都有出現
[00:05:58.040 --> 00:06:05.600]  而在第五章裡面 信這個關鍵詞出現了有七次
[00:06:05.600 --> 00:06:07.440]  就只是在這一章裡面
[00:06:07.440 --> 00:06:13.400]  我們分開來看 因為它有時候是以動詞的形式出現
[00:06:13.400 --> 00:06:17.600]  有些時候它是以名詞的形式出現
[00:06:17.600 --> 00:06:25.600]  它以動詞形式出現只是出現了六次 四次是相信 兩次是不信
[00:06:25.600 --> 00:06:27.920]  一個是正面 一個是反面
[00:06:27.920 --> 00:06:32.120]  它一共出現了六次是以動詞的形態
[00:06:32.120 --> 00:06:41.720]  有一次也是唯獨的一次 以名詞 就是信心這個形態來出現的
[00:06:41.720 --> 00:06:49.480]  就是在第四節 第四節 就是信心 這裡只有一次
[00:06:49.480 --> 00:06:57.200]  這個比較特別的 在約翰的書信裡面 用名詞出現的也就只有這一次
[00:06:57.200 --> 00:07:04.240]  這個也是這段經文裡面比較核心的一個詞語
[00:07:04.240 --> 00:07:10.720]  那我們來看 它既然這麼強調信
[00:07:10.720 --> 00:07:14.040]  那究竟信的內容是指什麼呢?
[00:07:14.040 --> 00:07:22.680]  這段經文裡面告訴我們信的內容是什麼?
[00:07:22.680 --> 00:07:27.200]  我們來看一下
[00:07:27.200 --> 00:07:33.160]  在這裡 它講到第一節 我們來看
[00:07:33.160 --> 00:07:38.320]  你看紅色的字的部分 我把它已經highlight出來了
[00:07:38.320 --> 00:07:42.520]  第一節有講凡信耶穌是基督的
[00:07:42.520 --> 00:07:48.640]  然後第五節是講信耶穌是神而子
[00:07:48.640 --> 00:07:52.720]  第十節 信神而子
[00:07:52.720 --> 00:07:57.080]  第十三節 信奉神而子之名
[00:07:57.080 --> 00:08:00.160]  如果你這樣子去看的話 總結出來
[00:08:00.160 --> 00:08:05.280]  它整個信的內容 或者信所指的那個的對象
[00:08:05.280 --> 00:08:10.080]  其實就是指耶穌 信耶穌是什麼呢?
[00:08:10.080 --> 00:08:15.240]  信耶穌是基督 這是什麼意思呢?
[00:08:15.240 --> 00:08:18.080]  通常我們會把耶穌跟基督連在一起說
[00:08:18.080 --> 00:08:21.800]  我們稱呼耶穌 主耶穌就是說耶穌基督
[00:08:21.800 --> 00:08:28.280]  但是它這裡特別的強調是 信耶穌是基督
[00:08:28.280 --> 00:08:37.360]  為什麼約翰特別要強調這個信的內容是信耶穌是基督呢?
[00:08:37.360 --> 00:08:41.800]  其實基督強調的是祂的神性
[00:08:41.800 --> 00:08:46.080]  耶穌強調的是祂的人性
[00:08:46.080 --> 00:08:49.160]  我們還記得整個約翰耶穌的一個大的背景
[00:08:49.160 --> 00:08:53.240]  就是當時有一個異端叫做諾斯底主義
[00:08:53.240 --> 00:08:54.600]  我們也提了好多遍
[00:08:54.600 --> 00:09:01.960]  他們主要的主張就是否認神真正到誠又生來到人間
[00:09:01.960 --> 00:09:05.800]  他也否認耶穌是神的兒子
[00:09:05.800 --> 00:09:10.840]  他只是認為耶穌只是一個普通的人而已
[00:09:10.840 --> 00:09:14.880]  在耶穌受禁的時候 他才有了神性
[00:09:14.880 --> 00:09:19.280]  但是當他釘十字架的時候 他的神性就離開他了
[00:09:19.280 --> 00:09:23.200]  他又變成普通的人 然後他就死了
[00:09:23.200 --> 00:09:29.280]  所以約翰講這句話的時候 他是特別要針對當時的異端
[00:09:29.280 --> 00:09:34.320]  他要講耶穌就是基督 祂就是神的兒子
[00:09:34.320 --> 00:09:37.040]  這兩者是不能分開的
[00:09:37.040 --> 00:09:42.520]  他是強調祂的神性跟人性是合而為一的
[00:09:42.520 --> 00:09:47.720]  這個也是我們信仰的一個核心 也是一個根基
[00:09:47.720 --> 00:09:52.560]  有了這個根基 我們才能夠活出得勝的生命
[00:09:52.560 --> 00:09:56.200]  所以今天講的主題是信與得勝
[00:09:56.200 --> 00:10:02.080]  信是一個根基 而信的內容就是信耶穌是基督
[00:10:02.080 --> 00:10:06.480]  然後我們才可以過一個得勝的生活
[00:10:06.480 --> 00:10:09.880]  我們才能夠有一個得勝的生命
[00:10:09.880 --> 00:10:16.800]  那麼我們不進我們就要問
[00:10:16.800 --> 00:10:22.400]  究竟得勝的生命是一種怎樣的狀態呢?
[00:10:22.400 --> 00:10:27.640]  我們常常都說要得勝 怎樣才算是一個得勝的生命呢?
[00:10:27.640 --> 00:10:35.240]  在經文裡面他只強調一點 這一點就是遵守神的誡命
[00:10:35.240 --> 00:10:41.000]  在經文裡面繁複地出現遵守神的誡命
[00:10:41.000 --> 00:10:44.640]  然後他也解釋怎樣才算是遵守神的誡命
[00:10:44.640 --> 00:10:49.920]  而前面的經文我們在第一章到第四章也繁複地講過
[00:10:49.920 --> 00:10:53.080]  所謂遵守神的誡命只是兩樣
[00:10:53.080 --> 00:10:59.000]  一個就是愛神 另外一個就是彼此相愛 就是愛人
[00:10:59.000 --> 00:11:01.760]  在這裡繼續再一次強調
[00:11:01.760 --> 00:11:08.360]  遵守神的誡命就是愛神還有愛神所生的
[00:11:08.360 --> 00:11:14.760]  大家看這個綠色的字可能有點不太清楚
[00:11:14.760 --> 00:11:17.200]  但是勉強還是能夠看得到
[00:11:17.200 --> 00:11:20.080]  這裡強調出來就是遵守神的誡命
[00:11:20.080 --> 00:11:26.040]  他的內涵是什麼呢?就是愛神跟愛神所生的
[00:11:26.040 --> 00:11:32.960]  而這裡特別也強調神的誡命不是難遵守的
[00:11:32.960 --> 00:11:34.960]  為什麼這麼講呢?
[00:11:34.960 --> 00:11:39.240]  他這樣講的意思不是說上帝的要求不是那麼嚴格
[00:11:39.240 --> 00:11:43.800]  所以我們不難遵守 其實意思不是這樣
[00:11:43.800 --> 00:11:48.360]  上帝的命令是非常嚴格的 不是不嚴格
[00:11:48.360 --> 00:11:53.760]  嚴格到一個地步但又不是我們不能夠去遵守的
[00:11:53.760 --> 00:12:00.640]  雖然非常嚴格但經驗告訴我們又確實可以遵守的
[00:12:00.640 --> 00:12:06.600]  意思就是說上帝的命令其實不是沉重的難以負荷的
[00:12:06.600 --> 00:12:09.880]  或者是教人很愁煩的那種
[00:12:09.880 --> 00:12:13.520]  上帝的命令乃是教理很輕省的
[00:12:13.520 --> 00:12:19.680]  這裡我們看到一個特徵就是
[00:12:19.680 --> 00:12:26.480]  愛使上帝的命令不至於成為充滿壓力的一個重擔
[00:12:26.480 --> 00:12:29.880]  如果說我們裡面有愛的話
[00:12:29.880 --> 00:12:32.760]  我們在遵行上帝命令的時候
[00:12:32.760 --> 00:12:35.880]  我們就不會覺得這是一個重擔
[00:12:35.880 --> 00:12:40.720]  愛能夠使順服變得輕省
[00:12:40.720 --> 00:12:45.120]  我們不會覺得很難去順服上帝 很難去遵行祂的命令
[00:12:45.120 --> 00:12:48.320]  而人裡面的這種神性的生命
[00:12:48.320 --> 00:12:53.520]  能夠使我們裡面的順服成為可能
[00:12:53.520 --> 00:12:57.120]  這是上帝已經給了我們神性的生命
[00:12:57.120 --> 00:13:01.440]  以至於我們能夠活出那個順服的表現
[00:13:01.440 --> 00:13:03.440]  我們能夠順服神
[00:13:03.440 --> 00:13:05.880]  也在我們順服神的過程當中
[00:13:05.880 --> 00:13:10.920]  我們不覺得這個有壓力或者這個是重擔
[00:13:10.920 --> 00:13:12.920]  我舉一個簡單的例子吧
[00:13:12.920 --> 00:13:16.160]  我不曉得大家有沒有去派過單張
[00:13:16.160 --> 00:13:18.360]  最近我們也有很多單張放在那裡
[00:13:18.360 --> 00:13:22.520]  我看我每次拿出來好像都有點原封不動
[00:13:22.520 --> 00:13:23.800]  還是在那裡
[00:13:23.800 --> 00:13:28.200]  那我就猜想可能利用姊妹去發那個單張
[00:13:28.200 --> 00:13:29.520]  感覺可能會有點壓力
[00:13:29.520 --> 00:13:30.880]  或者是不太喜歡
[00:13:30.880 --> 00:13:32.000]  或者有點為難
[00:13:32.000 --> 00:13:33.640]  不知道怎麼去派那個傳單
[00:13:33.640 --> 00:13:35.600]  怎麼去邀請朋友
