
[00:00:00.000 --> 00:00:10.320]  以後我會跟大家分享聖靈的果子
[00:00:10.320 --> 00:00:16.360]  但在果子的分享之前一定會先分享神的屬性
[00:00:16.360 --> 00:00:19.800]  聖靈有多少個果子?
[00:00:19.800 --> 00:00:23.100]  很多人都說有9個果子
[00:00:23.100 --> 00:00:24.840]  其實是錯的
[00:00:24.840 --> 00:00:29.880]  你看原文或英文聖經只有1個果子
[00:00:29.880 --> 00:00:34.240]  原來1個果子裏面有很多特質
[00:00:34.240 --> 00:00:36.880]  譬如1個蘋果
[00:00:36.880 --> 00:00:40.480]  蘋果裏面有很多維他命
[00:00:40.480 --> 00:00:44.200]  很難抽到其中一種維他命
[00:00:44.200 --> 00:00:48.840]  在迦拉太書裏面描繪聖靈的果子
[00:00:48.840 --> 00:00:51.000]  描繪了9個特質
[00:00:51.000 --> 00:00:52.600]  其實是不止的
[00:00:52.600 --> 00:00:55.080]  但這些特質是甚麼呢?
[00:00:55.080 --> 00:00:56.720]  為何會有果子?
[00:00:56.720 --> 00:01:01.200]  就是因為果子成熟了
[00:01:01.200 --> 00:01:03.840]  然後才開花結果
[00:01:03.840 --> 00:01:07.120]  一個在聖靈掌管之下的人
[00:01:07.120 --> 00:01:10.280]  如果他信服聖靈的時候
[00:01:10.280 --> 00:01:12.880]  他就能夠有好的生命表現
[00:01:12.880 --> 00:01:15.720]  所以我們會去探討
[00:01:15.720 --> 00:01:19.680]  不要忘記原來我們是從神的愛
[00:01:19.680 --> 00:01:22.520]  你記住神有很多不同的特性
[00:01:22.520 --> 00:01:25.040]  譬如神的人愛、人慈
[00:01:25.040 --> 00:01:27.760]  這是我們絕對熟悉的
[00:01:27.760 --> 00:01:30.800]  神的恩典、神的憐憫
[00:01:30.800 --> 00:01:32.600]  我們都很了解
[00:01:32.600 --> 00:01:36.560]  但有時我們忽略了神的聖潔
[00:01:36.560 --> 00:01:39.160]  神的榮耀、神的尊貴
[00:01:39.160 --> 00:01:42.600]  所以我們希望大家能夠全面認識神
[00:01:42.600 --> 00:01:47.640]  但第一次的時候會跟大家看到神的慈愛
[00:01:47.640 --> 00:01:48.840]  我們好像很熟悉
[00:01:48.840 --> 00:01:51.240]  但很可能在熟悉的裏面
