
[00:00:00.000 --> 00:00:02.560]  今天是美好的一天
[00:00:02.560 --> 00:00:07.200]  當外面很多的憤怒不安的時候
[00:00:07.200 --> 00:00:09.280]  上帝給我們這個地方
[00:00:09.280 --> 00:00:15.360]  我們可以寧靜的、開心的來敬拜祂
[00:00:15.360 --> 00:00:18.800]  來彼此相教
[00:00:18.800 --> 00:00:25.520]  香港真是在經歷前所未有的變化
[00:00:25.520 --> 00:00:28.800]  過去兩個月所發生的事
[00:00:28.800 --> 00:00:32.160]  令我們觸目驚心
[00:00:32.160 --> 00:00:36.400]  我們不知道將來會怎樣發展下去
[00:00:36.400 --> 00:00:40.960]  整個社會好像在被撕裂
[00:00:40.960 --> 00:00:43.200]  在這麼困難的時候
[00:00:43.200 --> 00:00:48.000]  我們想想教會會扮演一個什麼樣的角色
[00:00:48.000 --> 00:00:51.200]  教會怎樣保護群揚
[00:00:51.200 --> 00:00:58.240]  教會怎樣可以擔當一個避難所的一個效能
[00:00:58.240 --> 00:01:04.320]  教會怎樣為信徒提供一個美好的環境
[00:01:04.320 --> 00:01:09.520]  以致我們彼此相愛、鼓勵
[00:01:09.520 --> 00:01:12.640]  能夠在這個困難的時刻
[00:01:12.640 --> 00:01:17.680]  能夠繼續保持信心、歡樂
[00:01:17.680 --> 00:01:26.160]  今天的經文是為我們帶來鼓舞和提醒的
[00:01:26.160 --> 00:01:28.480]  《雅各書》第五章
[00:01:28.480 --> 00:01:30.800]  過去兩個月我們看《雅各書》
[00:01:30.800 --> 00:01:33.680]  今天來到最後那一章
[00:01:33.680 --> 00:01:37.200]  剛才讀的經文是《雅各書》十三到二十節
[00:01:37.200 --> 00:01:38.640]  是很短的經文
[00:01:38.640 --> 00:01:41.040]  但它就好像一幅圖畫一樣
[00:01:41.040 --> 00:01:42.640]  一幅速寫的圖畫
[00:01:42.640 --> 00:01:44.720]  不知道大家喜不喜歡畫畫
[00:01:44.720 --> 00:01:46.720]  很快就是一幅速寫的圖畫
[00:01:46.720 --> 00:01:49.840]  這幅圖畫如果可以給它一個名字
[00:01:49.840 --> 00:01:53.440]  就是《美好的教會生活》
[00:01:53.440 --> 00:01:57.600]  這幅畫有四個特色
[00:01:57.600 --> 00:02:02.240]  它形容教會有四個特色
[00:02:02.240 --> 00:02:05.680]  一個就是教會是一個歌唱的群體
[00:02:05.680 --> 00:02:08.560]  教會是一個禱告的群體
[00:02:08.560 --> 00:02:11.120]  教會是一個醫治的群體
[00:02:11.120 --> 00:02:14.400]  和教會是一個挽回的群體
[00:02:14.400 --> 00:02:16.800]  我們今天看這四個特色
[00:02:16.800 --> 00:02:18.160]  在裡面我們看到
[00:02:18.160 --> 00:02:20.560]  原來上帝給我們這個教會
[00:02:20.560 --> 00:02:23.040]  是這麼好、這麼wonderful
[00:02:23.040 --> 00:02:26.880]  是「你身在福中,話者不知福」
[00:02:26.880 --> 00:02:28.640]  我們首先看看
[00:02:28.640 --> 00:02:32.240]  怎樣教會是一個歌唱的群體
[00:02:32.240 --> 00:02:35.600]  在剛才《雅各書》第五章十三節
[00:02:35.600 --> 00:02:37.600]  我們看到
[00:02:37.600 --> 00:02:41.840]  「你們中間有人受苦嗎?他就應該禱告
[00:02:41.840 --> 00:02:45.120]  有人心情愉快嗎?他就應該歌頌」
[00:02:45.120 --> 00:02:47.920]  整個舊約的歷史
[00:02:47.920 --> 00:02:49.920]  以色列人是充滿唱歌的
[00:02:49.920 --> 00:02:57.600]  歌唱是以色列人這個舊約的特色
[00:02:57.600 --> 00:03:01.440]  譬如我們看回《詩篇》五十九章十六節
[00:03:01.440 --> 00:03:04.800]  那裡說:至於我,我要歌頌你的作為
[00:03:04.800 --> 00:03:06.000]  歌頌神的作為
[00:03:06.000 --> 00:03:10.560]  每天早晨我要向你的慈愛歡呼
[00:03:10.560 --> 00:03:12.320]  因為你作了我的高台
[00:03:12.320 --> 00:03:14.560]  患難的日子作為我的避難所
[00:03:14.560 --> 00:03:20.400]  就算以色列人被擄到巴比倫
[00:03:20.400 --> 00:03:24.640]  之後他在會堂裡面也一直有唱歌
[00:03:24.640 --> 00:03:26.640]  但是有一天
[00:03:26.640 --> 00:03:28.640]  這個歌唱就停了
[00:03:28.640 --> 00:03:30.320]  什麼時候停了呢?
[00:03:30.320 --> 00:03:31.840]  就是公元七十年
[00:03:31.840 --> 00:03:34.240]  即耶穌基督升天之後四十年
[00:03:34.240 --> 00:03:36.640]  耶路撒冷被毀
[00:03:36.640 --> 00:03:40.000]  猶太人反叛羅馬
[00:03:40.000 --> 00:03:45.120]  提到將耶路撒冷整個聖殿全部燒毀
[00:03:45.120 --> 00:03:47.600]  在那一刻以後
[00:03:47.600 --> 00:03:52.080]  所有的會堂就停止歌唱
