
[00:00:00.000 --> 00:00:02.000]  敬賢妹平安
[00:00:02.000 --> 00:00:04.000]  感謝神
[00:00:04.000 --> 00:00:09.000]  讓我可以有機會在這裡跟大家分享一個比喻的故事
[00:00:09.000 --> 00:00:14.000]  也讓我們開始之前
[00:00:14.000 --> 00:00:17.000]  讓我們先做一個簡單的禱告
[00:00:17.000 --> 00:00:21.000]  親愛的天父上帝
[00:00:21.000 --> 00:00:23.000]  謝謝你讓我們有機會
[00:00:23.000 --> 00:00:25.000]  在你的當中
[00:00:25.000 --> 00:00:26.000]  可以敬拜你
[00:00:26.000 --> 00:00:30.000]  也可以在一起來學習你的話語
[00:00:30.000 --> 00:00:33.000]  願主的聖靈敞開我們的心
[00:00:33.000 --> 00:00:36.000]  讓講的跟聽的都得益處
[00:00:36.000 --> 00:00:37.000]  感謝讚美主
[00:00:37.000 --> 00:00:39.000]  禱告奉耶穌基督的聖名求
[00:00:39.000 --> 00:00:40.000]  Amen
[00:00:40.000 --> 00:00:44.000]  不知道上次
[00:00:44.000 --> 00:00:49.000]  對上一次大家去喝大喜酒也好
[00:00:49.000 --> 00:00:54.000]  去吃多人的一些宴席是什麼時候
[00:00:54.000 --> 00:00:57.000]  其實香港人因為健康的緣故
[00:00:57.000 --> 00:01:01.000]  很多時候都不喜歡去大吃大喝
[00:01:01.000 --> 00:01:03.000]  擺喜酒什麼的
[00:01:03.000 --> 00:01:06.000]  很多應酬很多人都不喜歡
[00:01:06.000 --> 00:01:11.000]  今天確實講一個家族的大宴席
[00:01:11.000 --> 00:01:13.000]  它為什麼這麼重要呢
[00:01:13.000 --> 00:01:15.000]  讓我們一起來看一下
[00:01:15.000 --> 00:01:18.000]  這個比喻講到的場景
[00:01:18.000 --> 00:01:20.000]  我們可以看前一點
[00:01:20.000 --> 00:01:23.000]  就是路加福音14章的第一節
[00:01:23.000 --> 00:01:24.000]  在哪裡
[00:01:24.000 --> 00:01:27.000]  也是在一個家裡邊吃飯的
[00:01:27.000 --> 00:01:29.000]  耶穌是被邀請到一個
[00:01:29.000 --> 00:01:32.000]  法利薩人領袖的家裡邊去做客
[00:01:32.000 --> 00:01:34.000]  那時間是發生在什麼時候呢
[00:01:34.000 --> 00:01:39.000]  是在一個安息日的晚上
[00:01:39.000 --> 00:01:43.000]  為什麼他們要請耶穌去吃飯呢
[00:01:43.000 --> 00:01:44.000]  第一節他講到
[00:01:44.000 --> 00:01:49.000]  他們請他去的原因是想歸一探耶穌
[00:01:49.000 --> 00:01:50.000]  什麼是歸一探呢
[00:01:50.000 --> 00:01:55.000]  意思是注意的意思而且是不懷好意的
[00:01:55.000 --> 00:01:59.000]  這裡也是今天所講到
[00:01:59.000 --> 00:02:02.000]  大宴席裡邊的第一個演習
[00:02:02.000 --> 00:02:04.000]  其實它是整個裡邊
[00:02:04.000 --> 00:02:09.000]  一起講起來其實有四個演習
[00:02:09.000 --> 00:02:12.000]  14章裡邊第一到第六節講到
[00:02:12.000 --> 00:02:14.000]  耶穌就是在法利薩人領袖
[00:02:14.000 --> 00:02:17.000]  跟很多法利薩人一起做客的時候
[00:02:17.000 --> 00:02:21.000]  他挑戰了他們的一些宗教的權威
[00:02:21.000 --> 00:02:24.000]  法利薩人或者是猶太人
[00:02:24.000 --> 00:02:28.000]  安息日有很多很多條例是不能犯的
[00:02:28.000 --> 00:02:31.000]  其中治病也是
[00:02:31.000 --> 00:02:33.000]  所以耶穌就在那時候
[00:02:33.000 --> 00:02:36.000]  安息日的時候治病
[00:02:36.000 --> 00:02:40.000]  可以說是觸碰了他們的神經
[00:02:40.000 --> 00:02:41.000]  然後接著下來
[00:02:41.000 --> 00:02:43.000]  耶穌繼續講了三個比喻
[00:02:43.000 --> 00:02:45.000]  都是跟演習有關係
[00:02:45.000 --> 00:02:48.000]  大約就是非常連貫
[00:02:48.000 --> 00:02:50.000]  究竟要講什麼呢
[00:02:50.000 --> 00:02:52.000]  難道是講吃吃喝喝的嗎
[00:02:52.000 --> 00:02:57.000]  當時候一講到演習
