
[00:00:00.000 --> 00:00:04.000]  今天我們看十屆的第二屆
[00:00:04.000 --> 00:00:08.000]  第二屆就告訴我們
[00:00:08.000 --> 00:00:16.000]  我們不可以為這個所信的神而雕刻偶像
[00:00:16.000 --> 00:00:26.000]  告訴我們我們要用一個正確的方式來敬拜我們的天父上帝
[00:00:26.000 --> 00:00:34.000]  讓我們今天通過這段經文去理解這個意思是什麼意思
[00:00:34.000 --> 00:00:37.000]  開始之前我們做一個禱告
[00:00:37.000 --> 00:00:39.000]  神我們多謝祢
[00:00:39.000 --> 00:00:43.000]  因為正如詩歌所唱
[00:00:43.000 --> 00:00:48.000]  在春夏秋冬人生不同的季節裡面
[00:00:48.000 --> 00:00:52.000]  無論是很優美的春天
[00:00:52.000 --> 00:00:55.000]  或者是很嚴寒的冬天
[00:00:55.000 --> 00:00:58.000]  人生無論任何的經歷
[00:00:58.000 --> 00:01:01.000]  所以祢都與我們同在
[00:01:01.000 --> 00:01:05.000]  祢都沒有丟棄過我們
[00:01:05.000 --> 00:01:07.000]  我們多謝祢
[00:01:07.000 --> 00:01:10.000]  讓我們今天明白真理
[00:01:10.000 --> 00:01:13.000]  也都能夠行出真理
[00:01:13.000 --> 00:01:16.000]  聽我們祈禱奉主名求
[00:01:16.000 --> 00:01:17.000]  Amen
[00:01:17.000 --> 00:01:23.000]  我相信我們第一個需要處理的問題是
[00:01:23.000 --> 00:01:26.000]  偶像究竟從哪裡來的?
[00:01:26.000 --> 00:01:31.000]  先知耶利米告訴我們
[00:01:31.000 --> 00:01:35.000]  是一個真的神造了人
[00:01:35.000 --> 00:01:41.000]  他是人造了一群假的神
[00:01:41.000 --> 00:01:44.000]  他告訴我們
[00:01:44.000 --> 00:01:51.000]  我們的神耶和華用能力創造整個宇宙萬物
[00:01:51.000 --> 00:01:56.000]  他用他的智慧來鋪張窮倉
[00:01:56.000 --> 00:01:58.000]  他用他的智慧去鋪張窮倉
[00:01:58.000 --> 00:02:04.000]  不單止我們這個神創造整個宇宙萬物
[00:02:04.000 --> 00:02:07.000]  他也都創造了我們人類
