
[00:00:00.000 --> 00:00:01.360]  (主持人:請請姐妹平安)
[00:00:01.360 --> 00:00:05.640]  (主持人:今天跟大家是透過剛才所讀的經文)
[00:00:05.640 --> 00:00:08.200]  (主持人:今天透過和大家剛才所讀的經文)
[00:00:08.200 --> 00:00:10.600]  (主持人:分享的題目,信心行動)
[00:00:10.600 --> 00:00:17.040]  (主持人:信息支持我們,再一次我們同心我們祈禱)
[00:00:17.040 --> 00:00:22.040]  (主持人:愛我們的天父,我們感謝讚美你)
[00:00:22.040 --> 00:00:26.480]  (主持人:我們多謝你讓我們今天早上再一次有神給我們生命氣息)
[00:00:26.480 --> 00:00:28.480]  (主持人:一起聚集去敬拜主)
[00:00:28.480 --> 00:00:31.000]  (主持人:求天父祢的靈與我們同在)
[00:00:31.000 --> 00:00:33.400]  (主持人:讓我們明白神祢自己的話語)
[00:00:33.400 --> 00:00:36.480]  (主持人:行走神祢給我們要行走的正路)
[00:00:36.480 --> 00:00:40.000]  (主持人:我們這個時候,如果我們心靈仍然有重擔)
[00:00:40.000 --> 00:00:45.400]  (主持人:求主拿去,如果我們心靈或者我們身體有軟弱的地方)
[00:00:45.400 --> 00:00:49.000]  (主持人:求主的恩手,撫摸,醫治,扶持我們)
[00:00:49.000 --> 00:00:52.000]  (主持人:以致我們能夠在神的面前蒙主的月立)
[00:00:52.000 --> 00:00:54.800]  (主持人:求主幫助,帶領我們以下的時間)
[00:00:54.800 --> 00:00:58.800]  (主持人:我們同心的祈禱,奉靠主耶穌基督的明寇)
[00:00:58.800 --> 00:00:59.800]  (主持人:Amen)
[00:00:59.800 --> 00:01:04.800]  (主持人:我女兒在小時候,經常聽我說)
[00:01:04.800 --> 00:01:08.300]  (主持人:一些關於爬山的我的盼望)
[00:01:08.300 --> 00:01:13.300]  (主持人:我女兒小時候,經常聽我說她想爬山的願望)
[00:01:13.300 --> 00:01:17.300]  (主持人:我經常說,我很想去爬珠穆朗瑪峰)
[00:01:17.300 --> 00:01:20.300]  (主持人:我跟她說,我很想去爬珠穆朗瑪峰)
[00:01:20.300 --> 00:01:25.300]  (主持人:這個珠穆朗瑪峰有八千八百多公尺高)
[00:01:25.300 --> 00:01:30.800]  (主持人:我女兒間中經常會提及這件事)
[00:01:30.800 --> 00:01:38.800]  (主持人:去年她真的去過這個地方)
[00:01:38.800 --> 00:01:44.800]  (主持人:她知道了,起碼讓我們三腳)
[00:01:44.800 --> 00:01:48.800]  (主持人:我也想去爬這個山)
[00:01:48.800 --> 00:01:50.800]  (主持人:很多次我都想去喜行)
[00:01:50.800 --> 00:01:58.800]  (主持人:我太太說不要去了)
[00:01:58.800 --> 00:02:01.800]  (主持人:因為去了可能就回不來了)
[00:02:01.800 --> 00:02:04.800]  (主持人:結果我都沒有去到)
[00:02:04.800 --> 00:02:08.800]  (主持人:其實我有信心去爬這個山)
[00:02:08.800 --> 00:02:11.800]  (主持人:因為我結婚的時候)
[00:02:11.800 --> 00:02:15.800]  (主持人:我和我太太去度蜜月的時候)
[00:02:15.800 --> 00:02:19.800]  (主持人:我就要去爬黃山)
[00:02:19.800 --> 00:02:22.800]  (主持人:黃山不是很高)
[00:02:22.800 --> 00:02:25.800]  (主持人:我當時以為很高)
[00:02:25.800 --> 00:02:30.800]  (主持人:因為我在山腳走到山頂)
[00:02:30.800 --> 00:02:33.800]  (主持人:有時候我太太都走不動)
[00:02:33.800 --> 00:02:37.800]  (主持人:我說我揹你走一段路)
[00:02:37.800 --> 00:02:39.800]  (主持人:那時候很年輕)
[00:02:39.800 --> 00:02:45.800]  (主持人:我去到一個山叫天都峰)
[00:02:45.800 --> 00:02:47.800]  (主持人:去到山還沒到高峰)
[00:02:47.800 --> 00:02:53.800]  (主持人:我太太說我不去你自己爬上去)
[00:02:53.800 --> 00:02:58.800]  (主持人:那時候我還經常跑越野賽)
[00:02:58.800 --> 00:03:03.800]  (主持人:結果我一口氣從山腳跑到山頂)
[00:03:03.800 --> 00:03:06.800]  (主持人:那些山峰真的很危險)
[00:03:06.800 --> 00:03:11.800]  (主持人:如果你看過一套戲叫熟山)
[00:03:11.800 --> 00:03:15.800]  (主持人:劇情就是要拍的)
[00:03:15.800 --> 00:03:17.800]  (主持人:因為上山有很多鐵鏈)
[00:03:17.800 --> 00:03:19.800]  (主持人:在那裡有人拉住你)
[00:03:19.800 --> 00:03:22.800]  (主持人:有些地方是要拿著鐵鏈才能爬上去)
[00:03:22.800 --> 00:03:25.800]  (主持人:鐵鏈有時候會鬆掉)
[00:03:25.800 --> 00:03:27.800]  (主持人:我爬上去那些人說)
[00:03:27.800 --> 00:03:29.800]  (主持人:今天才有兩個人掉下去)
