
[00:00:00.000 --> 00:00:02.560]  各位靈姐妹,平安!
[00:00:02.560 --> 00:00:06.680]  很多謝剛才敬拜的詩歌裏面
[00:00:06.680 --> 00:00:08.160]  帶領我們看到
[00:00:08.160 --> 00:00:09.960]  原來是的
[00:00:09.960 --> 00:00:11.920]  有了神的生命
[00:00:11.920 --> 00:00:13.600]  我們就不一樣
[00:00:13.600 --> 00:00:16.760]  特別在今年新的一年裏面
[00:00:16.760 --> 00:00:19.720]  我們都盼望神幫助我們
[00:00:19.720 --> 00:00:24.520]  讓我們能夠在任何生命的處境裏面
[00:00:24.520 --> 00:00:27.040]  我們都親眼見到
[00:00:27.040 --> 00:00:29.240]  心眼見到這個神
[00:00:29.240 --> 00:00:31.600]  求主幫助我們
[00:00:31.600 --> 00:00:36.720]  今天我們一起來思想到詩篇
[00:00:36.720 --> 00:00:42.160]  教會今年成為一個敬拜群體的主題
[00:00:42.160 --> 00:00:46.000]  所以我們會選用很多詩篇
[00:00:46.000 --> 00:00:48.240]  跟大家一起思想
[00:00:48.240 --> 00:00:50.800]  讓我們今天早上先來看
[00:00:50.800 --> 00:00:57.880]  詩篇第一篇第一至到第六節
[00:00:57.880 --> 00:01:01.000]  我們可以一起來看到一個詩篇
[00:01:01.000 --> 00:01:02.600]  我們一起讀
[00:01:02.600 --> 00:01:07.600]  詩篇一篇第一至第六節
[00:01:07.600 --> 00:01:10.160]  「不從惡人的計謀
[00:01:10.160 --> 00:01:12.560]  不暫聚人的道路
[00:01:12.560 --> 00:01:15.200]  不坐洩萬人的座位
[00:01:15.200 --> 00:01:17.720]  為喜愛耶和華的律法
[00:01:17.720 --> 00:01:19.760]  晝夜思想
[00:01:19.760 --> 00:01:22.360]  這人便為有福
[00:01:22.360 --> 00:01:26.240]  他要像一棵樹栽在溪水旁
[00:01:26.240 --> 00:01:28.840]  安事候結果子
[00:01:28.840 --> 00:01:31.640]  葉子也不枯幹
[00:01:31.640 --> 00:01:33.880]  凡他所做的
[00:01:33.880 --> 00:01:36.600]  都盡都順利
[00:01:36.600 --> 00:01:38.720]  惡人並不是這樣
[00:01:38.720 --> 00:01:42.240]  乃像康丕被風吹散
[00:01:42.240 --> 00:01:45.120]  因此當審判的時候
[00:01:45.120 --> 00:01:47.880]  惡人必站立不住
[00:01:47.880 --> 00:01:51.680]  罪人在義人的會中也是如此
[00:01:51.680 --> 00:01:54.920]  因為耶和華知道義人的道路
[00:01:54.920 --> 00:01:58.400]  惡人的道路卻必滅亡
[00:01:58.400 --> 00:02:02.440]  讓我們一起聽到之前先有一個祈禱
[00:02:02.440 --> 00:02:04.560]  請我們低頭
[00:02:04.560 --> 00:02:06.640]  草必枯幹
[00:02:06.640 --> 00:02:08.440]  花必凋殘
[00:02:08.440 --> 00:02:12.880]  但唯有我們神的話必永遠的立定
