
[00:00:00.000 --> 00:00:03.720]  各位平安 我想問大家一個問題
[00:00:03.720 --> 00:00:14.600]  有哪一位人去看過川劇表演中的變臉藝術?
[00:00:14.600 --> 00:00:19.000]  有沒有人看過?
[00:00:19.000 --> 00:00:21.400]  是的 真是到現場去看
[00:00:21.400 --> 00:00:23.400]  時先生也看過
[00:00:23.400 --> 00:00:25.400]  也有幾位看過
[00:00:25.400 --> 00:00:27.400]  我也有
[00:00:27.400 --> 00:00:31.400]  我很多年前在大學裡工作
[00:00:31.400 --> 00:00:34.400]  大學生有一年到四川交流的時候
[00:00:34.400 --> 00:00:37.400]  也有機會親身見識過一次
[00:00:37.400 --> 00:00:39.400]  如果你沒有看過
[00:00:39.400 --> 00:00:42.400]  你問問這幾位四川的朋友
[00:00:42.400 --> 00:00:44.400]  他們應該很熟悉
[00:00:44.400 --> 00:00:46.400]  讓他們多說一些給你聽
[00:00:46.400 --> 00:00:47.400]  可能你會吸引
[00:00:47.400 --> 00:00:49.400]  也要到四川看看
[00:00:49.400 --> 00:00:52.400]  很好看 很值得去看
[00:00:52.400 --> 00:00:58.400]  表演者表達角色不同的情緒
[00:00:58.400 --> 00:01:00.400]  他只要頭一轉
[00:01:00.400 --> 00:01:02.400]  一下子又變了樣子
[00:01:02.400 --> 00:01:04.400]  很精彩
[00:01:04.400 --> 00:01:05.400]  話變就變
[00:01:05.400 --> 00:01:07.400]  但在現實生活裡
[00:01:07.400 --> 00:01:10.400]  相信你和我都不太喜歡那些
[00:01:10.400 --> 00:01:14.400]  一會兒就變臉色的人
[00:01:14.400 --> 00:01:17.400]  今天這段經文裡
[00:01:17.400 --> 00:01:20.400]  使徒保羅要責備一班人
[00:01:20.400 --> 00:01:23.400]  這班人好像玩表演
[00:01:23.400 --> 00:01:25.400]  變臉藝術一樣
[00:01:25.400 --> 00:01:28.400]  話變就變
[00:01:28.400 --> 00:01:30.400]  我也要跟大家說說
[00:01:30.400 --> 00:01:33.400]  加拉太書的背景
[00:01:33.400 --> 00:01:36.400]  加拉太書就是使徒保羅
[00:01:36.400 --> 00:01:40.400]  寫給加拉太一個地方
[00:01:40.400 --> 00:01:45.400]  寫給這個地方各教會的信
[00:01:45.400 --> 00:01:47.400]  這封信大概是寫於
[00:01:47.400 --> 00:01:51.400]  公元後的49至55年之間
[00:01:51.400 --> 00:01:54.400]  這個加拉太當時是
[00:01:54.400 --> 00:01:57.400]  羅馬帝國的一個省份
[00:01:57.400 --> 00:02:00.400]  今天中國也有很多省份
[00:02:00.400 --> 00:02:02.400]  當時它是羅馬帝國
