
[00:00:00.000 --> 00:00:01.760]  的確就沒平安
[00:00:01.760 --> 00:00:03.680]  我們要禱告
[00:00:03.680 --> 00:00:07.040]  天父我們來到你的面前
[00:00:07.040 --> 00:00:09.000]  求你的靈與我們同在
[00:00:09.000 --> 00:00:12.640]  也藉着你的話語再次來提醒和幫助我們
[00:00:12.640 --> 00:00:14.840]  說我們能夠行在你的道中
[00:00:14.840 --> 00:00:16.200]  得你的悅納
[00:00:16.200 --> 00:00:18.200]  也願我們口中的言語
[00:00:18.200 --> 00:00:21.600]  心中的意念都能夠蒙上帝的保守
[00:00:21.600 --> 00:00:24.640]  也願我們能夠行在你的話語當中
[00:00:24.640 --> 00:00:26.360]  得你的悅納
[00:00:26.360 --> 00:00:27.560]  得你的眷顧
[00:00:27.560 --> 00:00:30.040]  禱告奉耶穌基督的聖名
[00:00:30.040 --> 00:00:31.040]  Amen
[00:00:31.040 --> 00:00:34.920]  好了,其實呢聖誕佳節期間呢
[00:00:34.920 --> 00:00:36.600]  很重要的一點呢
[00:00:36.600 --> 00:00:38.600]  就是我們要預備我們的心
[00:00:38.600 --> 00:00:41.080]  等候耶穌基督的降臨
[00:00:41.080 --> 00:00:43.600]  特別呢在哥羅西書
[00:00:43.600 --> 00:00:47.120]  我今天願意藉着幾段經文和大家一同分享
[00:00:47.120 --> 00:00:50.080]  哥羅西書裏面所記載
[00:00:50.080 --> 00:00:51.960]  保羅重要的勸勉
[00:00:51.960 --> 00:00:54.560]  其實在短短的幾節經文裏面
[00:00:54.560 --> 00:00:56.800]  保羅不斷地強調一件事
[00:00:56.800 --> 00:00:58.800]  要,要,要
[00:00:58.800 --> 00:01:00.800]  是不是命令
[00:01:00.800 --> 00:01:02.800]  如果是上帝的命令
[00:01:02.800 --> 00:01:04.800]  我們基督徒要不要去遵守
[00:01:04.800 --> 00:01:07.160]  要,當我們去遵守的時候
[00:01:07.160 --> 00:01:09.160]  我們就蒙了上帝的祝福
[00:01:09.160 --> 00:01:11.160]  因爲聖經裏面講
[00:01:11.160 --> 00:01:14.360]  遵守他話語的人是有福的
[00:01:14.360 --> 00:01:16.360]  所以我們接下來看
[00:01:16.360 --> 00:01:20.560]  在哥羅西書第四章第二節到第六節當中
[00:01:20.560 --> 00:01:23.560]  到底保羅呢在這裏給我們什麼樣的勸勉
[00:01:23.560 --> 00:01:25.560]  他的勸勉的話呢
[00:01:25.560 --> 00:01:27.560]  其實跟他的禱告
[00:01:27.560 --> 00:01:29.560]  跟祈求是有關係的
[00:01:29.560 --> 00:01:31.560]  另外呢,接下來講到是什麼呢
[00:01:31.560 --> 00:01:33.560]  是跟外人的關係
[00:01:33.560 --> 00:01:36.560]  是跟外邦人怎麼樣去相處
[00:01:36.560 --> 00:01:38.560]  當我們跟外邦人相處的時候
[00:01:38.560 --> 00:01:40.560]  我們的思想
[00:01:40.560 --> 00:01:42.560]  我們的行爲一定是不一樣的
[00:01:42.560 --> 00:01:44.560]  我們來看看
[00:01:44.560 --> 00:01:46.560]  基督第二節一開始的時候呢
[00:01:46.560 --> 00:01:48.560]  第四章第二節
[00:01:48.560 --> 00:01:50.560]  保羅一開始的時候
[00:01:50.560 --> 00:01:52.560]  他們勸勉我們講很重要的一件事
[00:01:52.560 --> 00:01:54.560]  叫禱告
[00:01:54.560 --> 00:01:57.560]  基督徒的生命就是禱告的生命
[00:01:57.560 --> 00:01:59.560]  我們每一天藉着禱告
[00:01:59.560 --> 00:02:01.560]  跟上帝有一個美好的交通
[00:02:01.560 --> 00:02:03.560]  禱告就是我們的生命
[00:02:03.560 --> 00:02:05.560]  禱告就是我們每一天
[00:02:05.560 --> 00:02:08.560]  必須要做的一件事
[00:02:08.560 --> 00:02:10.560]  禱告
[00:02:10.560 --> 00:02:12.560]  而且要橫切
[00:02:12.560 --> 00:02:14.560]  接下來保羅講什麼呢
[00:02:14.560 --> 00:02:17.560]  他接下來講跟人的交往
[00:02:17.560 --> 00:02:18.560]  與人的交往
[00:02:18.560 --> 00:02:21.560]  我們要在和合本里面翻譯成
[00:02:21.560 --> 00:02:23.560]  愛惜光陰
[00:02:23.560 --> 00:02:26.560]  在新義本里面翻譯成什麼呢
[00:02:26.560 --> 00:02:28.560]  要把握機會
[00:02:28.560 --> 00:02:30.560]  所以很不一樣的
[00:02:30.560 --> 00:02:32.560]  我們接下來看
[00:02:32.560 --> 00:02:34.560]  接下來保羅繼續講呢
[00:02:34.560 --> 00:02:36.560]  要的還有另外一件事
[00:02:36.560 --> 00:02:38.560]  我們跟別人接觸
[00:02:38.560 --> 00:02:40.560]  很重要的是我們的言語
[00:02:40.560 --> 00:02:42.560]  所以我們的言語當中
[00:02:42.560 --> 00:02:44.560]  要溫和
[00:02:44.560 --> 00:02:47.560]  生氣的人能不能講溫和的話語
[00:02:47.560 --> 00:02:50.560]  生氣的人有沒有辦法講溫和的話語
[00:02:50.560 --> 00:02:51.560]  沒辦法
[00:02:51.560 --> 00:02:54.560]  人一生氣就沒辦法講溫柔的話
[00:02:54.560 --> 00:02:55.560]  爲什麼呢
[00:02:55.560 --> 00:02:58.560]  因爲生氣本身來自魔鬼
[00:02:58.560 --> 00:02:59.560]  你明白嗎
[00:02:59.560 --> 00:03:01.560]  生氣本身來自魔鬼
[00:03:01.560 --> 00:03:05.560]  你怎麼可能講出溫柔良善的話來呢
[00:03:05.560 --> 00:03:06.560]  所以我們接下來看
[00:03:06.560 --> 00:03:08.560]  在第二節一開始的時候
[00:03:08.560 --> 00:03:10.560]  保羅在這裏勸勉的第一件事
[00:03:10.560 --> 00:03:12.560]  要橫切
[00:03:12.560 --> 00:03:14.560]  橫切這個詞的話呢
[00:03:14.560 --> 00:03:17.560]  在新緣裏面出現過四次
[00:03:17.560 --> 00:03:19.560]  橫切代表是什麼呢
[00:03:19.560 --> 00:03:23.560]  橫切它代表的是不斷的發生的一件事
[00:03:23.560 --> 00:03:25.560]  要不斷的發生
[00:03:25.560 --> 00:03:27.560]  一定要操練的
[00:03:27.560 --> 00:03:30.560]  橫切不是自然發生的事
[00:03:30.560 --> 00:03:33.560]  橫切是要不斷的操練
[00:03:33.560 --> 00:03:35.560]  當我們不斷操練的時候
[00:03:35.560 --> 00:03:36.560]  我們要明白
[00:03:36.560 --> 00:03:38.560]  我們不可以懶惰
[00:03:38.560 --> 00:03:40.560]  不可以灰心
[00:03:40.560 --> 00:03:41.560]  對不對
[00:03:41.560 --> 00:03:42.560]  一懶惰一灰心
[00:03:42.560 --> 00:03:44.560]  怎麼能夠叫操練呢
[00:03:44.560 --> 00:03:48.560]  世界上任何著名的鋼琴家也好
[00:03:48.560 --> 00:03:49.560]  運動員也好
[00:03:49.560 --> 00:03:51.560]  他們所做的每一件事
[00:03:51.560 --> 00:03:55.560]  其實就是從最小的時候開始操練的
[00:03:55.560 --> 00:03:57.560]  贊不贊同
[00:03:57.560 --> 00:04:01.560]  都是從最基本的開始訓練的
[00:04:01.560 --> 00:04:04.560]  所以當保羅講到橫切的時候
[00:04:04.560 --> 00:04:06.560]  他講到不是自然的事
[00:04:06.560 --> 00:04:08.560]  而是要操練的事
[00:04:08.560 --> 00:04:10.560]  保羅在其他經文裏面
