
[00:00:00.000 --> 00:00:01.420]  醫生姐妹早上好
[00:00:01.420 --> 00:00:06.000]  今天這個地方我覺得很親切
[00:00:06.000 --> 00:00:08.960]  就是大家也坐得比較近了
[00:00:08.960 --> 00:00:10.000]  在正道以前
[00:00:10.000 --> 00:00:11.420]  我們一起來禱告
[00:00:11.420 --> 00:00:13.760]  天的天父
[00:00:13.760 --> 00:00:14.700]  感謝你
[00:00:14.700 --> 00:00:18.260]  今天讓我們看到就是風暴過後
[00:00:18.260 --> 00:00:21.480]  我們還是能聚在一起
[00:00:21.480 --> 00:00:24.720]  就好像這幾年我們有不同的風量
[00:00:24.720 --> 00:00:25.920]  有不同的困難
[00:00:25.920 --> 00:00:29.780]  但是我們還是聚在一起去敬拜你
[00:00:29.780 --> 00:00:33.560]  求你幫助我們每一個人預備我們的心
[00:00:33.560 --> 00:00:35.600]  進入到你的話語的理念
[00:00:35.600 --> 00:00:38.680]  讓你的話語成為我們的提醒
[00:00:38.680 --> 00:00:40.240]  激勵教導
[00:00:40.240 --> 00:00:41.300]  我們這樣的禱告
[00:00:41.300 --> 00:00:42.200]  奉主名求
[00:00:42.200 --> 00:00:50.320]  那今天就是我們一起來看雅各的故事
[00:00:50.320 --> 00:00:56.880]  在最近不知道大家身邊有沒有經歷一些重大的轉變呢
[00:00:56.880 --> 00:01:02.480]  例如一句外地旁就是你身邊的人可能有一句外地
[00:01:02.480 --> 00:01:06.320]  在我所認識的人裡面也有不少人已經行動
[00:01:06.320 --> 00:01:08.680]  或者他們正在考慮
[00:01:08.680 --> 00:01:12.240]  其實離開自己居住多年的地方
[00:01:12.240 --> 00:01:14.280]  到另外一個不熟悉的地方
[00:01:14.280 --> 00:01:18.120]  需要不少的決心和勇氣
[00:01:18.120 --> 00:01:20.640]  在我們今天的經文裡面
[00:01:20.640 --> 00:01:25.100]  我們描述了雅各一次遷移的經歷
[00:01:25.100 --> 00:01:28.160]  不過她不是去到一個不熟悉的地方
[00:01:28.160 --> 00:01:31.920]  其實她是回到她的家鄉裡面
[00:01:31.920 --> 00:01:36.760]  在我們進入今天的經文以前
[00:01:36.760 --> 00:01:40.880]  先跟大家重溫一下雅各的經歷
[00:01:40.880 --> 00:01:42.520]  人生的經歷
[00:01:42.520 --> 00:01:44.880]  在創世紀二十五章裡面
[00:01:44.880 --> 00:01:50.360]  就記載雅各跟她的人生各個遺少的出生
[00:01:50.360 --> 00:01:53.680]  只是神一早已經減少雅各
[00:01:53.680 --> 00:01:55.680]  但是雅各她不放心
[00:01:55.680 --> 00:01:57.960]  所以她就用自己的計謀
[00:01:57.960 --> 00:02:03.720]  用紅豆湯換取遺少長子的名分
[00:02:03.720 --> 00:02:05.960]  後來她在二十七章裡面
[00:02:05.960 --> 00:02:07.840]  她更冒充遺少
[00:02:07.840 --> 00:02:09.560]  其實她的媽媽是她的幫手
[00:02:09.560 --> 00:02:12.040]  就是為她出計謀
[00:02:12.040 --> 00:02:17.040]  從她的父親以下騙取長子的祝福
[00:02:17.040 --> 00:02:20.680]  因此她的哥哥遺少就很恨她
[00:02:20.680 --> 00:02:23.280]  就是想要殺她
[00:02:23.280 --> 00:02:25.360]  所以在二十八章裡面
[00:02:25.360 --> 00:02:30.040]  她的母親就是偏愛雅各的母親李白嘉
[00:02:30.040 --> 00:02:34.080]  就洩發時就是她的父親送走她
[00:02:34.080 --> 00:02:38.560]  到她的舅舅拉班那邊去娶妻
[00:02:38.560 --> 00:02:41.120]  然後雅各她在出發的時候
[00:02:41.120 --> 00:02:44.920]  在二十八章裡面在波德利她許願
[00:02:44.920 --> 00:02:47.440]  她看到了天梯
[00:02:47.440 --> 00:02:49.760]  象神歷史許願
[00:02:49.760 --> 00:02:52.880]  然後在二十九到三十一章裡面
[00:02:52.880 --> 00:02:56.920]  就記載雅各她順利到了拉班的家
[00:02:56.920 --> 00:02:59.960]  她愛上了拉班的小女兒賴姐
[00:02:59.960 --> 00:03:05.400]  但是雅各她遇上一個比她更厲害的騙徒
[00:03:05.400 --> 00:03:07.560]  所以她就被騙了
[00:03:07.560 --> 00:03:10.480]  她先被迫娶了利亞
[00:03:10.480 --> 00:03:12.240]  就是她不愛的利亞
[00:03:12.240 --> 00:03:13.680]  後來她在打工
[00:03:13.680 --> 00:03:18.440]  然後才可以娶到她真的所愛的賴姐
[00:03:18.440 --> 00:03:21.760]  然後在二十年的裡面神賜福給她
[00:03:21.760 --> 00:03:25.400]  讓她有十一個兒子一個女兒
[00:03:25.400 --> 00:03:28.800]  而且她也贊贊的富強起來
[00:03:28.800 --> 00:03:34.480]  但是因為這樣她招來了她的舅舅的執度
[00:03:34.480 --> 00:03:37.720]  還有她舅舅的兒子也不喜歡她
[00:03:37.720 --> 00:03:41.760]  在這個時候神就吩咐她回到她的家鄉去
[00:03:41.760 --> 00:03:48.120]  於是雅各她連夜待絕她的妻子兒女和所有的財產
[00:03:48.120 --> 00:03:52.280]  其實好像是逃離她的舅舅拉班一樣
