
[00:00:00.000 --> 00:00:04.460]  使徒保羅在《哥林多前書》裏面說過一句這樣的說話
[00:00:04.460 --> 00:00:08.800]  他説神已經將我們一群做使徒的
[00:00:08.800 --> 00:00:14.260]  列在一個巡遊的最後
[00:00:14.260 --> 00:00:18.360]  那個巡遊是一個勝利的巡遊
[00:00:18.360 --> 00:00:22.100]  但是這群使徒他們不是得勝的那一群
[00:00:22.100 --> 00:00:27.600]  是一群好像定了死罪的戰俘一樣
[00:00:27.600 --> 00:00:30.900]  因為這群屬於上帝的人
[00:00:30.900 --> 00:00:34.660]  他們好像要成為一台戲
[00:00:34.660 --> 00:00:40.800]  給世界天使和眾人觀看
[00:00:40.800 --> 00:00:42.500]  我為何想起這句聖經呢?
[00:00:42.500 --> 00:00:48.100]  我想起這個星期
[00:00:48.100 --> 00:00:49.900]  好像覺得這個星期
[00:00:49.900 --> 00:00:54.000]  《牧者》好像成為了一台戲一樣
[00:00:54.000 --> 00:01:04.300]  全個香港都在一起討論、一起評論、一起說一篇訊息
[00:01:04.300 --> 00:01:06.200]  好像這一刻
[00:01:06.200 --> 00:01:10.100]  《牧者》就成為了城中的熱話
[00:01:10.100 --> 00:01:13.000]  我不知道這件事是好事還是壞事
[00:01:13.000 --> 00:01:19.400]  不過知道當我今天要分享這個詩篇139篇的時候
[00:01:19.400 --> 00:01:21.900]  裏面的訊息告訴我
[00:01:21.900 --> 00:01:24.700]  亦都很想跟大家分享的就是
[00:01:24.700 --> 00:01:31.000]  我們今天不單止要在神的面前被檢視
[00:01:31.000 --> 00:01:35.600]  同樣的我們要在這個世代裏面被檢視
[00:01:35.600 --> 00:01:38.200]  我雖然是讀文科出身的
[00:01:38.200 --> 00:01:43.500]  但是自問文學的品味非常偏頗而且狹窄
[00:01:43.500 --> 00:01:48.200]  我記得讀書的時候讀得比較多一點點那些叫唐詩的東西
[00:01:48.200 --> 00:01:53.700]  我記得唐詩很著重要去那些字要對
[00:01:53.700 --> 00:02:00.200]  那些平則、那些對偶等等很多那些垃圾收詞的東西
[00:02:00.200 --> 00:02:02.900]  我覺得從小到大都是這樣受影響
[00:02:02.900 --> 00:02:07.000]  覺得這些詩歌就應該有這些東西的
[00:02:07.000 --> 00:02:11.100]  要有這些元素才是上乘的作品
[00:02:11.100 --> 00:02:15.300]  慢慢去到讀聖經
[00:02:15.300 --> 00:02:17.500]  原來聖經裏面有一篇叫詩篇的
[00:02:17.500 --> 00:02:19.500]  我打開來看一下
[00:02:19.500 --> 00:02:21.300]  咦,是什麼來的?
[00:02:21.300 --> 00:02:23.800]  不是那回事,我自己覺得不是那回事
[00:02:23.800 --> 00:02:27.800]  跟我讀的詩歌好像不太一樣
[00:02:27.800 --> 00:02:30.000]  後來慢慢認識多一點
[00:02:30.000 --> 00:02:33.800]  知道昔日的翻譯聖經的前輩其實很努力
[00:02:33.800 --> 00:02:34.900]  做了很多功夫
[00:02:34.900 --> 00:02:39.700]  很想翻譯到原本希伯來文的那種神髓
[00:02:39.700 --> 00:02:44.000]  不過因為我裏面的框框實在太過牢固了
[00:02:44.000 --> 00:02:48.600]  我覺得一直看詩篇都不太覺得那些是詩歌
[00:02:48.600 --> 00:02:53.800]  覺得品味不到那種意境出來
[00:02:53.800 --> 00:02:55.800]  直至我讀到今天
[00:02:55.800 --> 00:03:00.000]  我們將要看那篇139篇詩篇
[00:03:00.000 --> 00:03:04.700]  那種內容令我真的覺得這篇很厲害
[00:03:04.700 --> 00:03:07.900]  真的有一種詩歌的意境
[00:03:07.900 --> 00:03:10.800]  剛剛我們其實已經唱了一部分的經文
[00:03:10.800 --> 00:03:14.600]  不過不知道大家有沒有試過整篇從頭到尾讀
[00:03:14.600 --> 00:03:15.800]  有吧?
[00:03:15.800 --> 00:03:17.700]  不過我們知道
[00:03:17.700 --> 00:03:20.500]  24節的經文叫大家一口氣讀完的話
[00:03:20.500 --> 00:03:21.600]  大家就沒有氣了
[00:03:21.600 --> 00:03:23.800]  今晚可能累到起不了身體波
[00:03:23.800 --> 00:03:24.800]  不要緊
