
[00:00:00.000 --> 00:00:02.960]  大家好 我是鄭牧師
[00:00:02.960 --> 00:00:06.280]  很高興今天能夠和大家一起在這裡敬拜上帝
[00:00:06.280 --> 00:00:08.440]  很久沒有這樣的機會了
[00:00:08.440 --> 00:00:10.120]  今天有這樣的機會
[00:00:10.120 --> 00:00:11.920]  心裏面非常興奮
[00:00:11.920 --> 00:00:13.760]  我不知道你有沒有很興奮
[00:00:13.760 --> 00:00:15.160]  雖然看不到你的樣子
[00:00:15.160 --> 00:00:16.600]  但我知道你正在笑
[00:00:16.600 --> 00:00:17.920]  哈哈哈哈
[00:00:17.920 --> 00:00:20.040]  我正在笑 你會知道
[00:00:20.040 --> 00:00:23.400]  我們一起祈禱好嗎
[00:00:23.400 --> 00:00:24.680]  七位恩主我們感謝你
[00:00:24.680 --> 00:00:27.960]  讓我們今天能夠
[00:00:27.960 --> 00:00:30.280]  在這裏一同去敬拜
[00:00:30.280 --> 00:00:32.240]  賦予我們每一個人的靈
[00:00:32.240 --> 00:00:33.920]  我們都歸向你
[00:00:33.920 --> 00:00:36.520]  願意我們看到的
[00:00:36.520 --> 00:00:38.720]  是我們眼見不到的
[00:00:38.720 --> 00:00:40.560]  我們聽到的
[00:00:40.560 --> 00:00:42.400]  是主你自己的聲音
[00:00:42.400 --> 00:00:44.120]  賦予我們何等渴望
[00:00:44.120 --> 00:00:47.480]  我們能夠成為一個敬拜你的人
[00:00:47.480 --> 00:00:48.480]  願意在這一刻
[00:00:48.480 --> 00:00:49.480]  神你的靈
[00:00:49.480 --> 00:00:51.400]  充滿我們每一個人的內心
[00:00:51.400 --> 00:00:53.160]  打開我們的心扉
[00:00:53.160 --> 00:00:54.440]  讓你自己的話語
[00:00:54.440 --> 00:00:55.920]  讓你的訊息
[00:00:55.920 --> 00:00:58.000]  進入我們的生命
[00:00:58.000 --> 00:00:59.600]  我們能夠榮耀你
[00:00:59.600 --> 00:01:00.640]  我們祈禱交託
[00:01:00.640 --> 00:01:01.880]  奉主名求
[00:01:01.880 --> 00:01:04.520]  阿們
[00:01:04.520 --> 00:01:05.480]  很高興
[00:01:05.480 --> 00:01:09.760]  這段時間有很多節日
[00:01:09.760 --> 00:01:11.600]  接下來這個星期又國慶
[00:01:11.600 --> 00:01:13.760]  上個星期又父親節
