
[00:00:00.000 --> 00:00:01.900]  今天我們在第三堂的時候
[00:00:01.900 --> 00:00:04.060]  我想用一段的聖經
[00:00:04.060 --> 00:00:05.820]  就是約翰一書
[00:00:05.820 --> 00:00:09.020]  我們會看約翰一書的三章一到七節
[00:00:09.020 --> 00:00:11.220]  我們從這幾段聖經來學習
[00:00:11.220 --> 00:00:13.580]  我們怎麼樣可以活出一個光的生命
[00:00:13.580 --> 00:00:15.380]  我們怎麼活出一個光的生命
[00:00:15.380 --> 00:00:18.660]  那麼在約翰一書的三章一到七節裏面
[00:00:18.660 --> 00:00:19.580]  我會分三段
[00:00:19.580 --> 00:00:21.340]  那第一段我們講的是
[00:00:21.340 --> 00:00:24.580]  我們怎麼樣需要活得像天父的兒女
[00:00:24.580 --> 00:00:26.780]  就是我們如果身份是天父的兒女
[00:00:26.780 --> 00:00:28.700]  我們活出來真的像的話
[00:00:28.700 --> 00:00:31.420]  那麼別人看到就會覺得
[00:00:31.420 --> 00:00:32.940]  基督徒多好
[00:00:32.940 --> 00:00:35.620]  在約翰一書的三章一到三節是這麼說的
[00:00:35.620 --> 00:00:36.540]  那邊說
[00:00:36.540 --> 00:00:38.820]  你們看天父多麼愛我們
[00:00:38.820 --> 00:00:41.820]  甚至稱我們爲上帝的兒女
[00:00:41.820 --> 00:00:44.540]  事實上我們就是他的兒女
[00:00:44.540 --> 00:00:46.340]  世人所以不認識我們
[00:00:46.340 --> 00:00:49.060]  是因爲他們還不認識上帝
[00:00:49.060 --> 00:00:50.380]  親愛的朋友們
[00:00:50.380 --> 00:00:52.820]  現在我們是上帝的兒女
[00:00:52.820 --> 00:00:55.180]  將來會變成怎樣
[00:00:55.180 --> 00:00:56.900]  還沒有顯明
[00:00:56.900 --> 00:00:59.100]  可是我們知道
[00:00:59.100 --> 00:01:02.260]  基督顯現的時候我們都會像他
[00:01:02.260 --> 00:01:05.060]  因爲我們將看見他的真相
[00:01:05.060 --> 00:01:07.540]  每一個盼望基督顯明的人
[00:01:07.540 --> 00:01:10.220]  都會保持自己的純潔
[00:01:10.220 --> 00:01:14.700]  正像基督是純潔的一樣
[00:01:14.700 --> 00:01:17.900]  基本上約翰福音在針對一個問題
[00:01:17.900 --> 00:01:18.420]  一個問題
[00:01:18.420 --> 00:01:19.940]  那就是這個問題就很簡單
[00:01:19.940 --> 00:01:22.780]  你需要問一個問題就是
[00:01:22.780 --> 00:01:25.420]  我怎麼樣可以真的知道
[00:01:25.420 --> 00:01:27.220]  我是一個基督徒
[00:01:27.220 --> 00:01:28.380]  我不知道你信主多久
[00:01:28.380 --> 00:01:29.140]  有些沒信主
[00:01:29.140 --> 00:01:32.060]  有些信主很長一段時間
[00:01:32.060 --> 00:01:34.140]  你或許會問一個問題
[00:01:34.140 --> 00:01:36.340]  我真的是得救嗎
[00:01:36.340 --> 00:01:38.380]  我真的是神的兒女嗎
[00:01:38.380 --> 00:01:40.020]  所以約翰義書基本上
[00:01:40.020 --> 00:01:41.700]  他在回答這個問題
[00:01:41.700 --> 00:01:42.900]  那麼他要回答這個問題
[00:01:42.900 --> 00:01:44.340]  是因爲有兩個原因
[00:01:44.340 --> 00:01:46.060]  第二個是因爲在教會里面
[00:01:46.060 --> 00:01:48.260]  有一些假的教師在
[00:01:48.260 --> 00:01:49.060]  意思就是說
[00:01:49.060 --> 00:01:50.940]  在一羣真的基督徒裏面
[00:01:50.940 --> 00:01:53.460]  有些假的基督徒在裏面
[00:01:53.460 --> 00:01:56.100]  他們不是來這邊認識神
[00:01:56.100 --> 00:01:56.980]  悟道是OK
[00:01:56.980 --> 00:01:58.380]  就是都歡迎
[00:01:58.380 --> 00:02:01.340]  可是那種人不是來悟道的
[00:02:01.340 --> 00:02:02.860]  不是來學習真理
[00:02:02.860 --> 00:02:04.460]  他們是來鬧事的
[00:02:04.460 --> 00:02:07.100]  基本上他們是在找麻煩
[00:02:07.100 --> 00:02:08.740]  所以約翰就很討厭他們
[00:02:08.740 --> 00:02:10.700]  就說你們當中有假教師
[00:02:10.700 --> 00:02:11.940]  就亂教你們東西
[00:02:11.940 --> 00:02:14.100]  所以因爲有假的
[00:02:14.100 --> 00:02:15.180]  你就需要知道
[00:02:15.180 --> 00:02:16.820]  真的是怎麼樣的
[00:02:16.820 --> 00:02:18.500]  就如果我們當中有些
[00:02:18.500 --> 00:02:20.220]  過來鬧事的假的基督徒
[00:02:20.220 --> 00:02:20.980]  自稱的基督徒
[00:02:20.980 --> 00:02:23.500]  過來鬧事製造麻煩
[00:02:23.500 --> 00:02:25.140]  那你就需要知道說
[00:02:25.140 --> 00:02:27.060]  那我們需要大概弟兄姐妹
[00:02:27.060 --> 00:02:28.300]  知道一下基督徒
[00:02:28.300 --> 00:02:29.860]  到底有什麼表現
[00:02:29.860 --> 00:02:32.540]  來分辨說到底誰是真誰是假
[00:02:32.540 --> 00:02:33.860]  因爲每個教會都有假的
[00:02:33.860 --> 00:02:36.140]  我以前遇過很糟糕的基督徒
[00:02:36.140 --> 00:02:37.380]  就糟糕得不得了
[00:02:37.380 --> 00:02:39.500]  所以就是讓你覺得很恐怖
[00:02:39.500 --> 00:02:41.580]  爲什麼基督徒可以做成這樣子呢
[00:02:41.580 --> 00:02:42.620]  就每個教會大概都有
[00:02:42.620 --> 00:02:43.740]  那麼一兩個這樣的人
[00:02:43.740 --> 00:02:46.940]  所以你知道在中國大陸
[00:02:46.940 --> 00:02:49.700]  現在他們比較遇到的威脅
[00:02:49.700 --> 00:02:51.660]  假的基督徒是來自什麼
[00:02:51.660 --> 00:02:52.780]  我們所謂的異端
[00:02:52.780 --> 00:02:54.660]  就是東方閃電
[00:02:54.660 --> 00:02:55.700]  不知道大家有沒有聽過
[00:02:55.700 --> 00:02:56.980]  就東方閃電就很簡單
[00:02:56.980 --> 00:02:58.780]  他們覺得
[00:02:58.780 --> 00:03:00.540]  幕後有另外一個基督的來到
[00:03:00.540 --> 00:03:02.020]  那個基督是女的
[00:03:02.020 --> 00:03:04.060]  就以前耶穌基督是男的
[00:03:04.060 --> 00:03:06.300]  幕後有個女的會來
[00:03:06.300 --> 00:03:08.260]  所以那些人就來到教會里面
[00:03:08.260 --> 00:03:11.300]  在家庭教會里面就亂教導
[00:03:11.300 --> 00:03:13.220]  他們剛來的時候你認不出
[00:03:13.220 --> 00:03:15.060]  他們會很熱心的侍奉
[00:03:15.060 --> 00:03:18.340]  你都把他當成是真的基督徒一樣
[00:03:18.340 --> 00:03:20.740]  因爲牧師都很喜歡一些很熱心的信徒
