
[00:00:00.000 --> 00:00:03.940]  今天我們會繼續來看以塞亞書的訊息
[00:00:03.940 --> 00:00:05.720]  可能從今年開始
[00:00:05.720 --> 00:00:10.860]  我想弟兄姊妹大部分我們在崇拜的講道
[00:00:10.860 --> 00:00:14.160]  都是用以塞亞書的經文
[00:00:14.160 --> 00:00:19.280]  可能你都會覺得有些其實都好像以前有印象聽過
[00:00:19.280 --> 00:00:20.440]  其實都是的
[00:00:20.440 --> 00:00:21.920]  在整個以塞亞書裡面
[00:00:21.920 --> 00:00:27.360]  才是繼續不斷來代表神來宣講這個訊息
[00:00:27.360 --> 00:00:30.920]  正正因為以色列人那種心態
[00:00:30.920 --> 00:00:36.520]  或者以色列人那種情況是神所不起悅的
[00:00:36.520 --> 00:00:41.280]  所以神藉著先知所講的就是不厭其煩
[00:00:41.280 --> 00:00:45.520]  來指出這幫以色列人的問題在哪裡
[00:00:45.520 --> 00:00:48.760]  同樣我相信這個都是今天我們有時做記憶圖
[00:00:48.760 --> 00:00:50.000]  我們的行事為人
[00:00:50.000 --> 00:00:53.040]  我們都需要去引以為鑑
[00:00:53.040 --> 00:00:56.200]  我們可能都會重蹈以色列人的覆轍
[00:00:56.200 --> 00:00:58.400]  所以我好盼望今天我們都藉著
[00:00:58.400 --> 00:01:03.400]  以塞亞書四十八章裡面的經文幫助我們
[00:01:03.400 --> 00:01:10.320]  這段經文其實再一次神要指責這幫以色列人
[00:01:10.320 --> 00:01:12.720]  他們是一幫有口無心
[00:01:12.720 --> 00:01:14.520]  他們是一幫自以為是
[00:01:14.520 --> 00:01:17.760]  他們是一幫驕傲剛硬的人
[00:01:17.760 --> 00:01:23.040]  但他們又誇口他們好像可以預知到未來
[00:01:23.040 --> 00:01:25.240]  可以很有能力
[00:01:25.240 --> 00:01:31.080]  我相信這個正正就是很多人的心態都是類似這樣
[00:01:31.080 --> 00:01:34.280]  所以我好想在今天的經文裡面幫助我們
[00:01:34.280 --> 00:01:36.440]  我們要明白我們要記得
[00:01:36.440 --> 00:01:40.920]  誰才是真正掌管未來
[00:01:40.920 --> 00:01:44.080]  我用了一個現代中文譯本的聖經
