
[00:00:00.000 --> 00:00:02.260]  天氣涼了很多,冷不冷?
[00:00:02.260 --> 00:00:03.620]  冷啊
[00:00:03.620 --> 00:00:06.920]  回到教會,坐在一起
[00:00:06.920 --> 00:00:10.920]  還有很多夜半歌聲
[00:00:10.920 --> 00:00:13.880]  「普世歡恆」
[00:00:13.880 --> 00:00:17.960]  應該將喜樂和平安淋在當中
[00:00:17.960 --> 00:00:21.380]  今天的題目好像跟聖誕節沒有關係
[00:00:21.380 --> 00:00:24.740]  但很有關係,因為說到耶穌復活
[00:00:24.740 --> 00:00:27.080]  更加有關係
[00:00:27.080 --> 00:00:35.540]  從9月開始,我們開始講哥倫多前書的後半部
[00:00:35.540 --> 00:00:40.840]  如果大家有留意,哥倫多前書是回應教會很多的問題
[00:00:40.840 --> 00:00:42.840]  保留不斷回答
[00:00:42.840 --> 00:00:44.840]  我們關於主餐的問題
[00:00:44.840 --> 00:00:46.840]  關於人亂的問題
[00:00:46.840 --> 00:00:49.840]  關於吃過偶像食物的問題的處理
[00:00:49.840 --> 00:00:51.840]  包括因次
[00:00:51.840 --> 00:00:54.580]  特別是講謊言的因次的問題
[00:00:54.580 --> 00:00:56.580]  保留不斷處理
[00:00:56.580 --> 00:01:00.580]  到了哥倫多教會第15章
[00:01:00.580 --> 00:01:02.580]  保留處理什麼問題呢?
[00:01:02.580 --> 00:01:04.580]  處理一個復活的問題
[00:01:04.580 --> 00:01:07.580]  整個第15章都有講
[00:01:07.580 --> 00:01:09.580]  我們有58節
[00:01:09.580 --> 00:01:11.580]  所以我今天集中講58節
[00:01:11.580 --> 00:01:13.580]  前半部12節說
[00:01:13.580 --> 00:01:15.580]  既然我們中間
[00:01:15.580 --> 00:01:18.580]  我們全基督是從死人中復了
[00:01:18.580 --> 00:01:20.580]  怎麼在你們中間有人說
[00:01:20.580 --> 00:01:22.580]  「沒有死人復活的事」呢?
[00:01:22.580 --> 00:01:24.580]  既然在哥倫多教裡
[00:01:24.580 --> 00:01:26.580]  有人會說
[00:01:26.580 --> 00:01:28.580]  「沒有死人復活的事」
[00:01:28.580 --> 00:01:30.580]  是不是匪夷所思?
[00:01:30.580 --> 00:01:32.580]  既然教會有人不相信復活
[00:01:32.580 --> 00:01:35.580]  保留在第35節提及到
[00:01:35.580 --> 00:01:37.580]  有人會問
[00:01:37.580 --> 00:01:39.580]  「死人怎麼復活呢?
[00:01:39.580 --> 00:01:41.580]  他們帶著什麼身體來呢?」
[00:01:41.580 --> 00:01:43.580]  背後你會感受到
[00:01:43.580 --> 00:01:45.580]  教會竟然有人會覺得
[00:01:45.580 --> 00:01:48.580]  復活這些事是荒謬的
[00:01:48.580 --> 00:01:50.580]  不可以相信的
[00:01:50.580 --> 00:01:52.580]  其實究竟是什麼回事呢?
[00:01:52.580 --> 00:01:54.580]  如果你看哥倫多教會的背景
[00:01:54.580 --> 00:01:57.580]  原來他們不是不相信復活
[00:01:57.580 --> 00:02:00.580]  他們覺得靈魂是不滅的
[00:02:00.580 --> 00:02:03.580]  他們只是不相信身體會復活
[00:02:03.580 --> 00:02:05.580]  為什麼不相信身體會復活呢?
[00:02:05.580 --> 00:02:08.580]  因為當時在希臘的哲學家裡
[00:02:08.580 --> 00:02:11.580]  有一種叫做「諾斯底主義」
[00:02:11.580 --> 00:02:13.580]  諾斯底主義是一個二元論
[00:02:13.580 --> 00:02:17.580]  他覺得肉體、物質的東西是邪惡的
[00:02:17.580 --> 00:02:20.580]  所以根本一個復活的身體
[00:02:20.580 --> 00:02:24.580]  不一定是邪惡的
[00:02:24.580 --> 00:02:26.580]  因為復活身體是有肉體的
[00:02:26.580 --> 00:02:29.580]  是會摸到的,在世上的
[00:02:29.580 --> 00:02:31.580]  所以覺得不可能
[00:02:31.580 --> 00:02:33.580]  甚至乎,如果你看哥倫多教會的情況
[00:02:33.580 --> 00:02:36.580]  他們有些人有一個屬靈的恩賜
[00:02:36.580 --> 00:02:40.580]  能夠說天上天使的謊言
[00:02:40.580 --> 00:02:42.580]  「我已經靈性復活了」
[00:02:42.580 --> 00:02:44.580]  「我已經能夠說天上的謊言了」
[00:02:44.580 --> 00:02:46.580]  所以他們覺得復活這件事
[00:02:46.580 --> 00:02:47.580]  已經在教會裡
[00:02:47.580 --> 00:02:49.580]  所以你不會覺得有身體復活
[00:02:49.580 --> 00:02:52.580]  有死人復活這件事,他們不接受
[00:02:52.580 --> 00:02:55.580]  但是,你知不知道
[00:02:55.580 --> 00:02:58.580]  如果我們像哥倫多教的思想那樣
[00:02:58.580 --> 00:03:00.580]  不相信有死人復活
[00:03:00.580 --> 00:03:03.580]  你猜會有多影響我們基督教的信仰?
[00:03:03.580 --> 00:03:04.580]  大家想想
[00:03:04.580 --> 00:03:06.580]  現在跳出來
[00:03:06.580 --> 00:03:08.580]  如果你覺得,如果我今天
[00:03:08.580 --> 00:03:11.580]  現在不要切掉我講道,只講這句
[00:03:11.580 --> 00:03:13.580]  「其實基督教沒有死人復活的」
[00:03:13.580 --> 00:03:15.580]  你聽完之後,你會覺得怎樣?
[00:03:15.580 --> 00:03:18.580]  你可能會問,我坐在這裡做什麼?
[00:03:18.580 --> 00:03:20.580]  我坐在這裡在等什麼?
[00:03:20.580 --> 00:03:23.580]  基督教整個信仰就建立在復活裡面
