
[00:00:00.000 --> 00:00:06.440]  最近英國威廉王子海特王妃傳出喜訊
[00:00:06.440 --> 00:00:08.440]  證實懷孕
[00:00:08.440 --> 00:00:16.160]  雖然當中發生了惡作劇
[00:00:16.160 --> 00:00:19.160]  導致有護士自殺
[00:00:19.160 --> 00:00:24.000]  這件事令整件很開心的事
[00:00:24.000 --> 00:00:26.000]  蒙上陰影
[00:00:26.000 --> 00:00:29.000]  但畢竟這仍是開心的事
[00:00:29.000 --> 00:00:33.000]  不只英國王室歡喜
[00:00:33.000 --> 00:00:35.000]  全英國的人都很歡喜
[00:00:35.000 --> 00:00:39.000]  甚至全世界的人都替她開心
[00:00:39.000 --> 00:00:48.000]  更有網民預測她們生出來的嬰兒將來會是怎樣
[00:00:48.000 --> 00:00:51.000]  不知道他們預測得準不準確
[00:00:51.000 --> 00:00:57.000]  有嬰兒來到世上是值得人歡喜的事
[00:00:57.000 --> 00:01:02.000]  見到嬰兒就覺得他們很可愛很開心
[00:01:02.000 --> 00:01:04.000]  大家覺得這個嬰兒怎樣呢?
[00:01:04.000 --> 00:01:07.000]  大家認得他嗎?
[00:01:07.000 --> 00:01:10.000]  很厲害,一眼就認出
[00:01:10.000 --> 00:01:12.000]  我當時沒有戴眼鏡
[00:01:12.000 --> 00:01:18.000]  有嬰兒來到,我們都會為他們預備最好的
[00:01:18.000 --> 00:01:21.000]  安排最好的醫院、醫生
[00:01:21.000 --> 00:01:24.000]  盡量安排最好的
[00:01:24.000 --> 00:01:28.000]  特別是父母會很開心幫他們拍照
[00:01:28.000 --> 00:01:31.000]  現在網絡世界很方便
[00:01:31.000 --> 00:01:34.000]  我們在Facebook上載很多嬰兒的照片
[00:01:34.000 --> 00:01:40.000]  嬰兒第一次笑,第一次坐著,第一次打哭
[00:01:40.000 --> 00:01:43.000]  都拍照分享給全世界人看
[00:01:43.000 --> 00:01:45.000]  不理你喜不喜歡看
[00:01:45.000 --> 00:01:46.000]  你不喜歡看一件事
[00:01:46.000 --> 00:01:49.000]  總之他就慌死沒人知道
[00:01:49.000 --> 00:01:54.000]  但在二千年前有一個嬰兒
[00:01:54.000 --> 00:01:57.000]  他的身份比任何人都特殊
[00:01:57.000 --> 00:02:00.000]  但是他來到這個世界的時候
[00:02:00.000 --> 00:02:02.000]  他一點都不矜貴
[00:02:02.000 --> 00:02:03.000]  不要說醫院
[00:02:03.000 --> 00:02:08.000]  他的父母連居住客店的地方都沒有
[00:02:08.000 --> 00:02:12.000]  最後他們要在馬槽分娩
[00:02:12.000 --> 00:02:16.000]  相信聰明的你一定知道我是說誰
[00:02:16.000 --> 00:02:19.000]  就是我們的主耶穌
[00:02:19.000 --> 00:02:21.000]  主耶穌是救主
[00:02:21.000 --> 00:02:23.000]  祂來是要拯救世人
[00:02:23.000 --> 00:02:31.000]  不過祂並沒有用一個君臨天下的姿態來出現
[00:02:31.000 --> 00:02:36.000]  祂卻是在簡陋的馬槽降生
[00:02:36.000 --> 00:02:38.000]  並且祂出生的時候
[00:02:38.000 --> 00:02:42.000]  也沒有向全世界人公佈這個消息
[00:02:42.000 --> 00:02:48.000]  祂只是揀選一些卑微的人來宣告這個訊息
[00:02:48.000 --> 00:02:51.000]  到底這件事有什麼特別呢?
[00:02:51.000 --> 00:02:56.000]  對我們今天的我們來說有什麼意義呢?
[00:02:56.000 --> 00:03:01.000]  首先我想和大家一起看看
[00:03:01.000 --> 00:03:05.000]  這個訊息是向什麼人宣告的
[00:03:05.000 --> 00:03:10.000]  剛才在主席讀第八節的經文說到
[00:03:10.000 --> 00:03:13.000]  在伯利恆的野地裡有牧羊的人
[00:03:13.000 --> 00:03:17.000]  夜間按著奸刺看守羊群
[00:03:17.000 --> 00:03:19.000]  這裡提到野地
[00:03:19.000 --> 00:03:23.000]  但其實原文並沒有說什麼野地
[00:03:23.000 --> 00:03:27.000]  只是說伯利恆那一帶的地方
[00:03:27.000 --> 00:03:32.000]  伯利恆距離耶路撒冷很近
[00:03:32.000 --> 00:03:40.000]  所以有學者認為這些牧羊人所牧養的羊是非一般的羊
