
[00:00:00.000 --> 00:00:03.000]  今天和大家來思想一段經文
[00:00:03.000 --> 00:00:08.040]  記載在《爾賽亞書》第五章二十至二十三節
[00:00:08.040 --> 00:00:12.220]  請大家聽我讀這段經文
[00:00:30.000 --> 00:00:37.000]  曰:「聖達的人,和哉那些勇於飲酒,以能力調弄酒的人!
[00:00:37.000 --> 00:00:45.000]  他們因受賄賂,就稱惡人為異,將異人的異奪去。」
[00:00:45.000 --> 00:00:52.000]  在爾賽亞的時代,神直覺先知責備當時有一班以色列人
[00:00:52.000 --> 00:00:57.000]  他們是是非顛倒的
[00:00:57.000 --> 00:01:01.000]  我們不知道當時有多少以色列人
[00:01:01.000 --> 00:01:08.000]  但我們相信這段經文正好形容我們今天的世代
[00:01:08.000 --> 00:01:14.000]  整個潮流文化走向這種情況
[00:01:14.000 --> 00:01:16.000]  將是非顛倒
[00:01:16.000 --> 00:01:26.000]  以前的年代裡,是非對錯有很清楚的界限、分別
[00:01:26.000 --> 00:01:29.000]  所以我們很容易跟從
[00:01:29.000 --> 00:01:33.000]  今天的時代我們發現不是這樣的情況
[00:01:33.000 --> 00:01:38.000]  今天的時代是將好的變成壞的
[00:01:38.000 --> 00:01:40.000]  將壞的變成好的
[00:01:40.000 --> 00:01:44.000]  一個是非顛倒的世代
[00:01:44.000 --> 00:01:46.000]  是整個潮流
[00:01:46.000 --> 00:01:55.000]  這種潮流在學術上是所謂上個世紀後段時間開始的
[00:01:55.000 --> 00:01:59.000]  我們所謂後現代的文化
[00:01:59.000 --> 00:02:02.000]  現代的文化之前是現代的文化
[00:02:02.000 --> 00:02:10.000]  現代的文化就是說我們可以透過很客觀的定律
[00:02:10.000 --> 00:02:12.000]  客觀的原則
[00:02:12.000 --> 00:02:19.000]  透過科學去尋找得到真理
[00:02:19.000 --> 00:02:26.000]  但到了上世紀末後一段時間,世界上的人告訴我們
[00:02:26.000 --> 00:02:29.000]  我們根本找不到真理
[00:02:29.000 --> 00:02:31.000]  這個世界上沒有真理
