
[00:00:00.000 --> 00:00:03.000]  今天我也繼續在神的面前
[00:00:03.000 --> 00:00:06.000]  因著神給我一點點的感動
[00:00:06.000 --> 00:00:11.000]  我繼續地願意以《出埃及記》跟大家來分享
[00:00:11.000 --> 00:00:14.500]  《出埃及記》十一章,若是你平凡地來念
[00:00:14.500 --> 00:00:17.500]  實在沒有什麼可以念出來的
[00:00:17.500 --> 00:00:21.000]  因為當中是講到逾越劫之前
[00:00:21.000 --> 00:00:27.000]  神如何預備一切的百姓離開埃及進到江南
[00:00:27.000 --> 00:00:29.000]  可以說這個經文只是講到
[00:00:29.000 --> 00:00:31.000]  是一個歷史中的片段
[00:00:31.000 --> 00:00:34.000]  當中沒有什麼可以去看
[00:00:34.000 --> 00:00:36.000]  然而在神的手中
[00:00:36.000 --> 00:00:39.000]  祂的話語可以成為活潑的盼望
[00:00:39.000 --> 00:00:42.000]  就好像一個醫生的手一樣
[00:00:42.000 --> 00:00:45.000]  當你這個刀進到身體的當中
[00:00:45.000 --> 00:00:48.000]  是可以敗壞也可以醫治的一樣
[00:00:48.000 --> 00:00:51.000]  當聖靈引導我們來看神的話語
[00:00:51.000 --> 00:00:54.000]  原來歷史中的一點點的記載
[00:00:54.000 --> 00:00:58.000]  都可以成為我們生命中重大的盼望
[00:00:58.000 --> 00:01:01.000]  我就願意以這種心情帶著謙卑
[00:01:01.000 --> 00:01:06.000]  跟大家來看《出埃及記》的十一章
[00:01:06.000 --> 00:01:09.000]  剛才我們稍微有念過這個經文
[00:01:09.000 --> 00:01:12.000]  我盼望給大家一點在背景當中的了解
[00:01:12.000 --> 00:01:15.000]  所以請同工把那個經文再打出來
[00:01:15.000 --> 00:01:17.000]  《出埃及記》的十一章
[00:01:17.000 --> 00:01:19.000]  我在一邊念的時候
[00:01:19.000 --> 00:01:23.000]  我希望稍微解釋一下當中的背景
[00:01:23.000 --> 00:01:26.000]  好在我們能夠在當中得著一處
[00:01:26.000 --> 00:01:28.000]  耶華對摩西說
[00:01:28.000 --> 00:01:30.000]  《出埃及記》十一章第一節
[00:01:30.000 --> 00:01:37.000]  我在使一樣的災禍臨到法老和埃及
[00:01:37.000 --> 00:01:40.000]  然後他逼容你們離開這個地方
[00:01:40.000 --> 00:01:42.000]  他容你們去的時候
[00:01:42.000 --> 00:01:46.000]  總是催逼你們從這地出去
[00:01:46.000 --> 00:01:49.000]  神施行了九個災
[00:01:49.000 --> 00:01:52.000]  法老還沒有改變過來
[00:01:52.000 --> 00:01:54.000]  然後神對摩西說
[00:01:54.000 --> 00:01:57.000]  還有一個災害要臨到他們的身上
[00:01:57.000 --> 00:01:59.000]  大家曉得這個災害是什麼
[00:01:59.000 --> 00:02:01.000]  就是在埃及地的裡面
[00:02:01.000 --> 00:02:05.000]  沒有一個埃及出生的長子
[00:02:05.000 --> 00:02:08.000]  或者出生中的頭生
[00:02:08.000 --> 00:02:12.000]  不蒙這個刀劍之害
[00:02:12.000 --> 00:02:14.000]  在當中很清楚的講到
[00:02:14.000 --> 00:02:17.000]  到時候法老逼容你們出去
[00:02:17.000 --> 00:02:21.000]  總要催逼你們從這地出去
[00:02:21.000 --> 00:02:23.000]  那原文裡面特別的講到
[00:02:23.000 --> 00:02:25.000]  不僅僅是催逼
[00:02:25.000 --> 00:02:27.000]  是趕出去的意思
[00:02:27.000 --> 00:02:28.000]  就是這些人
[00:02:28.000 --> 00:02:32.000]  以現在的百姓住在埃及地四百三十年
[00:02:32.000 --> 00:02:35.000]  到了那個山是被趕出去
[00:02:35.000 --> 00:02:39.000]  而且當中講到完完全全地趕出去
[00:02:39.000 --> 00:02:40.000]  你有沒有想過
[00:02:40.000 --> 00:02:42.000]  你住了一個地方很短的時間
[00:02:42.000 --> 00:02:44.000]  人家說你搬出去
[00:02:44.000 --> 00:02:47.000]  沒有一個的時刻讓你能夠停頓思考
[00:02:47.000 --> 00:02:51.000]  這個就是當中的一個明顯的描寫
[00:02:51.000 --> 00:02:53.000]  第二節講到
[00:02:53.000 --> 00:02:55.000]  現在讓你們好好的準備
[00:02:55.000 --> 00:02:57.000]  要傳於百姓的耳中
[00:02:57.000 --> 00:03:00.000]  意思就是說不能夠公開的來說
[00:03:00.000 --> 00:03:02.000]  只可以跟你們同伴
[00:03:02.000 --> 00:03:04.000]  這些猶太的同伴
[00:03:04.000 --> 00:03:06.000]  一些的鄰居跟他們說
[00:03:06.000 --> 00:03:12.000]  你們要在南旅個人的靈社
[00:03:12.000 --> 00:03:16.000]  向他們要金器銀器
[00:03:16.000 --> 00:03:18.000]  這個就是他們的準備
[00:03:18.000 --> 00:03:22.000]  然後才離開埃及的地方
[00:03:22.000 --> 00:03:24.000]  神說要把這些的百姓
[00:03:24.000 --> 00:03:26.000]  在埃及人的眼中蒙恩
[00:03:26.000 --> 00:03:28.000]  不僅僅是百姓
[00:03:28.000 --> 00:03:30.000]  第三節的下半節講到
[00:03:30.000 --> 00:03:33.000]  摩西也一樣的蒙上
[00:03:33.000 --> 00:03:35.000]  在埃及法老臣僕
[00:03:35.000 --> 00:03:37.000]  以至到百姓的眼中
[00:03:37.000 --> 00:03:40.000]  都蒙受這個恩眷
[00:03:40.000 --> 00:03:42.000]  看為己答
[00:03:42.000 --> 00:03:44.000]  往後的十一章第四節
[00:03:44.000 --> 00:03:47.000]  到十一章的第八節
[00:03:47.000 --> 00:03:50.000]  就描述當天晚上所發生的事情
[00:03:50.000 --> 00:03:52.000]  他說這個事情
[00:03:52.000 --> 00:03:55.000]  是在耶華的手中判定的
[00:03:55.000 --> 00:03:57.000]  約在半夜第四節
[00:03:57.000 --> 00:04:01.000]  我必然群行埃及的遍地
[00:04:01.000 --> 00:04:06.000]  凡是埃及的從座寶座的
[00:04:06.000 --> 00:04:10.000]  座最卑微的這個婢女所生的長子
[00:04:10.000 --> 00:04:15.000]  在他們手中所養的出生的投生
[00:04:15.000 --> 00:04:18.000]  都必然見刀血
[00:04:18.000 --> 00:04:22.000]  埃及遍地必有大的哀嚎
[00:04:22.000 --> 00:04:23.000]  從前沒有這樣
[00:04:23.000 --> 00:04:25.000]  後來也並沒有
[00:04:25.000 --> 00:04:27.000]  說明這個事情是在歷史的當中
[00:04:27.000 --> 00:04:31.000]  沒有辦法用別的方法來表達
[00:04:31.000 --> 00:04:33.000]  整個埃及的國度的當中
[00:04:33.000 --> 00:04:35.000]  所有投生的
[00:04:35.000 --> 00:04:37.000]  不管是從寶座以上
[00:04:37.000 --> 00:04:40.000]  到最卑微的家庭的裡面
[00:04:40.000 --> 00:04:43.000]  都蒙受刀劍之害
[00:04:43.000 --> 00:04:45.000]  然後第八節
[00:04:45.000 --> 00:04:47.000]  這些的臣僕就俯伏的來說
