
[00:00:00.000 --> 00:00:01.560]  各位電影小妹,平安!
[00:00:01.560 --> 00:00:05.440]  我要用一次的時間介紹保羅書信裡面
[00:00:05.440 --> 00:00:09.840]  一卷很重要的書,就是《哥羅西書》
[00:00:09.840 --> 00:00:14.400]  《哥羅西書》最主要就是保羅教
[00:00:14.400 --> 00:00:20.280]  哥羅西教會去辨識真假的信仰
[00:00:20.280 --> 00:00:23.440]  因為當時有些假先知起來
[00:00:23.440 --> 00:00:27.000]  講一些似是而非的道理
[00:00:27.000 --> 00:00:31.000]  還有《哥羅西書》很重要講到
[00:00:31.000 --> 00:00:35.200]  基督是教會的元首
[00:00:35.200 --> 00:00:39.520]  這本書是講教會論
[00:00:39.520 --> 00:00:41.480]  很重要的書
[00:00:41.480 --> 00:00:43.640]  講到教會是什麼?
[00:00:43.640 --> 00:00:45.920]  在神的計劃裡面
[00:00:45.920 --> 00:00:48.720]  怎樣安排教會
[00:00:48.720 --> 00:00:52.280]  還有教會我們應該怎樣看它
[00:00:52.280 --> 00:00:54.680]  我們信徒在教會裡面
[00:00:54.680 --> 00:00:58.240]  應該有的位分是什麼?
[00:00:58.240 --> 00:01:00.360]  保羅很特別
[00:01:00.360 --> 00:01:04.800]  他原來沒有去過哥羅西這個城市
[00:01:04.800 --> 00:01:07.400]  哥羅西這個城市
[00:01:07.400 --> 00:01:12.480]  是在爾弗所這個城市的
[00:01:12.480 --> 00:01:16.560]  東邊大概一百里的地方
[00:01:16.560 --> 00:01:21.000]  只是一個很小很小的城市
[00:01:21.000 --> 00:01:23.440]  這個城市有什麼特別呢?
[00:01:23.440 --> 00:01:29.480]  他們出產一種很特別的黑色的羊毛
[00:01:29.480 --> 00:01:33.240]  羊毛很多時候我們都認為是白色的
[00:01:33.240 --> 00:01:37.320]  但是這裡出產一種黑的羊毛
[00:01:37.320 --> 00:01:39.920]  所以非常之出名
[00:01:39.920 --> 00:01:45.160]  這間教會是由爾巴弗
[00:01:45.160 --> 00:01:49.640]  保羅很親密的同工所建立的
[00:01:49.640 --> 00:01:52.000]  保羅沒有去過探訪的
[00:01:52.000 --> 00:01:55.680]  因此大概在後來的時候
[00:01:55.680 --> 00:02:03.840]  保羅托推基古和歸順主的一個奴隸
[00:02:03.840 --> 00:02:06.760]  很出名的阿尼西姆
[00:02:06.760 --> 00:02:09.280]  就是《肥利門書》的主角
[00:02:09.280 --> 00:02:13.760]  阿尼西姆去探訪這間教會
[00:02:13.760 --> 00:02:18.640]  阿尼西姆在和合本修訂版
[00:02:18.640 --> 00:02:21.760]  就譯為「阿尼西謀」
[00:02:21.760 --> 00:02:25.960]  因為阿尼西姆好像是誰的媽媽
[00:02:25.960 --> 00:02:32.000]  所以和修版就改了一個名字叫做「阿尼西謀」
[00:02:32.000 --> 00:02:35.680]  所以其實和修版有一個好處
[00:02:35.680 --> 00:02:40.080]  就將好像「尼哥底姆」這些「尼哥底謀」
[00:02:40.080 --> 00:02:44.680]  翻譯成像一個人名多一些
[00:02:44.680 --> 00:02:49.680]  不會誤會了是誰誰的媽媽那一類
[00:02:49.680 --> 00:02:52.680]  所以這個都是有幫助的
[00:02:52.680 --> 00:02:57.200]  結果保羅就在這本書裏面一開頭
[00:02:57.200 --> 00:03:00.880]  就說你們要分析、分辨
[00:03:00.880 --> 00:03:05.200]  甚麼是真信仰、甚麼是假信仰
[00:03:05.200 --> 00:03:08.680]  《哥羅西書》是有四章的
[00:03:08.680 --> 00:03:11.680]  一個主題就是
[00:03:11.680 --> 00:03:15.680]  基督是教會的元首
[00:03:15.680 --> 00:03:19.680]  基督要居於首位
[00:03:19.680 --> 00:03:22.680]  我們要高舉基督
[00:03:22.680 --> 00:03:26.680]  在第一章保羅就提到
[00:03:26.680 --> 00:03:30.680]  愛子的身份和工作
[00:03:30.680 --> 00:03:34.680]  即是基督是神的愛子
[00:03:34.680 --> 00:03:37.680]  神差他的愛子來到這個世界
[00:03:37.680 --> 00:03:43.680]  他要愛子為他來工作
[00:03:43.680 --> 00:03:47.680]  起一切的屬靈悟聖上
[00:03:47.680 --> 00:03:49.680]  保羅有一個禱告
[00:03:49.680 --> 00:03:51.680]  願你們起一切屬靈悟聖上
[00:03:51.680 --> 00:03:55.680]  滿心知道神的旨意
[00:03:55.680 --> 00:03:59.680]  你們要明白神的旨意是甚麼
[00:03:59.680 --> 00:04:01.680]  滿心這個字即是說
[00:04:01.680 --> 00:04:06.680]  你要盡你的理解去明白神的旨意
[00:04:06.680 --> 00:04:08.680]  所以各位弟兄姊妹
[00:04:08.680 --> 00:04:12.680]  我們實在很需要時事尋求神的旨意
[00:04:12.680 --> 00:04:16.680]  而且我們要按神的旨意去行
[00:04:16.680 --> 00:04:19.680]  不是靠我們自己想出來的
