
[00:00:00.000 --> 00:00:04.700]  好,各位親愛的弟兄朋友,平安!下午好!
[00:00:04.700 --> 00:00:11.040]  時間很快,一年就快完了,再過兩個禮拜就到聖誕節
[00:00:11.040 --> 00:00:17.960]  所以我願意在趁這個機會,祝願大家聖誕節過得有意義,過得快樂
[00:00:17.960 --> 00:00:24.740]  參加教會聖誕的活動,在這個歡樂的時間,榮耀上帝
[00:00:24.740 --> 00:00:31.540]  然後招救弟兄姊妹,招救別人,然後進一個新年,也在新年更多蒙恩
[00:00:31.540 --> 00:00:37.140]  身體健康快樂,更重要,靈命長進
[00:00:37.140 --> 00:00:41.540]  好吧,這是跟大家一個很簡單的祝願的話
[00:00:41.540 --> 00:00:48.540]  那今天的信息,我們就來思想這個約翰福音第十章耶穌的一個比喻
[00:00:48.540 --> 00:00:53.540]  是根據前一陣子,傳傳到邀請我來講
[00:00:53.540 --> 00:01:00.940]  這些兩堂的聚會的時候,給我知道我們本堂普通話的崇拜
[00:01:00.940 --> 00:01:04.940]  今年是思想聖經裡面一些的比喻
[00:01:04.940 --> 00:01:10.340]  那今天我們就輪到編到這個約翰福音第十章
[00:01:10.340 --> 00:01:13.940]  這個很重要的比喻,耶穌自己講的
[00:01:13.940 --> 00:01:17.740]  過去思想很多比喻都不一定是耶穌自己講
[00:01:17.740 --> 00:01:27.140]  但是這個是耶穌自己講,特別是在這個我們叫做羊圈,或者是有人說是念作羊圈的比喻
[00:01:27.140 --> 00:01:34.140]  一個羊圈,耶穌這裡,這一段聖經剛才主席弟兄跟我念
[00:01:34.140 --> 00:01:39.540]  你有沒有留意裡面有兩句話,耶穌說我是好牧人
[00:01:39.540 --> 00:01:46.340]  還有一句,我是羊的門,我是好牧人,我是羊的門
[00:01:46.340 --> 00:01:54.140]  這兩句話,這個我是,大家要了解,特別在約翰福音,很重要
[00:01:54.140 --> 00:02:01.140]  寫約翰福音這本書,他裡面特別選一些的題目
[00:02:01.140 --> 00:02:05.540]  選耶穌的神蹟,他不是全部都記載
[00:02:05.540 --> 00:02:13.140]  他刻意地挑選,在耶穌的教訓裡面,講了七句
[00:02:13.140 --> 00:02:20.540]  耶穌說我是,我是什麼,我是什麼,我是誰,我是什麼東西,裡面有七句
[00:02:20.540 --> 00:02:25.740]  前面耶穌說過,我是生命的糧,我是世界的光
[00:02:25.740 --> 00:02:30.140]  來到這裡,我是羊的門,我是好牧人
[00:02:30.140 --> 00:02:34.540]  下面耶穌說,我是道路,真理,生命
[00:02:34.540 --> 00:02:40.940]  我是符合,我是生命,最後,耶穌說,我是真葡萄樹
[00:02:40.940 --> 00:02:47.740]  所以請大家留意,這裡一個的比喻裡面,已經有兩句
[00:02:47.740 --> 00:02:54.940]  耶穌在約翰福音所說的,他自我介紹,我是,我是,我是
[00:02:54.940 --> 00:02:59.940]  你要知道,這個我是,I am,很重要
[00:02:59.940 --> 00:03:05.140]  在舊約的聖經,當上帝呼召摩西去埃及
[00:03:05.140 --> 00:03:08.740]  把他的子民拯救出來的時候,你記得嗎
[00:03:08.740 --> 00:03:13.540]  摩西問上帝,上帝,你的名字叫什麼
[00:03:13.540 --> 00:03:17.340]  上帝說,我的名字就是我是
[00:03:17.340 --> 00:03:22.140]  我們中文聖經翻成,我就是自有擁有的
[00:03:22.140 --> 00:03:26.940]  原文的舊約這個希伯來文,直接翻譯出來就是
[00:03:26.940 --> 00:03:30.740]  我的名字叫做我是,很奇妙
[00:03:30.740 --> 00:03:37.540]  我們的上帝本來的名字,我們中文聖經翻成耶和華
[00:03:37.540 --> 00:03:43.140]  耶和華這個字,這個名字,原來的意思就是我是
[00:03:43.140 --> 00:03:47.940]  那現在,到新約的時候,耶穌在他的教訓裡面
[00:03:47.940 --> 00:03:54.140]  特別是在約翰福音裡面,耶穌講了好多次,我是
[00:03:54.140 --> 00:04:00.540]  耶穌自己就跟天父上帝認定是同一位神
