
[00:00:00.000 --> 00:00:04.000]  讓我們繼續打開神話 再次同心低頭了禱告
[00:00:04.000 --> 00:00:07.000]  愛我們的主 多謝你
[00:00:07.000 --> 00:00:09.000]  多謝你愛我們的緣故
[00:00:09.000 --> 00:00:12.000]  你在地上留下你自己寶貴的話語
[00:00:12.000 --> 00:00:15.000]  讓你的話語成為我們生命裏面的能量
[00:00:15.000 --> 00:00:18.000]  成為我們腳前的燈 成為我們路上的光
[00:00:18.000 --> 00:00:21.000]  成為我們人生裏面一個路向
[00:00:21.000 --> 00:00:22.000]  最後多謝你
[00:00:22.000 --> 00:00:25.000]  多謝你當我們打開你自己寶貴的話語的時候
[00:00:25.000 --> 00:00:28.000]  讓我們真的好像你告訴我們
[00:00:28.000 --> 00:00:31.000]  凡有耳聽的就應當聽
[00:00:31.000 --> 00:00:33.000]  讓今天說的 讓今天聽的
[00:00:33.000 --> 00:00:35.000]  同樣在你的面前蒙福
[00:00:35.000 --> 00:00:38.000]  聽我們的禱告 獻上我們的感恩 交託
[00:00:38.000 --> 00:00:41.000]  奉耶穌基督你的聖名 阿們
[00:00:41.000 --> 00:00:44.000]  弟兄姊妹 我不知道你在人生的路裏面
[00:00:44.000 --> 00:00:46.000]  你有沒有問過自己一個問題
[00:00:46.000 --> 00:00:51.000]  這個問題就是 我究竟有沒有準備好呢
[00:00:51.000 --> 00:00:53.000]  我究竟有沒有準備好呢
[00:00:53.000 --> 00:00:56.000]  我不知道你人生裏面準備過些什麼
[00:00:56.000 --> 00:00:58.000]  可能你為人的父母
[00:00:58.000 --> 00:01:00.000]  你為你的子女預備入學
[00:01:00.000 --> 00:01:03.000]  幼稚園 小學 中學 大學
[00:01:03.000 --> 00:01:06.000]  可能你人生裏面預備了進入工作
[00:01:06.000 --> 00:01:09.000]  你很努力的發很多的信
[00:01:09.000 --> 00:01:12.000]  期望找到一份合適的工作
[00:01:12.000 --> 00:01:15.000]  在你人生裏面 你進入到工作
[00:01:15.000 --> 00:01:18.000]  你進入到很想拍拖 很想結婚 很想生孩子
[00:01:18.000 --> 00:01:21.000]  你準備 你準備你的退休
[00:01:21.000 --> 00:01:23.000]  你準備你的終老
[00:01:23.000 --> 00:01:27.000]  我不知道你準備好沒有
[00:01:27.000 --> 00:01:31.000]  當我想起自己拍了拖三年的時候
[00:01:31.000 --> 00:01:33.000]  我就和我身邊的女朋友說
[00:01:33.000 --> 00:01:35.000]  不如我們結婚吧
[00:01:35.000 --> 00:01:38.000]  她又沒有搖頭 又沒有反對
[00:01:38.000 --> 00:01:41.000]  結果我們足足用了一年半的時間
[00:01:41.000 --> 00:01:43.000]  去預備我們的婚禮
[00:01:43.000 --> 00:01:46.000]  在預備婚禮之前的三個月
[00:01:46.000 --> 00:01:49.000]  我們所有的東西已經準備好了
[00:01:49.000 --> 00:01:52.000]  只不過等候這個日子的來臨
[00:01:52.000 --> 00:01:57.000]  人生活在一個常常不斷的準備當中
[00:01:57.000 --> 00:01:59.000]  你為你自己預備很多的事情
[00:01:59.000 --> 00:02:01.000]  花了很多的時間 很多的心機
[00:02:01.000 --> 00:02:04.000]  去部署 去安排 去計劃
[00:02:04.000 --> 00:02:06.000]  弟兄姊妹 同樣今天
