
[00:00:00.000 --> 00:00:02.740]  在禮拜堂的弟兄姊妹平安
[00:00:02.740 --> 00:00:10.820]  在網上參加我們崇拜的弟兄姊妹平安
[00:00:10.820 --> 00:00:14.600]  在網上看的朋友不妨揮揮手
[00:00:14.600 --> 00:00:22.600]  今天大家聽福音經課
[00:00:22.600 --> 00:00:25.400]  很可能會聽得到
[00:00:25.400 --> 00:00:29.660]  今天是登山變象日
[00:00:30.000 --> 00:00:34.200]  因為那段福音經課是登山變象的故事
[00:00:34.200 --> 00:00:37.900]  當年門徒就在那一天
[00:00:37.900 --> 00:00:41.400]  見到那一個神聖形象的耶穌
[00:00:41.400 --> 00:00:47.300]  你有沒有遇見神的經驗呢?
[00:00:47.300 --> 00:00:49.600]  或者退一步問
[00:00:49.600 --> 00:00:52.100]  其實你想不想遇見神呢?
[00:00:52.100 --> 00:00:58.300]  遇見神會是一種怎樣的情況呢?
[00:00:59.200 --> 00:01:02.200]  張敬軒曾經唱過一首歌
[00:01:02.200 --> 00:01:05.200]  歌名叫做「遇見神」
[00:01:05.200 --> 00:01:09.700]  他是這樣描述遇見神的經歷的
[00:01:09.700 --> 00:01:14.700]  我一定不會唱的,因為會影響這首歌
[00:01:14.700 --> 00:01:16.700]  我將歌詞讀給大家聽
[00:01:16.700 --> 00:01:20.700]  看天邊飄過雲海
[00:01:20.700 --> 00:01:23.700]  告訴世界幻變常在
[00:01:23.700 --> 00:01:27.700]  從來人在月缺下攀月懸
[00:01:28.200 --> 00:01:29.700]  天天總有上演
[00:01:29.700 --> 00:01:32.200]  告訴你我動人故事
[00:01:32.200 --> 00:01:35.200]  動人情節留下伏線
[00:01:35.200 --> 00:01:36.700]  細心飾演
[00:01:36.700 --> 00:01:40.700]  如何人心粉碎像微塵
[00:01:40.700 --> 00:01:43.700]  無言流淚滿身抖震
[00:01:43.700 --> 00:01:48.200]  如何遇見神被擁抱再得起身
[00:01:48.200 --> 00:01:51.200]  明明平安彷彿天邊懸
[00:01:51.200 --> 00:01:54.200]  流連遊蕩暗失方寸
[00:01:54.200 --> 00:01:57.200]  然而遇見神被指引
[00:01:57.700 --> 00:02:00.200]  再生精彩心內甚
[00:02:00.200 --> 00:02:03.200]  誰無遐想一生精彩皆未
[00:02:03.200 --> 00:02:06.200]  由誰來導演出好戲
[00:02:06.200 --> 00:02:10.200]  人能遇見神是福氣最終高飛
[00:02:10.200 --> 00:02:13.200]  從來難數高低多少次
[00:02:13.200 --> 00:02:16.200]  何事成就哪天失意
[00:02:16.200 --> 00:02:19.200]  前途幻變時路須遠
[00:02:19.200 --> 00:02:22.200]  有這福氣心內暖
[00:02:22.200 --> 00:02:27.200]  歌詞提到遇見神是一種福氣
[00:02:28.200 --> 00:02:33.200]  這種福氣有三重具體表現
[00:02:33.200 --> 00:02:37.200]  第一是如何人心粉碎像微塵
[00:02:37.200 --> 00:02:39.200]  無言流淚滿身抖震
[00:02:39.200 --> 00:02:43.200]  如何遇見神被擁抱再得起身
[00:02:43.200 --> 00:02:45.200]  即是再得起身
[00:02:45.200 --> 00:02:48.200]  第二重是明明平安彷彿天邊懸
[00:02:48.200 --> 00:02:51.200]  流連遊蕩暗失方寸
[00:02:51.200 --> 00:02:53.200]  然而遇見神被指引
[00:02:53.200 --> 00:02:56.200]  再生精彩心內甚
[00:02:56.700 --> 00:02:58.200]  即是再生精彩
[00:02:58.200 --> 00:03:02.200]  第三是人能遇見神是福氣最終高飛
[00:03:02.200 --> 00:03:04.200]  即是最終高飛
[00:03:04.200 --> 00:03:07.200]  今天的福音經課
[00:03:07.200 --> 00:03:10.200]  記載了門徒遇見神的經歷
[00:03:10.200 --> 00:03:15.200]  讓我們再透過
[00:03:15.200 --> 00:03:18.200]  這個福音經課記載的片段
[00:03:18.200 --> 00:03:23.200]  去思考遇見神會是一種怎樣的情況
[00:03:23.700 --> 00:03:27.200]  與剛才那首歌描述的會否有不同呢?
[00:03:27.200 --> 00:03:30.200]  雖然剛才那首歌描述的是我們很想要的東西
[00:03:30.200 --> 00:03:35.200]  這種遇見神的經歷帶給門徒
[00:03:35.200 --> 00:03:40.200]  有甚麼深刻的反省
[00:03:40.200 --> 00:03:42.200]  亦帶給我們甚麼啟發呢?
[00:03:42.200 --> 00:03:47.200]  我們翻開《馬太福音》第17章第1節至第9節
[00:03:47.200 --> 00:03:51.200]  《馬太福音》第17章第1至第9節
[00:03:51.700 --> 00:03:54.200]  就在我們新約聖經第20頁
[00:04:22.700 --> 00:04:25.200]  面對著這樣的情況
[00:04:25.200 --> 00:04:29.200]  突然間耶穌顯現了一個神聖的形象
[00:04:29.200 --> 00:04:31.200]  門徒如何反應呢?
[00:04:31.200 --> 00:04:37.200]  第4節記載了門徒一個即時的反應
[00:04:37.200 --> 00:04:40.200]  彼得就代表著門徒這樣說
[00:04:40.200 --> 00:04:46.200]  他說:「主啊,我看見了門徒的神聖形象
[00:04:46.700 --> 00:04:52.200]  我們在這裏真好,祢若願意,我就在這裏搭三座棚
[00:04:52.200 --> 00:04:56.200]  一座為你,一座為摩西,一座為以利亞。」
[00:04:56.200 --> 00:05:00.200]  對於彼得這個回應
[00:05:00.200 --> 00:05:06.200]  很多讀者提出了兩種指責
[00:05:06.200 --> 00:05:14.200]  第一,指責彼得這班門徒上了山就下不了山
[00:05:14.700 --> 00:05:21.200]  第二,指責彼得將耶穌貶低和摩西和以利亞平等
[00:05:21.200 --> 00:05:28.200]  在這裏我想替彼得說幾句平反的話
[00:05:28.200 --> 00:05:34.200]  第一,關於上得山下不了山這個指責
[00:05:34.200 --> 00:05:40.200]  意思是說門徒只顧享受在山上和上主同在的美好
[00:05:40.700 --> 00:05:45.200]  而逃避山下現實世界的需要
[00:05:45.200 --> 00:05:51.200]  其實門徒可能不是想留在山上
[00:05:51.200 --> 00:05:56.200]  因為彼得建議的只是搭三座棚
[00:05:56.200 --> 00:06:00.200]  而不是建三座大屋
[00:06:00.200 --> 00:06:05.200]  三座棚並不是長期生活的好地方
[00:06:05.700 --> 00:06:12.200]  此外,門徒建議搭三座棚
[00:06:12.200 --> 00:06:16.200]  其實有另外幾位讀者都不知道自己在說什麼
[00:06:16.200 --> 00:06:18.200]  在不知道自己在說什麼的時候
[00:06:18.200 --> 00:06:21.200]  通常人們以前怎麼做就怎麼做
[00:06:21.200 --> 00:06:24.200]  很可能是沿著先祖的習慣
[00:06:24.200 --> 00:06:30.200]  他們會在遇見神的地方留下一些痕跡,以作紀念
[00:06:30.200 --> 00:06:34.200]  以前阿伯拉罕也做過,雅各也做過
[00:06:34.700 --> 00:06:39.200]  第二,關於貶低耶穌
[00:06:39.200 --> 00:06:44.200]  將他和摩西看為和摩西和以利亞都是這樣而已
[00:06:44.200 --> 00:06:49.200]  這個指責其實憑彼得的口供是證據確鑿的
