
[00:00:00.000 --> 00:00:06.000]  各位兄弟姐妹,平安!我們開始的時候,我們先做一個祈禱。
[00:00:06.000 --> 00:00:12.000]  主要我們很感謝你,因為實在是你對我們有你的恩典,有你的憐憫。
[00:00:12.000 --> 00:00:16.000]  你每一星期都藉著聖經來跟我們講說話,
[00:00:16.000 --> 00:00:20.000]  把你的話語藏在我們每一個人的心裡面,
[00:00:20.000 --> 00:00:24.000]  特別是讓我們時刻都記住,你是我們心中的王,
[00:00:24.000 --> 00:00:32.000]  幫助我們,不要忘記你在我們身上的恩惠,敬畏你,忠心侍奉你,
[00:00:32.000 --> 00:00:36.000]  祷供奉主耶穌基督聖名。阿們!
[00:00:36.000 --> 00:00:47.000]  麥克阿瑟將軍在1951年被杜魯門總統解除職務的時候,
[00:00:47.000 --> 00:00:55.000]  當他退下崗位,他就去到國會那裡發表他的最後演說。
[00:00:55.000 --> 00:01:01.000]  其中有一句說話,我想都是非常之廣為人所熟悉的,
[00:01:01.000 --> 00:01:08.000]  就是講到他說:「老兵不死,只是漸漸退場。」
[00:01:08.000 --> 00:01:14.000]  Old soldiers never die, they simply fade away。
[00:01:14.000 --> 00:01:17.000]  聽起來好像有點傷感,對不對?
[00:01:17.000 --> 00:01:27.000]  其實原來這句說話是改編自一首英國軍隊的福音歌曲的其中一句。
[00:01:27.000 --> 00:01:33.000]  那句說話是說:善意的提醒,永不消磨。
[00:01:33.000 --> 00:01:37.000]  Kyfords can never die.
[00:01:37.000 --> 00:01:45.000]  其實在每一個時代裏面,都有一個時代是最重要的人物的講說話。
[00:01:45.000 --> 00:01:54.000]  他們的說話常常都是帶著啟發性和影響力,是值得我們去關注。
[00:01:54.000 --> 00:02:00.000]  例如馬丁路德金,在他逝世之前的一次集會裏面,
[00:02:00.000 --> 00:02:11.000]  他曾經說過:「我有一個夢。」當時就引起很多人去關注黑人的人權的問題。
[00:02:11.000 --> 00:02:18.000]  而我們剛剛下來的總理莫里森也有他的講話。
[00:02:18.000 --> 00:02:20.000]  大家記不記得?
[00:02:20.000 --> 00:02:24.000]  我想沒有人記得。不記得的話,回去看看YouTube。
[00:02:24.000 --> 00:02:27.000]  然而我們今天所讀的那段經文,
[00:02:27.000 --> 00:02:34.000]  它是薩姆爾他從崗位上退下來的一段重要講話。
[00:02:34.000 --> 00:02:39.000]  因為薩姆爾是時事時代最重要的人物,
[00:02:39.000 --> 00:02:43.000]  他也是最後的一位時事。
[00:02:43.000 --> 00:02:46.000]  所以他的講話除了代表他的心聲之外,
[00:02:46.000 --> 00:02:51.000]  更是對當時的人來說是具有承先啟後的作用,
[00:02:51.000 --> 00:02:54.000]  同時也是值得我們去學習的。
[00:02:54.000 --> 00:03:00.000]  從上星期我們講到,百姓是要求納王。
[00:03:00.000 --> 00:03:04.000]  於是薩姆爾就高立了數羅維王。
[00:03:04.000 --> 00:03:08.000]  以色列進入了一個新的階段。
[00:03:08.000 --> 00:03:13.000]  而薩姆爾更是感覺到他是一位老兵。
[00:03:13.000 --> 00:03:18.000]  他的侍奉是需要退居幕後。
[00:03:18.000 --> 00:03:27.000]  於是他們就召集百姓在吉甲做最後的訓練。
[00:03:27.000 --> 00:03:32.000]  其實整章十二章都是有關於薩姆爾的講話。
[00:03:32.000 --> 00:03:37.000]  首先薩姆爾從第一至第五節講到,
[00:03:37.000 --> 00:03:42.000]  他帶領百姓沒有虧待過任何人。
[00:03:42.000 --> 00:03:48.000]  有神和他的仇高者可以作證。
[00:03:48.000 --> 00:03:51.000]  可以說是盡忠職守,民心無愧。
[00:03:51.000 --> 00:03:55.000]  其後薩姆爾就講出他自己心底的說話。
[00:03:55.000 --> 00:04:00.000]  他希望百姓今後在新的王來帶領之下,
[00:04:00.000 --> 00:04:02.000]  可以做得更加好。
[00:04:02.000 --> 00:04:05.000]  我綜合薩姆爾所講的說話,
[00:04:05.000 --> 00:04:08.000]  分為三點跟大家一起分享。
[00:04:08.000 --> 00:04:13.000]  第一點是神一直拯救以色列人。
[00:04:13.000 --> 00:04:20.000]  首先薩姆爾在第六至第十一節回顧歷史。
[00:04:20.000 --> 00:04:25.000]  他從以色列人出埃及開始講起。
[00:04:25.000 --> 00:04:30.000]  講到他們當時是被埃及人所欺壓。
[00:04:30.000 --> 00:04:37.000]  神就呼召摩西和亞倫帶他們出埃及進入迦蘭。
[00:04:37.000 --> 00:04:43.000]  也就是說從一開始就完全遵守他的約。
[00:04:43.000 --> 00:04:46.000]  向他們所行是無不公義的。
[00:04:46.000 --> 00:04:52.000]  而在第七節他更是講到是對你們講論。
[00:04:52.000 --> 00:04:55.000]  其實在這裡不只是講這麼簡單。
[00:04:55.000 --> 00:04:59.000]  原文講論是有指控的意思。
[00:04:59.000 --> 00:05:05.000]  薩姆爾其實在這裡對百姓來說是直斥他們,直斥其非。
[00:05:05.000 --> 00:05:09.000]  說他們三番四次地來違約。
[00:05:09.000 --> 00:05:11.000]  其實問題是什麼?
[00:05:11.000 --> 00:05:18.000]  正如第九節講到他們卻忘記耶和華,他們的神。
[00:05:18.000 --> 00:05:22.000]  所以神就將他們交給敵人的手上。
[00:05:22.000 --> 00:05:29.000]  接下來的那幾節,薩姆爾提到有幾個敵人。
[00:05:29.000 --> 00:05:35.000]  例如下鎖人、非利士人、摩押人等等。
[00:05:35.000 --> 00:05:41.000]  當他們每一次來到呼求神,承認他們自己是拜偶像的罪的時候,
[00:05:41.000 --> 00:05:45.000]  神就憐憫他們,拯救他們。
[00:05:45.000 --> 00:05:51.000]  而先後差演士師來拯救他們脫離仇敵的手。
