
[00:00:00.000 --> 00:00:01.120]  好 各位早晨
[00:00:01.120 --> 00:00:04.460]  全副軍裝
[00:00:04.460 --> 00:00:07.600]  我覺得好像是教會
[00:00:07.600 --> 00:00:09.240]  你上了這麼久的日子
[00:00:09.240 --> 00:00:11.000]  沒什麼機會沒聽過的
[00:00:11.000 --> 00:00:13.440]  也都可能呢
[00:00:13.440 --> 00:00:15.380]  如果你上了教會再多一點
[00:00:15.380 --> 00:00:17.900]  我記得我還沒上教會
[00:00:17.900 --> 00:00:19.900]  就在學校上了團契的時候
[00:00:19.900 --> 00:00:22.600]  全副軍裝說起這個時候
[00:00:22.600 --> 00:00:24.780]  那些州會都是有得玩的
[00:00:24.780 --> 00:00:26.760]  最流行做些什麼事
[00:00:27.680 --> 00:00:30.560]  拿些報紙
[00:00:30.560 --> 00:00:33.860]  拿了報紙 弄了盾牌 拿了劍
[00:00:33.860 --> 00:00:36.960]  一群同學 個個都拿了聖靈的寶劍
[00:00:36.960 --> 00:00:38.960]  有些人一聲要打
[00:00:38.960 --> 00:00:43.480]  全副軍裝就彷彿常常在這種狀態裡面
[00:00:43.480 --> 00:00:45.280]  就成為了教會的教導
[00:00:45.280 --> 00:00:47.280]  或者某一種典型
[00:00:47.280 --> 00:00:50.280]  如果你再仔細看回聖經
[00:00:50.280 --> 00:00:51.480]  再問一下你
[00:00:51.480 --> 00:00:52.980]  前面後面
[00:00:52.980 --> 00:00:55.240]  又或者保羅的企圖
[00:00:55.240 --> 00:00:56.100]  其實
[00:00:56.100 --> 00:00:57.400]  剛剛我讀這一段
[00:00:57.400 --> 00:00:59.900]  真的不是在說
[00:00:59.900 --> 00:01:03.020]  為了要穿全副軍裝而說的
[00:01:03.020 --> 00:01:05.280]  為了做什麼事呢?
[00:01:05.280 --> 00:01:07.120]  我們這一段時間都在看《二法所書》
[00:01:07.120 --> 00:01:08.040]  看到第六章
[00:01:08.040 --> 00:01:09.160]  這裡是最後了
[00:01:09.160 --> 00:01:10.200]  你不知道也會知道的
[00:01:10.200 --> 00:01:12.280]  因為剛剛讀第十節他講明了
[00:01:12.280 --> 00:01:13.920]  我還有沒了的話
[00:01:13.920 --> 00:01:15.520]  最後那些講完就散了
[00:01:15.520 --> 00:01:17.800]  你發現二十節後還有一些
[00:01:17.800 --> 00:01:18.240]  有
[00:01:18.240 --> 00:01:19.680]  不過那些是祝福
[00:01:19.680 --> 00:01:23.400]  那不是本來要跟教會說的一些主要信息
[00:01:23.400 --> 00:01:26.240]  在這個沒了的話之前
[00:01:26.240 --> 00:01:29.160]  如果你再看回第四章、第五章
[00:01:29.160 --> 00:01:30.520]  保羅一直在處理一件事情
[00:01:30.520 --> 00:01:31.920]  就是告訴信徒
[00:01:31.920 --> 00:01:34.920]  在一個邪惡的世代
[00:01:34.920 --> 00:01:36.320]  我們應該怎麼做人呢?
[00:01:36.320 --> 00:01:37.480]  要愛惜光陰
[00:01:37.480 --> 00:01:39.160]  因為現今的世代邪惡
[00:01:39.160 --> 00:01:40.400]  接著也告訴你
