
[00:00:00.000 --> 00:00:02.000]  大英姊妹平安
[00:00:02.000 --> 00:00:04.000]  Peace to everyone
[00:00:04.000 --> 00:00:08.000]  我開心今天能夠來到大家當中
[00:00:08.000 --> 00:00:10.000]  I'm so happy to be here with you guys
[00:00:10.000 --> 00:00:14.000]  尤其是可以實體的見到大英姊妹
[00:00:14.000 --> 00:00:16.000]  Especially as an in-person service
[00:00:16.000 --> 00:00:18.000]  that we can see each other
[00:00:18.000 --> 00:00:20.000]  太久只是向著電腦講到
[00:00:20.000 --> 00:00:22.000]  是很不習慣的
[00:00:22.000 --> 00:00:24.000]  It's been too long that I've been preaching into a computer
[00:00:24.000 --> 00:00:28.000]  在這個時候都鼓勵在線上的大英姊妹
[00:00:28.000 --> 00:00:30.000]  I would like to encourage those who are online
[00:00:30.000 --> 00:00:34.000]  如果許可的都請你們回到教會的聚會
[00:00:34.000 --> 00:00:38.000]  If it's possible, you're always welcome to come back for in-person services
[00:00:38.000 --> 00:00:40.000]  因為這是上帝所喜悅的動作
[00:00:40.000 --> 00:00:42.000]  Because this pleases God
[00:00:42.000 --> 00:00:45.000]  而大英姊妹都很希望能夠見到你們
[00:00:45.000 --> 00:00:47.000]  And we do hope to see you
[00:00:47.000 --> 00:00:49.000]  今天是復活節
[00:00:49.000 --> 00:00:51.000]  Today is Easter
[00:00:51.000 --> 00:00:53.000]  剛才我們都唱過這個詩歌
[00:00:53.000 --> 00:00:55.000]  We sang the song
[00:00:55.000 --> 00:00:57.000]  我們特別留意到有一句說話
[00:00:57.000 --> 00:00:59.000]  Hallelujah
[00:00:59.000 --> 00:01:01.000]  對基督徒來說
[00:01:01.000 --> 00:01:03.000]  Hallelujah 是很容易說得出口的
[00:01:03.000 --> 00:01:05.000]  To Christians, it's easy to say hallelujah
[00:01:05.000 --> 00:01:09.000]  但當我們是去到人群當中的時候
[00:01:09.000 --> 00:01:11.000]  But when we go into the people
[00:01:11.000 --> 00:01:13.000]  告訴對方知道有復活這件事情
[00:01:13.000 --> 00:01:15.000]  But when we want to tell people
[00:01:15.000 --> 00:01:17.000]  that there's a resurrection
[00:01:17.000 --> 00:01:21.000]  我們可能會有不一樣的面對一個問題
[00:01:21.000 --> 00:01:23.000]  We might feel different
[00:01:23.000 --> 00:01:25.000]  because there might be another issue
[00:01:25.000 --> 00:01:27.000]  所以今天我會從另外一個角度
[00:01:27.000 --> 00:01:29.000]  和大家分享復活的訊息
[00:01:29.000 --> 00:01:31.000]  So I'd like to use another angle
[00:01:31.000 --> 00:01:33.000]  to see the Easter message
[00:01:33.000 --> 00:01:35.000]  希望主憐憫我們
[00:01:35.000 --> 00:01:37.000]  May God have mercy on us
[00:01:37.000 --> 00:01:40.000]  能夠讓我們真的能夠找得到復活的真理
[00:01:40.000 --> 00:01:44.000]  So we ask Him to help us grab
[00:01:44.000 --> 00:01:46.000]  what's the essential message of Easter
[00:01:46.000 --> 00:01:48.000]  以致我們傳講復活的訊息
[00:01:48.000 --> 00:01:50.000]  So that when we tell people about Easter
[00:01:50.000 --> 00:01:52.000]  我們真的有根有機去傳
[00:01:52.000 --> 00:01:55.000]  So we have the foundation to preach the gospel
[00:01:55.000 --> 00:01:58.000]  其實很多時候復活的這件事情
[00:01:58.000 --> 00:02:02.000]  Actually the message, the resurrection
[00:02:02.000 --> 00:02:04.000]  它帶給我們有兩種的挑戰
[00:02:04.000 --> 00:02:06.000]  There are actually two challenges
[00:02:06.000 --> 00:02:08.000]  一種就是未信人給我們的挑戰
