
[00:00:00.000 --> 00:00:02.400]  人與人之間相處
[00:00:02.400 --> 00:00:05.400]  無論你想也好,不想也好
[00:00:05.400 --> 00:00:09.600]  我們都會對人造成一些影響的
[00:00:09.600 --> 00:00:11.000]  我看到一個故事
[00:00:11.000 --> 00:00:15.400]  一個故事是講一個很有錢的人
[00:00:15.400 --> 00:00:22.800]  他是Massachusetts Mutual Life Insurance的執行總幹事CEO
[00:00:22.800 --> 00:00:25.200]  他的名字叫Thomas Wheeler
[00:00:25.200 --> 00:00:27.400]  他還生存,他已經退休了
[00:00:27.400 --> 00:00:29.600]  現在43歲
[00:00:29.600 --> 00:00:32.400]  他就曾經有個故事蠻有意思的
[00:00:32.400 --> 00:00:35.200]  有一次他跟他太太開車
[00:00:35.200 --> 00:00:37.400]  在高速公路上面
[00:00:37.400 --> 00:00:38.800]  突然間留意到
[00:00:38.800 --> 00:00:41.800]  原來沒有油了
[00:00:41.800 --> 00:00:46.400]  所以他要到exit外面去加油
[00:00:46.400 --> 00:00:48.800]  那個地方不是一個很popular的地方
[00:00:48.800 --> 00:00:50.800]  比較放屁的地方
[00:00:50.800 --> 00:00:56.600]  那個油站也不是一個條件很好的油站
[00:00:56.600 --> 00:00:58.800]  比如可能在德州中西部的地方
[00:00:58.800 --> 00:01:00.600]  也不一定
[00:01:00.600 --> 00:01:01.800]  去到那裡的時候
[00:01:01.800 --> 00:01:04.800]  我們在德州就曉得了
[00:01:04.800 --> 00:01:07.400]  不僅是加油,full service加油
[00:01:07.400 --> 00:01:10.800]  看你的油夠不夠,水夠不夠
[00:01:10.800 --> 00:01:12.400]  他是有錢的人
[00:01:12.400 --> 00:01:13.600]  他說請你過來
[00:01:13.600 --> 00:01:17.000]  一個guest station的attendant
[00:01:17.000 --> 00:01:18.400]  那個夥計就到來
[00:01:18.400 --> 00:01:19.600]  要做什麼?要加油
[00:01:19.600 --> 00:01:21.800]  要看看切頭的油夠不夠
[00:01:21.800 --> 00:01:23.000]  水夠不夠
[00:01:23.000 --> 00:01:25.800]  替我摸一摸那個玻璃
[00:01:25.800 --> 00:01:28.800]  那麼他就直接走上車
[00:01:28.800 --> 00:01:31.800]  看看周圍的環境
[00:01:31.800 --> 00:01:33.200]  但是他回來的時候
[00:01:33.200 --> 00:01:34.800]  看到他的太太
[00:01:34.800 --> 00:01:38.800]  跟這個加油站的夥計在聊
[00:01:38.800 --> 00:01:41.200]  好像聊得很投契
[00:01:41.200 --> 00:01:42.400]  為什麼呢?
[00:01:42.400 --> 00:01:44.800]  難道他曉得這個人嗎?
[00:01:44.800 --> 00:01:46.200]  所以他們上去以後
[00:01:46.200 --> 00:01:47.800]  他就問他的太太
[00:01:47.800 --> 00:01:51.400]  剛才你跟這個加油站的夥計那麼熟
[00:01:51.400 --> 00:01:53.000]  好像很熟的
[00:01:53.000 --> 00:01:54.800]  對啊,當然很熟
[00:01:54.800 --> 00:01:57.200]  你怎麼會認得這樣一個
[00:01:57.200 --> 00:01:59.000]  在這個地方
[00:01:59.000 --> 00:02:00.200]  在那個加油站裡面
[00:02:00.200 --> 00:02:02.400]  加油的一個夥計的呢?
[00:02:02.400 --> 00:02:03.200]  他說你曉得嗎?
[00:02:03.200 --> 00:02:04.600]  我從前讀中學的時候
[00:02:04.600 --> 00:02:06.000]  就是在附近
[00:02:06.000 --> 00:02:08.000]  這個是我中學的同學
[00:02:08.000 --> 00:02:09.800]  不單是我中學的同學
[00:02:09.800 --> 00:02:14.200]  是我中學的sweetheart
[00:02:14.200 --> 00:02:16.200]  所以他看到了他
[00:02:16.200 --> 00:02:17.400]  大家很高興
[00:02:17.400 --> 00:02:19.400]  他們就在談話
[00:02:19.400 --> 00:02:21.200]  那麼這個Thomas Fuller
[00:02:21.200 --> 00:02:23.000]  聽到他太太這樣說
[00:02:23.000 --> 00:02:25.200]  他太太說什麼?
[00:02:25.200 --> 00:02:26.200]  他說太太啊
[00:02:26.200 --> 00:02:27.600]  你真的很幸運
[00:02:27.600 --> 00:02:29.400]  你遇到了我啊
[00:02:29.400 --> 00:02:30.000]  不然的話
[00:02:30.000 --> 00:02:31.800]  如果你嫁給他的話
[00:02:31.800 --> 00:02:32.400]  你就會成為一個
[00:02:32.400 --> 00:02:37.600]  加油站夥計的老婆
[00:02:37.600 --> 00:02:40.800]  你猜這個太太怎麼說?
[00:02:40.800 --> 00:02:42.000]  他太太說
[00:02:42.000 --> 00:02:44.200]  我相信你是蠻幸運的
[00:02:44.200 --> 00:02:45.200]  如果你嫁了
[00:02:45.200 --> 00:02:46.000]  如果呢
[00:02:46.000 --> 00:02:47.600]  他嫁了我的話
[00:02:47.600 --> 00:02:48.800]  他就會成為
[00:02:48.800 --> 00:02:50.600]  這個大公司的CEO
[00:02:50.600 --> 00:02:57.200]  你呢就會成為一個加油站的夥計
[00:02:57.200 --> 00:02:59.000]  我看蠻有意思的對不對?
[00:02:59.000 --> 00:03:00.000]  蠻有意思
[00:03:00.000 --> 00:03:03.400]  到底是哪一個影響哪一個?
[00:03:03.400 --> 00:03:04.800]  是那個做丈夫的
[00:03:04.800 --> 00:03:06.800]  會影響他的妻子呢?
[00:03:06.800 --> 00:03:08.400]  改變他的命運呢?
