
[00:00:00.000 --> 00:00:02.120]  菩薩小妹讓我們先聽神的禱告
[00:00:02.120 --> 00:00:03.400]  讓我們同心地禱告
[00:00:03.400 --> 00:00:06.320]  女姐妹,讓我們聽神的禱告之前先禱告
[00:00:06.320 --> 00:00:08.040]  慈悲的父神,多謝祢
[00:00:08.040 --> 00:00:11.640]  讓我們能夠在這麼冷的天氣
[00:00:11.640 --> 00:00:14.720]  仍然能夠有一個這麼溫暖的聚會的地方
[00:00:14.720 --> 00:00:16.400]  我們再次獻上感謝
[00:00:16.400 --> 00:00:20.280]  求祢讓我們能夠帶著一份熱切追求
[00:00:20.280 --> 00:00:22.720]  嚮往在主祢裡面的心志
[00:00:22.720 --> 00:00:25.320]  能夠同心地仰望在祢的當中
[00:00:25.320 --> 00:00:26.600]  求祢的聖靈
[00:00:26.600 --> 00:00:29.520]  進入到我們每一個信徒生命裡面之後
[00:00:29.520 --> 00:00:34.200]  讓我們有一個真正願意學習追求主道的心
[00:00:34.200 --> 00:00:36.440]  也要求祢能夠帶領我們
[00:00:36.440 --> 00:00:38.120]  隨著聖靈的引導
[00:00:38.120 --> 00:00:41.040]  能夠了解如何在平天的生活裡面
[00:00:41.040 --> 00:00:43.200]  能夠活出主祢的教訓
[00:00:43.200 --> 00:00:44.600]  我們親愛的父神,感謝祢
[00:00:44.600 --> 00:00:46.680]  給我們中原在一個
[00:00:46.680 --> 00:00:49.520]  寒冷的世界、國家的當中
[00:00:49.520 --> 00:00:53.520]  但是讓我們有這樣的溫暖的地方
[00:00:53.520 --> 00:00:56.000]  讓我們一起來到仰望祢
[00:00:56.000 --> 00:00:58.200]  學習主祢的真諦
[00:00:58.200 --> 00:00:59.480]  求祢的幫助
[00:00:59.480 --> 00:01:02.040]  也讓我們帶著這份感恩的心志
[00:01:02.040 --> 00:01:03.440]  來到祢的跟前
[00:01:03.440 --> 00:01:04.920]  隨著聖靈的帶領
[00:01:04.920 --> 00:01:06.040]  使我們知道
[00:01:06.040 --> 00:01:09.000]  怎麼樣來到不單領受主祢的教訓
[00:01:09.000 --> 00:01:12.240]  也同時在平日的生活當中
[00:01:12.240 --> 00:01:13.680]  把主祢的教訓
[00:01:13.680 --> 00:01:18.200]  準確、無誤地來到見證、顯出來
[00:01:18.200 --> 00:01:20.640]  我們禱告奉主耶穌的名臣
[00:01:20.640 --> 00:01:21.720]  Amen
[00:01:21.720 --> 00:01:25.640]  中國有一個人物大家會很熟悉的
[00:01:25.640 --> 00:01:26.760]  中國人有一個人物
[00:01:26.760 --> 00:01:28.080]  大家應該都很熟悉
[00:01:28.080 --> 00:01:29.080]  叫做孟子
[00:01:29.080 --> 00:01:29.880]  叫做孟子
[00:01:29.880 --> 00:01:33.560]  所以有一個成語叫做孟母三遷的故事
[00:01:33.560 --> 00:01:35.840]  有一個成語叫孟母三遷的故事
[00:01:35.840 --> 00:01:37.840]  大家熟不熟悉孟母三遷這個故事?
[00:01:37.840 --> 00:01:40.280]  大家熟悉孟母三遷嗎?
[00:01:40.280 --> 00:01:42.320]  其實這個故事說什麼呢?
[00:01:42.320 --> 00:01:43.840]  簡單一點來說
[00:01:43.840 --> 00:01:44.960]  這個故事講什麼呢?
[00:01:44.960 --> 00:01:46.080]  簡單這樣講
[00:01:46.080 --> 00:01:48.280]  孟子的媽媽是一個寡婦
[00:01:48.280 --> 00:01:50.080]  孟子的媽媽是一個寡婦
[00:01:50.080 --> 00:01:51.960]  丈夫很早就已經過世了
[00:01:51.960 --> 00:01:53.280]  丈夫很早過世了
[00:01:53.280 --> 00:01:56.480]  於是她帶著孟子在不同的地方居住
[00:01:56.480 --> 00:01:58.680]  她帶著孟子在不同的地方居住
[00:01:58.680 --> 00:02:01.920]  有一次她住在一個墓園的隔壁
[00:02:01.920 --> 00:02:04.440]  就是墓地、墳地的地方附近
[00:02:04.440 --> 00:02:06.760]  有一次他們住在一個墓地的附近
[00:02:06.760 --> 00:02:11.160]  於是她兒子看到很多人哭喪地送棺材
[00:02:11.160 --> 00:02:14.320]  死人到墳地埋葬
[00:02:14.320 --> 00:02:16.200]  兒子經常看到
[00:02:16.200 --> 00:02:19.160]  其他人都經常哭喪
[00:02:19.160 --> 00:02:22.960]  將棺木送到墳墓埋葬
[00:02:22.960 --> 00:02:24.800]  孟子是一個很聰明的人
[00:02:24.800 --> 00:02:26.080]  孟子是一個聰明的孩子
[00:02:26.080 --> 00:02:27.280]  他觀察力很強
[00:02:27.280 --> 00:02:28.080]  觀察力很強
[00:02:28.080 --> 00:02:30.880]  通常觀察力強的人都是比較聰明的
[00:02:30.880 --> 00:02:32.640]  觀察力強的人都是很聰明的
[00:02:32.640 --> 00:02:34.040]  所以你想學聰明一點
[00:02:34.040 --> 00:02:35.160]  你就要多一點觀察力
[00:02:35.160 --> 00:02:37.360]  如果你想聰明就多觀察一點
[00:02:37.360 --> 00:02:41.040]  他就留意到在這些儀仗隊裡面
[00:02:41.040 --> 00:02:42.840]  他留意到在儀仗隊當中
[00:02:42.840 --> 00:02:46.040]  有些人原本是笑口齒齒的
[00:02:46.040 --> 00:02:47.960]  有些人還是笑哈哈的
[00:02:47.960 --> 00:02:50.880]  然後走到墓地的過程當中
[00:02:50.880 --> 00:02:52.840]  在走到墓地當中
[00:02:52.840 --> 00:02:55.280]  他就好像中國的變臉那些
[00:02:55.280 --> 00:02:56.800]  好像中國的變臉
[00:02:56.800 --> 00:02:59.400]  但是突然間就哭哭啼啼
[00:02:59.400 --> 00:03:00.800]  忽然之間就開始哭了
[00:03:00.800 --> 00:03:03.680]  這些是中國人叫做哭喪的禮儀
[00:03:03.680 --> 00:03:05.600]  在中國是一個哭喪的禮儀
[00:03:05.600 --> 00:03:07.120]  我年輕的時候
[00:03:07.120 --> 00:03:09.560]  我外祖父過世的時候
[00:03:09.560 --> 00:03:10.720]  我都很深刻的
[00:03:10.720 --> 00:03:11.880]  在我小時候
[00:03:11.880 --> 00:03:13.680]  我外公去世的時候
[00:03:13.680 --> 00:03:15.120]  我都很深刻
[00:03:15.120 --> 00:03:16.880]  我那些媽媽
[00:03:16.880 --> 00:03:18.480]  就是我祖父死了
[00:03:18.480 --> 00:03:20.800]  就是我媽媽的爸爸過世了
[00:03:20.800 --> 00:03:24.240]  外祖父是媽媽的父親過世的時候
[00:03:24.240 --> 00:03:28.400]  他有一個去殯儀館守夜的過程
[00:03:28.400 --> 00:03:30.240]  在殯儀館有一個守夜
[00:03:30.240 --> 00:03:32.560]  就是叫子女全部陪著爸爸
[00:03:32.560 --> 00:03:35.040]  最後出殯之前那一晚在殯儀館
[00:03:35.040 --> 00:03:36.680]  在出殯之前那一晚
[00:03:36.680 --> 00:03:40.240]  子女都圍在殯儀館去守夜
[00:03:40.240 --> 00:03:43.560]  所以我也有份去那裡一起過夜
