
[00:00:00.000 --> 00:00:02.600]  好 讓我們在聆聽主的說話之前
[00:00:02.600 --> 00:00:05.080]  我們一起再次低頭如意禱告
[00:00:05.080 --> 00:00:06.640]  預備我們心思意念
[00:00:06.640 --> 00:00:10.440]  讓主帶領我們一同去明白祂的啟示
[00:00:10.440 --> 00:00:11.880]  父神多謝祢
[00:00:11.880 --> 00:00:15.320]  讓我們再次回到祢的說話當中學習
[00:00:15.320 --> 00:00:17.120]  求祢的帶領和幫助
[00:00:17.120 --> 00:00:19.880]  讓我們每一個屬祢的弟兄姊妹
[00:00:19.880 --> 00:00:23.920]  明白主祢心腸的每一個屬神的子民
[00:00:23.920 --> 00:00:25.640]  都能夠藉著祢的說話
[00:00:25.640 --> 00:00:29.360]  去重新藉著啟示
[00:00:29.360 --> 00:00:33.160]  讓我們了解怎樣作為一個合神心意的人
[00:00:33.160 --> 00:00:35.520]  也都怎樣在這個地上
[00:00:35.520 --> 00:00:39.400]  能夠好好的去明白主的心思意念
[00:00:39.400 --> 00:00:45.360]  並且在屬於祢所安託我們所處的空間、時間、地點
[00:00:45.360 --> 00:00:46.680]  作美好的見證
[00:00:46.680 --> 00:00:50.320]  求祢的幫助和帶領我們的同心禱告
[00:00:50.320 --> 00:00:53.560]  奉靠主耶穌基督得聖名自而求
[00:00:53.560 --> 00:00:54.560]  阿們
[00:00:56.120 --> 00:00:59.920]  當一個人願意花一生的時間
[00:00:59.920 --> 00:01:02.640]  去按照上帝的心思意念
[00:01:02.640 --> 00:01:05.760]  來去經營他的屬靈的生命
[00:01:05.760 --> 00:01:11.440]  來到他的人生差不多到最後的一個階段
[00:01:11.440 --> 00:01:16.120]  但是他的心願仍然未了
[00:01:16.120 --> 00:01:20.360]  不知道你的想法會是怎樣的呢?
[00:01:22.440 --> 00:01:26.840]  但以你會不會在一個這樣的狀態之下呢?
[00:01:26.840 --> 00:01:30.600]  而很多的信徒當他年紀大的時候
[00:01:30.600 --> 00:01:33.240]  也都覺得自己人老珠黃了
[00:01:33.240 --> 00:01:35.480]  我還有些什麼可作之事
[00:01:35.480 --> 00:01:38.800]  有什麼作為可以為上帝而去做呢?
[00:01:38.800 --> 00:01:41.880]  於是乎去到他人生的末段的時候
[00:01:41.880 --> 00:01:44.080]  即或是基督徒也好
[00:01:44.080 --> 00:01:47.280]  有很多都似乎覺得
[00:01:47.280 --> 00:01:49.040]  不如我什麼都不做
[00:01:49.040 --> 00:01:52.840]  等上帝接我回去的那一天吧
[00:01:52.840 --> 00:01:56.040]  是否真的這樣的態度呢?
[00:01:56.040 --> 00:01:59.040]  在聖經裏面的啟示
[00:01:59.040 --> 00:02:02.840]  又是否這樣去教導我們作為一個基督徒呢?
[00:02:02.840 --> 00:02:07.600]  但以你透過耶利米先知的啟示
[00:02:07.600 --> 00:02:09.120]  他明白到
[00:02:09.120 --> 00:02:12.240]  上帝原來對以色列民
[00:02:12.240 --> 00:02:14.680]  特別是猶大國的子民
[00:02:14.680 --> 00:02:16.240]  有一個計劃
[00:02:16.240 --> 00:02:20.560]  就是他們要被擄七十年之後
[00:02:20.560 --> 00:02:26.600]  然後可以回歸回到他們的祖國原居地
[00:02:26.600 --> 00:02:31.200]  這個英文對於但以利尼計
[00:02:31.200 --> 00:02:34.480]  來到今天我們所看的經文
[00:02:34.480 --> 00:02:39.920]  可以說是有一種懸而未決的狀態
[00:02:39.920 --> 00:02:44.360]  因為當我們去看第九章的記載裏面
[00:02:44.360 --> 00:02:46.880]  似乎但以利尼對於上帝
[00:02:46.880 --> 00:02:49.680]  你是否真的能夠實踐到
[00:02:49.680 --> 00:02:54.760]  回歸回到英許地這個計劃
[00:02:54.760 --> 00:02:56.160]  是可以實踐呢?
[00:02:56.160 --> 00:02:59.360]  但以利尼有兩重的異議或者他的擔憂
[00:02:59.360 --> 00:03:03.640]  其中一個擔憂當然是為了他自己本國的子民猶大國
[00:03:03.640 --> 00:03:07.400]  他可不可以重新真的在這個地上
[00:03:07.400 --> 00:03:10.520]  活在上帝英許地的當中
[00:03:10.520 --> 00:03:15.240]  見證到神的子民在這個地上上帝的英許呢?
[00:03:15.240 --> 00:03:16.960]  這是其中一個
[00:03:16.960 --> 00:03:20.520]  但這個我相信在但以利尼裏面是一個次要的想法
[00:03:20.520 --> 00:03:23.880]  但以利尼有另一個更重要的想法就是
[00:03:23.880 --> 00:03:29.120]  他擔心上帝的啟示或者上帝的英韻
[00:03:29.120 --> 00:03:31.000]  得不到成就
[00:03:31.000 --> 00:03:37.240]  這樣會不會使到上帝的名得到羞辱呢?
[00:03:37.240 --> 00:03:39.160]  所以在第九章裏面
[00:03:39.160 --> 00:03:41.520]  我們看見但以利尼的禱告
[00:03:41.520 --> 00:03:45.680]  正正就是為了這種矛盾而去作出
[00:03:45.680 --> 00:03:49.000]  尤其是當他去發現到
[00:03:49.000 --> 00:03:53.200]  真正使到上帝要這樣做的
[00:03:53.200 --> 00:03:57.440]  不是因為上帝想為難猶太人
[00:03:57.440 --> 00:04:00.800]  而是相反地是因為猶太人
[00:04:00.800 --> 00:04:03.800]  從耿古到這一刻
[00:04:03.800 --> 00:04:05.400]  即是但以利尼那一刻
[00:04:05.400 --> 00:04:07.160]  他們不斷的犯罪
[00:04:07.160 --> 00:04:10.400]  是以色列民對不起上帝
[00:04:10.400 --> 00:04:15.560]  因此上帝要作一連串糾正的功夫
[00:04:15.560 --> 00:04:19.120]  而秘魯其實某程度上
[00:04:19.120 --> 00:04:27.560]  是上帝要去實現他的英文的一個很重要的行動
[00:04:27.560 --> 00:04:28.880]  要讓人知道
[00:04:28.880 --> 00:04:31.200]  特別要讓世人知道
[00:04:31.200 --> 00:04:34.760]  上帝是怎樣去眷愛他的子民
[00:04:34.760 --> 00:04:37.320]  而這個眷愛不是隨便的
[00:04:37.320 --> 00:04:39.200]  因為他和我有特別關係
[00:04:39.200 --> 00:04:41.000]  我就特別照顧
[00:04:41.000 --> 00:04:44.080]  而是在一個公義的裏面
[00:04:44.080 --> 00:04:45.760]  我相信在剛剛這個禮拜裏面
[00:04:45.760 --> 00:04:49.000]  特別由香港移民來到加拿大的人
[00:04:49.000 --> 00:04:51.760]  應該是非常之痛心的一件事
[00:04:51.760 --> 00:04:55.000]  就是看見香港竟然有一個地方
[00:04:55.000 --> 00:04:57.760]  在大埔沖天大火
[00:04:57.760 --> 00:05:01.040]  在整件事情裏面
[00:05:01.040 --> 00:05:03.120]  其實我們所看見的
[00:05:03.120 --> 00:05:08.800]  不是純粹大火去燒死了一些居民
[00:05:08.800 --> 00:05:12.200]  也不是那些居民因為他們的罪特別大
[00:05:12.200 --> 00:05:14.440]  所以上帝要懲罰他們
[00:05:14.440 --> 00:05:16.760]  而是透過這件事件
[00:05:16.760 --> 00:05:19.680]  上帝容許這件事的發生
[00:05:19.680 --> 00:05:25.120]  就是讓我們看見罪是怎樣存留在每一個人身邊
[00:05:25.120 --> 00:05:28.160]  所以很多時候我聽很多人說
[00:05:28.160 --> 00:05:30.040]  我不理政治了
[00:05:30.040 --> 00:05:32.960]  政治我不搞就不會有事的
[00:05:32.960 --> 00:05:34.680]  但是卻是讓我們看見
[00:05:34.680 --> 00:05:38.240]  當你不去搞政治的時候
[00:05:38.240 --> 00:05:43.880]  人的罪惡也都悄悄地用不同的形式出現了
[00:05:43.880 --> 00:05:47.680]  可能因為種種的貪污舞弊等等的原因
[00:05:47.680 --> 00:05:50.320]  導致到有這樣的結局
