
[00:00:00.000 --> 00:00:03.580]  好 今天講到的內容叫做「夢醒時瞓」
[00:00:03.580 --> 00:00:05.760]  不知道大家醒了沒有
[00:00:05.760 --> 00:00:06.960]  看來都很醒了
[00:00:06.960 --> 00:00:08.060]  昨晚睡得好不好?
[00:00:08.060 --> 00:00:10.100]  好 挺好 睡得好
[00:00:10.100 --> 00:00:11.300]  有沒有人聽過這首歌?
[00:00:11.300 --> 00:00:13.460]  夢醒時瞓有沒有?
[00:00:13.460 --> 00:00:15.540]  當然說怎麼都沒有了
[00:00:15.540 --> 00:00:17.220]  聽過又差不多了
[00:00:17.220 --> 00:00:19.460]  夢醒時瞓 醒了
[00:00:19.460 --> 00:00:21.200]  神主權啟示 為什麼這樣說呢?
[00:00:21.200 --> 00:00:24.920]  有些隱言
[00:00:24.920 --> 00:00:26.560]  過去兩個月前
[00:00:26.560 --> 00:00:29.700]  我就參加了細女中學畢業了
[00:00:29.700 --> 00:00:33.060]  最後一年剛剛疫情還沒開始
[00:00:33.060 --> 00:00:34.820]  就有聖誕音樂會
[00:00:34.820 --> 00:00:39.360]  細女就負責唱 Quiet 和吹 Trumpet
[00:00:39.360 --> 00:00:40.780]  最後一次了
[00:00:40.780 --> 00:00:44.360]  因為中學完了就沒有這個活動了
[00:00:44.360 --> 00:00:47.760]  我們都很開心地去參與
[00:00:47.760 --> 00:00:50.220]  完了之後我女兒就換衣服了
[00:00:50.220 --> 00:00:52.160]  我們等她換完衣服就回家
[00:00:52.160 --> 00:00:54.860]  期間就去了學校的畫樓
[00:00:54.860 --> 00:00:56.400]  在那裡參觀
[00:00:56.400 --> 00:00:59.060]  參觀的時候就遇見了一位家長
[00:00:59.060 --> 00:01:00.720]  認到他了
[00:01:00.720 --> 00:01:05.760]  他幾年前在我們太子舊址的時候
[00:01:05.760 --> 00:01:08.000]  就和他媽媽在那裡聚會
[00:01:08.000 --> 00:01:09.200]  就和他聊聊天
[00:01:09.200 --> 00:01:12.260]  說說小朋友升學後在哪裡讀大學
[00:01:12.260 --> 00:01:14.140]  聊著聊著我就問他
[00:01:14.140 --> 00:01:16.840]  最近教會生活怎麼樣?
[00:01:16.840 --> 00:01:20.300]  然後他就說了以下這番話
[00:01:20.300 --> 00:01:21.540]  非常夢幻的
[00:01:21.540 --> 00:01:23.240]  非常夢幻 我覺得很夢幻
[00:01:23.240 --> 00:01:27.640]  他說幾年前我回了太子一間教會
[00:01:27.640 --> 00:01:31.560]  他好像不太認識我
[00:01:31.560 --> 00:01:35.820]  他說那間教會叫做「同福九龍西堂」
[00:01:35.820 --> 00:01:37.560]  這裡真是更加夢幻
[00:01:37.560 --> 00:01:39.860]  哦 那間啊
[00:01:39.860 --> 00:01:42.100]  他說現在就搬了
[00:01:42.100 --> 00:01:44.100]  就不知道搬到哪裡去了
[00:01:44.100 --> 00:01:47.240]  又不知道改了名字是什麼
[00:01:47.240 --> 00:01:49.200]  哎呀 真是夢幻
[00:01:49.200 --> 00:01:54.040]  我看著他 我的樣子都要保持鎮靜的
[00:01:54.040 --> 00:01:56.440]  他說因為媽媽行動不方便
[00:01:56.440 --> 00:01:57.820]  我想他住尖沙咀
[00:01:57.820 --> 00:02:00.220]  現在回到尖沙咀一間英文教會
[00:02:00.220 --> 00:02:02.280]  就叫做ECC
[00:02:02.280 --> 00:02:05.160]  我說那不是YMCA那間ECC啊?
[00:02:05.160 --> 00:02:05.660]  他說是啊
[00:02:05.660 --> 00:02:07.760]  我說這間教會好啊
[00:02:07.760 --> 00:02:09.960]  就在那裡聚會啦
[00:02:09.960 --> 00:02:13.100]  我就沒有解釋為什麼同福九龍西堂
[00:02:13.100 --> 00:02:15.860]  因為神的恩典發展得很好
[00:02:15.860 --> 00:02:18.300]  就按著報道會就自立了
[00:02:18.300 --> 00:02:20.560]  很感恩 神的恩典又很好
[00:02:20.560 --> 00:02:21.800]  又成長得很好
[00:02:21.800 --> 00:02:24.900]  有神的恩典就可以靠堂 直堂
[00:02:24.900 --> 00:02:28.380]  那很好 我們今天又再直堂在九龍東
[00:02:28.380 --> 00:02:30.040]  以上的話都沒有說
[00:02:30.040 --> 00:02:30.940]  我更加沒有說
[00:02:30.940 --> 00:02:33.620]  其實你知不知道你跟他聊天的那個
[00:02:33.620 --> 00:02:36.220]  就是你那間教會的主任牧師
[00:02:36.220 --> 00:02:38.120]  真是很夢幻 這件事很夢幻
[00:02:38.120 --> 00:02:39.820]  我猜他回到家裡都覺得很夢幻
[00:02:39.820 --> 00:02:42.860]  其實他是不是我以前的主任牧師呢?
[00:02:42.860 --> 00:02:43.960]  但是我想
[00:02:43.960 --> 00:02:45.820]  其實這種夢幻都不要緊
[00:02:45.820 --> 00:02:48.120]  因為你不認識雅金堂
[00:02:48.120 --> 00:02:50.760]  不認識陳全華是完全無所謂
[00:02:50.760 --> 00:02:52.840]  最重要是認識耶穌嘛
[00:02:52.840 --> 00:02:53.640]  是不是?
[00:02:53.640 --> 00:02:56.440]  最重要是回到教會是好就可以了
[00:02:56.440 --> 00:02:58.440]  有很多好的教會回來就可以了
[00:02:58.440 --> 00:03:00.080]  那個不是問題
[00:03:00.080 --> 00:03:02.080]  不過我們人生有時候有些
[00:03:02.080 --> 00:03:04.880]  很夢幻扭曲了的東西
[00:03:04.880 --> 00:03:06.620]  對自己 對別人
[00:03:06.620 --> 00:03:08.420]  或者對上帝的認識
[00:03:08.420 --> 00:03:11.580]  如果搞錯就麻煩了
[00:03:11.580 --> 00:03:14.520]  就好像我們的鏡頭這樣
[00:03:14.520 --> 00:03:16.560]  如果用錯鏡頭
[00:03:16.560 --> 00:03:18.560]  你看看有時候都會的
[00:03:18.560 --> 00:03:20.720]  將人的樣子扭曲了
[00:03:20.720 --> 00:03:24.460]  你覺得左邊那個好看一點還是右邊那個好看一點?
