
[00:00:00.000 --> 00:00:02.000]  好 今日的題目是
[00:00:02.000 --> 00:00:04.000]  要我尊重你
[00:00:04.000 --> 00:00:08.000]  你人生有沒有一些人你覺得
[00:00:08.000 --> 00:00:10.000]  你必須要尊重
[00:00:10.000 --> 00:00:12.000]  必須的意思就是you should
[00:00:12.000 --> 00:00:14.000]  應該的意思
[00:00:14.000 --> 00:00:16.000]  但你又覺得很難尊重他
[00:00:16.000 --> 00:00:20.000]  是不是很容易已經
[00:00:20.000 --> 00:00:22.000]  彈了幾個人名出來呢
[00:00:22.000 --> 00:00:24.000]  你的同屋
[00:00:24.000 --> 00:00:26.000]  應該和平共處的
[00:00:26.000 --> 00:00:28.000]  是吧
[00:00:28.000 --> 00:00:30.000]  最多的是這些人類
[00:00:30.000 --> 00:00:32.000]  同事啦 教會啦
[00:00:32.000 --> 00:00:36.000]  行不行 有沒有鎖定一兩個人選
[00:00:36.000 --> 00:00:40.000]  好了
[00:00:40.000 --> 00:00:42.000]  那你們發覺
[00:00:42.000 --> 00:00:44.000]  那你被虧待啦
[00:00:44.000 --> 00:00:46.000]  是不是
[00:00:46.000 --> 00:00:48.000]  那我給一條multiple choice
[00:00:48.000 --> 00:00:50.000]  大家選一選好嗎
[00:00:50.000 --> 00:00:52.000]  在你被虧待的情況下
[00:00:52.000 --> 00:00:54.000]  你會怎麼做呢 第一
[00:00:54.000 --> 00:00:56.000]  以牙還牙
[00:00:56.000 --> 00:00:58.000]  好奇 你做初一 我做十五
[00:00:58.000 --> 00:01:02.000]  第二 據理力爭
[00:01:02.000 --> 00:01:04.000]  我講出我的理由
[00:01:04.000 --> 00:01:06.000]  你一定要聽完我講才好
[00:01:06.000 --> 00:01:08.000]  如果不和那個人講
[00:01:08.000 --> 00:01:10.000]  你和後面那些人講
[00:01:10.000 --> 00:01:12.000]  中國人最流行的
[00:01:12.000 --> 00:01:14.000]  第三 發覺你講你不贏
[00:01:14.000 --> 00:01:16.000]  講你不聽 講你不明
[00:01:16.000 --> 00:01:18.000]  我就不想見到你
[00:01:18.000 --> 00:01:20.000]  那你慢慢就彈開
[00:01:20.000 --> 00:01:22.000]  中國人更加多這類
[00:01:22.000 --> 00:01:24.000]  是吧 自動彈開
[00:01:26.000 --> 00:01:28.000]  那你會有第四個
[00:01:28.000 --> 00:01:30.000]  另一個選擇呢
[00:01:30.000 --> 00:01:36.000]  以你的性情 性格
[00:01:36.000 --> 00:01:38.000]  過往的經歷 你會選哪一個
[00:01:38.000 --> 00:01:42.000]  我不用大家舉手了 免得不好意思
[00:01:42.000 --> 00:01:44.000]  當堂沒有女朋友
[00:01:44.000 --> 00:01:46.000]  就黏在這裡
[00:01:46.000 --> 00:01:50.000]  男生馬上彈開
[00:01:50.000 --> 00:01:52.000]  不過無論你
[00:01:52.000 --> 00:01:54.000]  選哪一個都好
[00:01:54.000 --> 00:01:56.000]  你繼續聽聽這篇講道
[00:01:56.000 --> 00:01:58.000]  到你後面
[00:01:58.000 --> 00:02:00.000]  我會再問一次
[00:02:00.000 --> 00:02:02.000]  這個問卷
[00:02:02.000 --> 00:02:04.000]  看看大家有沒有其他選擇
[00:02:04.000 --> 00:02:06.000]  好 下去了
[00:02:06.000 --> 00:02:08.000]  講故事了
[00:02:08.000 --> 00:02:10.000]  舊約的故事我最喜歡講
[00:02:10.000 --> 00:02:12.000]  因為可以任你去解釋
[00:02:12.000 --> 00:02:14.000]  我意思是有很多想像空間
[00:02:14.000 --> 00:02:18.000]  這個就是蘇羅
[00:02:18.000 --> 00:02:20.000]  追殺大衛的故事
[00:02:22.000 --> 00:02:24.000]  大家可能會問 蘇羅為什麼要追殺大衛
[00:02:24.000 --> 00:02:26.000]  如果你不太知道背景
[00:02:26.000 --> 00:02:28.000]  我三言兩語都可以讓大家知道
[00:02:28.000 --> 00:02:30.000]  蘇羅是王
[00:02:30.000 --> 00:02:32.000]  是一個很威勇的王
[00:02:32.000 --> 00:02:34.000]  蘇羅殺死千千
[00:02:34.000 --> 00:02:36.000]  接著一句是什麼
[00:02:36.000 --> 00:02:40.000]  大衛就殺死萬萬
[00:02:40.000 --> 00:02:42.000]  本來第一句蘇羅很開心
[00:02:42.000 --> 00:02:44.000]  我多厲害
[00:02:44.000 --> 00:02:46.000]  誰知聽完下一句之後
[00:02:46.000 --> 00:02:48.000]  整個樣子就變了
[00:02:48.000 --> 00:02:50.000]  就是說他有一個妒忌
[00:02:50.000 --> 00:02:52.000]  他跟一個年輕人起來
[00:02:52.000 --> 00:02:54.000]  比他厲害
[00:02:54.000 --> 00:02:56.000]  不僅比他厲害
[00:02:56.000 --> 00:02:58.000]  他更加要展示自己厲害的時候
[00:02:58.000 --> 00:03:00.000]  在他人生中做更多的事
[00:03:00.000 --> 00:03:02.000]  叫做自把自為
[00:03:02.000 --> 00:03:04.000]  接著就變成一個
[00:03:04.000 --> 00:03:06.000]  很苦惱的人
[00:03:06.000 --> 00:03:08.000]  因為神開始遠離他
[00:03:08.000 --> 00:03:12.000]  他的道師薩姆爾
[00:03:12.000 --> 00:03:14.000]  都開始責備他
[00:03:14.000 --> 00:03:16.000]  但是他沒有聽清楚
[00:03:16.000 --> 00:03:18.000]  別人責備什麼
[00:03:18.000 --> 00:03:20.000]  他想辦法
[00:03:20.000 --> 00:03:22.000]  消滅大衛
[00:03:22.000 --> 00:03:24.000]  當他想消滅大衛的時候
