
[00:00:00.000 --> 00:00:02.960]  各位內賓 主禮弟 兄姊妹 平安
[00:00:02.960 --> 00:00:05.620]  感謝神 我們有生命氣息
[00:00:05.620 --> 00:00:07.220]  在主日的清晨
[00:00:07.220 --> 00:00:11.260]  來到一起去聆聽神的話語
[00:00:11.260 --> 00:00:12.760]  我們在一月的時候
[00:00:12.760 --> 00:00:15.820]  我們開始了一起去看《若書也記》的訊息
[00:00:15.820 --> 00:00:19.120]  我們今天會繼續在第三章
[00:00:19.120 --> 00:00:24.460]  繼續去學習 同心跟隨這個主題
[00:00:24.460 --> 00:00:27.420]  前天是農曆新年的年初一
[00:00:27.420 --> 00:00:29.660]  我們的手機都響個不停
[00:00:29.660 --> 00:00:34.840]  我們的親朋戚友都會發一些短信貼文
[00:00:34.840 --> 00:00:39.980]  或者打電話 大家互相祝賀 互相鼓勵
[00:00:39.980 --> 00:00:43.140]  我們主禮弟 兄姊妹都在提醒大家
[00:00:43.140 --> 00:00:46.600]  去鼓勵大家是耶和華神
[00:00:46.600 --> 00:00:51.080]  是我們的供應者 也是我們持平安的神
[00:00:51.080 --> 00:00:53.960]  在這個動盪的社會裏面
[00:00:53.960 --> 00:00:56.100]  無論是疫情的關係
[00:00:56.100 --> 00:00:59.480]  或者是政治不明朗的情況之下
[00:00:59.480 --> 00:01:02.120]  很多人都是尋求神的旨意
[00:01:02.120 --> 00:01:05.180]  去嘗試明白怎樣去走當行的路
[00:01:05.180 --> 00:01:08.580]  作出一些人生上面重大的決定
[00:01:08.580 --> 00:01:10.880]  無論是家庭上面、事業上面
[00:01:10.880 --> 00:01:15.920]  或者子女未來生活的方向
[00:01:15.920 --> 00:01:19.120]  人都用很多不同的方法去尋求
[00:01:19.120 --> 00:01:21.620]  未認識神的
[00:01:21.620 --> 00:01:27.520]  都可能會去民間的寺院上面去求問
[00:01:27.520 --> 00:01:33.180]  透過去參拜 或者去求籤
[00:01:33.180 --> 00:01:37.820]  或者去透過各樣的占卜、聖上的事情
[00:01:37.820 --> 00:01:41.560]  去知道他們怎樣去作出一些決定
[00:01:41.560 --> 00:01:45.280]  在聖經上面 我們在摩西五經上面
[00:01:45.280 --> 00:01:49.040]  尤其是在埃及的時候 我們看到
[00:01:49.040 --> 00:01:53.500]  神帶領以色列子民從埃及離開
[00:01:53.500 --> 00:01:56.240]  去到向著迦南地去進發
[00:01:56.240 --> 00:01:59.120]  但是他們遇到種種的困難
[00:01:59.120 --> 00:02:03.840]  他們有叛逆的時候 有跌倒的時候
[00:02:03.840 --> 00:02:06.680]  去敬拜 用自己的方法
[00:02:06.680 --> 00:02:10.060]  或者是透過敬拜偶像
[00:02:10.060 --> 00:02:14.160]  去完成去安慰自己心裏面的不安
[00:02:14.160 --> 00:02:16.820]  尋求各樣的方法
[00:02:16.820 --> 00:02:18.840]  但是來到約書亞記的時候
[00:02:18.840 --> 00:02:21.340]  我們看到約書亞
[00:02:21.340 --> 00:02:25.000]  是帶領這幫新一代的以色列的子民
[00:02:25.000 --> 00:02:28.320]  一同去進入這個流乃與物之地
[00:02:28.320 --> 00:02:32.040]  一個神應許的地方
[00:02:32.040 --> 00:02:34.440]  得到神所應許的土地
[00:02:34.440 --> 00:02:39.680]  這個是一個得勝者的見證
[00:02:39.680 --> 00:02:45.520]  我們今天會從約書亞記的第三章
[00:02:45.520 --> 00:02:50.000]  繼續去看我們人生上的一個難題
[00:02:50.000 --> 00:02:52.000]  我們在亂世當中
[00:02:52.000 --> 00:02:55.660]  我們過得勝生活的要訣是什麼呢?
[00:02:55.660 --> 00:02:59.720]  我們生活上遇到各樣的困難
[00:02:59.720 --> 00:03:04.980]  好像是非常龐大難以渡過的時刻
[00:03:04.980 --> 00:03:06.980]  我們怎樣去面對呢?
[00:03:06.980 --> 00:03:10.060]  我們今天從聖經當中的經
[00:03:10.060 --> 00:03:14.040]  去那裏學習怎樣去學習這個功課
[00:03:14.040 --> 00:03:17.120]  我們低頭祈禱開始
[00:03:17.120 --> 00:03:19.480]  愛你的天父上帝 我們感謝你
[00:03:19.480 --> 00:03:23.220]  我們感謝你設下聖經寶貴的話語
[00:03:23.220 --> 00:03:27.180]  來教導我們怎樣去過我們的人生
[00:03:27.180 --> 00:03:29.560]  過我們一個得勝的生活
[00:03:29.560 --> 00:03:31.480]  求聖靈幫助我們
[00:03:31.480 --> 00:03:33.700]  求神開我們的眼睛
[00:03:33.700 --> 00:03:35.020]  打開我們的耳朵
[00:03:35.020 --> 00:03:38.140]  使我們能夠看得清楚 聽得明白
[00:03:38.140 --> 00:03:41.240]  你告訴我們的訊息
[00:03:41.240 --> 00:03:43.740]  明白你的旨意
[00:03:43.740 --> 00:03:45.180]  求神幫助我們
[00:03:45.180 --> 00:03:46.920]  帶領我們以下的時間
[00:03:46.920 --> 00:03:50.580]  我們以上的禱告是奉主耶穌得勝的免治祈求
[00:03:50.580 --> 00:03:52.580]  阿們
[00:03:52.580 --> 00:03:55.680]  在約書亞記的第二章
[00:03:55.680 --> 00:03:59.240]  我們看到約書亞派了兩個探子去耶利哥城
[00:03:59.240 --> 00:04:02.120]  去查探耶利哥城城中的情況
[00:04:02.120 --> 00:04:04.920]  當探子回報的時候
[00:04:04.920 --> 00:04:07.100]  都帶來一些好消息
[00:04:07.100 --> 00:04:12.840]  於是約書亞就帶領以色列民離開十亭
[00:04:12.840 --> 00:04:14.720]  去準備過約旦河
[00:04:14.720 --> 00:04:17.300]  來到河邊 他就在那裏住了三天
[00:04:17.300 --> 00:04:19.260]  他就同時吩咐百姓
[00:04:19.260 --> 00:04:24.800]  你們看 耶和華你們神的約櫃
[00:04:24.800 --> 00:04:25.960]  那個約櫃
[00:04:25.960 --> 00:04:28.520]  也是借祭司抬著那個
[00:04:28.520 --> 00:04:31.000]  就要離開這個地方
[00:04:31.000 --> 00:04:34.540]  你們要跟著這個約櫃去走
[00:04:34.540 --> 00:04:38.280]  這個約櫃在《出拉及記》25章第10至22節
[00:04:38.280 --> 00:04:40.080]  都有詳細的介紹
[00:04:40.080 --> 00:04:42.300]  詳細的描述
[00:04:42.300 --> 00:04:45.380]  描述到這個約櫃是用金鋪的
[00:04:45.380 --> 00:04:49.580]  上面有兩隻基羅柏掌可以翅膀對著
[00:04:49.580 --> 00:04:54.520]  還有腳下面 每隻腿腳下面都有個金環
[00:04:54.520 --> 00:04:56.140]  可以穿著一條棍
[00:04:56.140 --> 00:04:58.540]  所以那個祭司抬起來
[00:04:58.540 --> 00:05:00.460]  就抬高在肩膀上
[00:05:00.460 --> 00:05:03.280]  後面的人民就看到
[00:05:03.280 --> 00:05:07.000]  可以看著那個約櫃
[00:05:07.000 --> 00:05:09.920]  跟著他的帶領 繼續向前走
[00:05:09.920 --> 00:05:13.320]  他有一個清楚的吩咐 說你們不要走得太近
[00:05:13.320 --> 00:05:16.680]  因為這個是神的約櫃
[00:05:16.680 --> 00:05:19.100]  但是這個約櫃這樣帶領他們
[00:05:19.100 --> 00:05:23.340]  就會帶領他們走過一條以前沒有走過的道路
[00:05:23.340 --> 00:05:27.240]  跟著神的帶領 一同走這條道路
[00:05:27.240 --> 00:05:31.680]  約書亞就吩咐百姓 說你們要自潔
[00:05:31.680 --> 00:05:32.800]  要提醒他們
[00:05:32.800 --> 00:05:37.220]  不要像以前那樣在寺廷那裡犯罪
[00:05:37.220 --> 00:05:38.740]  他們能夠過約但何
[00:05:38.740 --> 00:05:42.720]  不是他們本身是聖潔的子民
[00:05:42.720 --> 00:05:46.880]  不是 他們是被揀選的子民
[00:05:46.880 --> 00:05:48.680]  他們在寺廷的時候
[00:05:48.680 --> 00:05:51.540]  雖然他們打贏了戰爭
[00:05:51.540 --> 00:05:54.980]  在約旦東岸佔領了一些土地
[00:05:54.980 --> 00:05:59.220]  但是他們被當地的外邦人誘惑
[00:05:59.220 --> 00:06:03.280]  被那些女子誘惑 以致他們犯了姦淫罪
[00:06:03.280 --> 00:06:05.520]  在寺廷那裡又拜偶像
[00:06:05.520 --> 00:06:10.100]  這些事情都記載在文素記20-25章
[00:06:10.100 --> 00:06:13.300]  約書亞吩咐這些百姓 命令他們
[00:06:13.300 --> 00:06:14.980]  你們要自潔
[00:06:14.980 --> 00:06:20.620]  因為耶和華明天就會在他們眼前
[00:06:20.620 --> 00:06:22.400]  會行一些奇事
[00:06:22.400 --> 00:06:26.460]  帶著他們一起去經歷一些神蹟
[00:06:26.460 --> 00:06:30.740]  在這裡提醒他們這個吩咐
[00:06:30.740 --> 00:06:33.760]  約書亞又吩咐祭司
[00:06:33.760 --> 00:06:36.780]  你要抬著這個跪在這幫百姓前面走
[00:06:36.780 --> 00:06:39.300]  帶著他們走
[00:06:39.300 --> 00:06:40.860]  來到第七節的時候
[00:06:40.860 --> 00:06:46.500]  耶和華就再次和約書亞這樣說
[00:06:46.500 --> 00:06:49.760]  這個 今天
[00:06:49.760 --> 00:06:54.760]  耶和華我一定會令到你在以色列眼前
[00:06:54.760 --> 00:06:59.280]  尊大 受到他們的敬畏
[00:06:59.280 --> 00:07:04.840]  好使他們知道神與摩西同在
[00:07:04.840 --> 00:07:08.860]  也照樣和你約書亞同在
[00:07:08.860 --> 00:07:12.300]  耶和華再吩咐 再和約書亞說
[00:07:12.300 --> 00:07:15.420]  約書亞你要吩咐抬躍跪的人
