
[00:00:00.000 --> 00:00:02.000]  今天特別給大家分享的經文呢
[00:00:02.000 --> 00:00:05.380]  是在創世紀裏面的第23章的經文
[00:00:05.380 --> 00:00:09.400]  那我想這段經文基本上公子妹都是非常熟悉的
[00:00:09.400 --> 00:00:13.560]  想到雅各生平裏面一件很重要的事情
[00:00:13.560 --> 00:00:18.560]  也是她在生命當中非常重要的一段的經歷
[00:00:18.560 --> 00:00:23.360]  我給她一個題目叫做雅各的高光時刻
[00:00:23.360 --> 00:00:26.600]  爲什麼說她是雅各的高光時刻呢
[00:00:26.600 --> 00:00:30.480]  其實雅各的一生經歷了很多很多的事情
[00:00:30.480 --> 00:00:35.720]  那她的生命的歷程也是很精彩很豐富的
[00:00:35.720 --> 00:00:38.880]  不過我覺得今天所要看的這一段
[00:00:38.880 --> 00:00:44.560]  恰恰是她生命裏面最重要的那一小段的經歷
[00:00:44.560 --> 00:00:48.560]  也是她人生的一個轉捩點
[00:00:48.560 --> 00:00:51.800]  如果我們有看一些比賽的時候
[00:00:51.800 --> 00:00:54.600]  我們通常會看到在比賽的最後
[00:00:54.600 --> 00:00:57.600]  就是領獎的那個時刻
[00:00:57.600 --> 00:01:03.000]  在頒獎臺上我們會把那個時刻也稱作一個高光的時刻
[00:01:03.000 --> 00:01:10.280]  因爲運動員站在臺上有很多的閃光燈照着他們
[00:01:10.280 --> 00:01:14.240]  有很多的焦點都聚焦在他們的身上
[00:01:14.240 --> 00:01:17.720]  其實對他們來講也許是在人生裏面一個很風光
[00:01:17.720 --> 00:01:21.280]  或者是達到人生巔峯的一個時刻
[00:01:21.280 --> 00:01:26.240]  那對雅各來講跟上帝摔跤
[00:01:26.240 --> 00:01:30.800]  也是她生命裏面一個可以說是巔峯的時刻
[00:01:30.800 --> 00:01:34.320]  因爲我想沒有任何一個人有像她這樣的經歷
[00:01:34.320 --> 00:01:36.800]  可以跟神去摔跤的
[00:01:36.800 --> 00:01:39.920]  我不曉得你喜不喜歡看摔跤的比賽
[00:01:39.920 --> 00:01:41.840]  我是很喜歡看的
[00:01:41.840 --> 00:01:46.320]  在以前我會半夜的時候也會起來看摔跤的比賽
[00:01:46.320 --> 00:01:48.400]  因爲實在是非常的精彩
[00:01:48.400 --> 00:01:53.280]  摔跤的一個重點就是要把對方要抓住
[00:01:53.280 --> 00:01:55.840]  然後把他要摔倒按在地上
[00:01:55.840 --> 00:01:58.640]  然後十秒鐘他起不來
[00:01:58.640 --> 00:02:00.320]  那你就贏了
[00:02:00.320 --> 00:02:03.760]  這個重點是要把他抓住然後摔倒
[00:02:03.760 --> 00:02:10.720]  所以今天我會給大家看一場比較精彩的摔跤的比賽
[00:02:10.720 --> 00:02:11.680]  說是精彩
[00:02:11.680 --> 00:02:14.560]  實質上它是很短的這場比賽
[00:02:14.560 --> 00:02:16.040]  很快就結束的
[00:02:16.040 --> 00:02:19.200]  但是因爲很短也是很精彩
[00:02:19.200 --> 00:02:20.280]  怎麼精彩呢
[00:02:20.280 --> 00:02:22.560]  我們先來看這段經文
[00:02:22.560 --> 00:02:24.600]  先來讀一讀
[00:02:24.600 --> 00:02:29.080]  在創世紀的三十二章的二十一到三十二節
[00:02:29.080 --> 00:02:30.640]  如果你手上有聖經的話
[00:02:30.640 --> 00:02:31.680]  請你翻開聖經
[00:02:31.680 --> 00:02:32.120]  沒有的話
[00:02:32.120 --> 00:02:34.160]  你可以看你手機裏面的聖經
[00:02:34.160 --> 00:02:36.360]  看屏幕也可以
[00:02:36.360 --> 00:02:37.720]  看到我們一起來唸
[00:02:37.720 --> 00:02:39.200]  一二起
[00:02:39.200 --> 00:02:42.160]  於是禮物先過去了
[00:02:42.160 --> 00:02:45.520]  那夜雅各在隊中住宿
[00:02:45.520 --> 00:02:49.520]  他夜間起來帶着兩個妻子
[00:02:49.520 --> 00:02:53.040]  兩個使女並十一個兒子
[00:02:53.040 --> 00:02:55.640]  都過了雅伯渡口
[00:02:55.640 --> 00:02:58.120]  先打發他們過河
[00:02:58.120 --> 00:03:01.200]  又打發所有的都過去
[00:03:01.200 --> 00:03:03.560]  只剩下雅各一人
[00:03:03.560 --> 00:03:06.600]  有一個人來和他摔跤
[00:03:06.600 --> 00:03:08.400]  直到黎明
[00:03:08.400 --> 00:03:11.560]  那人見自己勝不過他
[00:03:11.560 --> 00:03:15.320]  就當摸了一把
[00:03:15.320 --> 00:03:20.280]  雅各的大腿窩正在摔跤的時候就扭了
[00:03:20.280 --> 00:03:21.440]  那人說
[00:03:21.440 --> 00:03:22.920]  天黎明瞭
[00:03:22.920 --> 00:03:24.440]  容我去吧
[00:03:24.440 --> 00:03:25.640]  雅各說
[00:03:25.640 --> 00:03:27.680]  你不給我祝福
[00:03:27.680 --> 00:03:29.720]  我就不容你去
[00:03:29.720 --> 00:03:30.880]  那人說
[00:03:30.880 --> 00:03:32.600]  你名叫什麼
[00:03:32.600 --> 00:03:35.360]  他說我名叫雅各
