
[00:00:00.000 --> 00:00:02.560]  《使徒運傳》,如果你們留意的話
[00:00:02.560 --> 00:00:06.300]  我也是將幾章的經文放在一起
[00:00:06.300 --> 00:00:08.580]  找一個主題出來
[00:00:08.580 --> 00:00:11.580]  例如十三和十四章是講到
[00:00:11.580 --> 00:00:13.640]  有很多神蹟歧視
[00:00:13.640 --> 00:00:15.240]  但是神蹟歧視
[00:00:15.240 --> 00:00:18.260]  不能夠使人真正地相信
[00:00:18.260 --> 00:00:22.180]  神蹟歧視是將人帶領到神的話語
[00:00:22.180 --> 00:00:25.540]  這個就是十三、十四章的主題
[00:00:25.540 --> 00:00:27.020]  十五、十六章
[00:00:27.020 --> 00:00:28.780]  上次跟大家講過
[00:00:28.780 --> 00:00:31.980]  是教會如何處理問題
[00:00:31.980 --> 00:00:33.560]  教會有很多問題
[00:00:33.560 --> 00:00:36.200]  內在、外在、方向的問題
[00:00:36.200 --> 00:00:39.900]  早期的教會都給我們一些教導
[00:00:39.900 --> 00:00:43.280]  如何面對同樣的問題
[00:00:43.280 --> 00:00:46.000]  今天十七至二十章
[00:00:46.000 --> 00:00:49.460]  又是有共同的主題
[00:00:49.460 --> 00:00:52.120]  都是奉了甚麼的名
[00:00:52.120 --> 00:00:56.360]  奉了甚麼來做這些事
[00:00:56.360 --> 00:00:59.160]  我們見到有些甚麼內容
[00:00:59.160 --> 00:01:04.440]  例如是藉著甚麼來傳廣福音
[00:01:04.440 --> 00:01:05.840]  例如第二點
[00:01:05.840 --> 00:01:09.220]  一個人憑甚麼來接受聖靈
[00:01:09.220 --> 00:01:10.700]  第三點
[00:01:10.700 --> 00:01:16.360]  是奉誰的名來行神蹟歧視
[00:01:16.360 --> 00:01:17.640]  第四點
[00:01:17.640 --> 00:01:21.740]  是奉誰的旨意來行事
[00:01:21.740 --> 00:01:25.540]  這些其實都和傳福音有關
[00:01:25.540 --> 00:01:28.500]  所以我本來也想叫今天的題目
[00:01:28.500 --> 00:01:32.800]  做甚麼是傳福音正確的手法
[00:01:32.800 --> 00:01:34.560]  但後來想想都是
[00:01:34.560 --> 00:01:37.600]  藉著甚麼來行者歧視這個題目
[00:01:37.600 --> 00:01:40.780]  是比較適合一些
[00:01:40.780 --> 00:01:42.560]  今天我們讀的經文
[00:01:42.560 --> 00:01:43.760]  亦都很有趣
[00:01:43.760 --> 00:01:48.000]  使徒行俊的十八章二十二節和二十三節
[00:01:48.000 --> 00:01:51.640]  其實給我們見到是一個轉捩點
[00:01:51.640 --> 00:01:53.280]  十八章的二十二節
[00:01:53.280 --> 00:01:56.240]  是第二次報道的結束
[00:01:56.240 --> 00:01:58.200]  十八章的二十三節
[00:01:58.200 --> 00:02:01.840]  是第三次保羅旅程的開始
[00:02:01.840 --> 00:02:03.800]  所以是一個轉捩點
[00:02:03.800 --> 00:02:05.760]  今天見到這五點
[00:02:05.760 --> 00:02:08.040]  憑著甚麼來做這些事
[00:02:08.040 --> 00:02:13.160]  其實是橫跨保羅的兩次的報道旅程
[00:02:13.160 --> 00:02:15.760]  我們首先來看看第一樣
[00:02:15.760 --> 00:02:19.480]  是憑著甚麼來傳福音
[00:02:19.480 --> 00:02:21.400]  首先給我有靈感
[00:02:21.400 --> 00:02:24.480]  是將十七到二十章放在一起
[00:02:24.480 --> 00:02:25.840]  是一個字
[00:02:25.840 --> 00:02:28.120]  就是「辯論」這個字
[00:02:28.120 --> 00:02:29.720]  辯論這個字
[00:02:29.720 --> 00:02:33.920]  慢慢演變成我們英文的Dialogue
[00:02:33.920 --> 00:02:35.240]  就是對話
