
[00:00:00.000 --> 00:00:07.080]  各位弟兄姊妹,我好開心可以來到這裡。
[00:00:07.080 --> 00:00:18.600]  上次我應該可以來到這裡,但沒辦法,這次就來補償了。
[00:00:18.600 --> 00:00:21.840]  我們一起去禱告。
[00:00:21.840 --> 00:00:40.160]  上帝,平靜我們的心,讓我們有聆聽的耳朵,讓我們有信服你的心。
[00:00:40.160 --> 00:00:51.040]  奉耶穌名求,阿們。
[00:00:51.040 --> 00:01:01.000]  你們有沒有從來想過為什麼父親節會在母親節之後呢?
[00:01:01.000 --> 00:01:04.080]  為什麼會是母親節然後到父親節呢?
[00:01:10.160 --> 00:01:23.400]  有人說,因為母親節的禮物那張單,剛剛在父親節來到的時候,就可以足夠給錢了。
[00:01:23.400 --> 00:01:26.560]  所以就有足夠的錢了。
[00:01:26.560 --> 00:01:31.920]  多好啊,有得可以給錢。
[00:01:31.920 --> 00:01:41.840]  父親有足夠的錢財可以去給,是何等的好呢?
[00:01:41.840 --> 00:01:52.160]  我們今天所讀的經文,我們專注在國際書三章二十一節。
[00:01:52.160 --> 00:02:03.000]  這一節的經文給我們父親是一個嚴肅的指示。
[00:02:03.000 --> 00:02:15.280]  他說,父親不要惹兒女的氣,恐怕他們失了志氣。
[00:02:15.280 --> 00:02:24.960]  在同一個教導裡面,已不鎖書六章四節也都有出現。
[00:02:24.960 --> 00:02:36.440]  在那裡,保羅警告父親說,不要惹兒女的氣。
[00:02:36.440 --> 00:02:48.040]  意思是不要讓你們的孩子們變成記恨不滿。
[00:02:48.040 --> 00:03:00.760]  否則整件事會變得更加的擴大,就會失了志氣了。
[00:03:00.760 --> 00:03:11.160]  父母是孩子人生裡面第一個的屬靈者。
[00:03:11.160 --> 00:03:23.040]  就是你們了,爸爸媽媽就是第一個屬靈者。
[00:03:23.040 --> 00:03:30.280]  父母也要作為有好的父母的責任。
[00:03:30.280 --> 00:03:37.680]  爸爸和媽媽各自有自己的英俊的本份,也有好的責任。
[00:03:37.680 --> 00:03:44.200]  但父親也有他自己需要做的職責。
[00:03:44.200 --> 00:03:52.320]  作為父親,你不可以忽略或者推卸自己的職責。
[00:03:52.320 --> 00:03:58.800]  不可以將這些責任推卸到其他的母親或者是屬靈的導師身上。
[00:03:58.800 --> 00:04:07.720]  當然,母親和屬靈長輩可以去做這個支持或者去幫助。
[00:04:07.720 --> 00:04:21.920]  在這段經文裡面,是用一個嚴肅警告的方式去鼓勵這些父親。
[00:04:21.920 --> 00:04:34.200]  他說,父親啊,不要惹兒女的氣。
[00:04:34.200 --> 00:04:41.600]  讓我們想一下,究竟怎樣可以不激怒我們自己的子女呢?
[00:04:41.600 --> 00:04:50.480]  或者不是去令他們心裡面變得很苦澀,不要傷害他們的志氣呢?
[00:04:50.480 --> 00:04:54.880]  以至於他們不會失去了成長甚至活下去的盼望。
[00:04:54.880 --> 00:05:05.160]  如果我可以的話,我今天會給三個實際的教導給各位的父親。
[00:05:05.160 --> 00:05:19.200]  有很多的小朋友將閻牧師講為一個牧師爺爺。
[00:05:19.200 --> 00:05:20.720]  (主持人:牧師爺爺)
[00:05:20.720 --> 00:05:25.200]  牧師爺爺,他也是啦,牧師爺爺。
[00:05:25.200 --> 00:05:35.520]  我今天像牧師爺爺那樣去告訴所有的父親,這三個的教導。
[00:05:35.520 --> 00:05:37.880]  第一個,
[00:05:37.880 --> 00:05:49.400]  不要令他們心裡面有苦澀,就是不要輕視你們的孩子。
[00:05:49.400 --> 00:05:53.040]  究竟是怎樣解釋呢?
[00:05:53.040 --> 00:06:06.240]  輕視他們就等於羞辱上帝的禮物,因為小朋友是神所賜的產業。
[00:06:06.240 --> 00:06:12.200]  是我們上帝所賜的禮物。
[00:06:12.200 --> 00:06:19.720]  你是羞辱上帝的禮物。
[00:06:19.720 --> 00:06:28.200]  同時你也不相信上帝在這班孩子身上有工作。
[00:06:28.200 --> 00:06:37.200]  要記得神確實在我們的兒女身上是在動工的。
[00:06:37.200 --> 00:06:56.840]  如果不贊同上帝將這個孩子交給我們照顧的安排,也是一樣輕視他們。
[00:06:56.840 --> 00:07:02.320]  意思是G-Leg今天是他的,給他鼓掌。
[00:07:02.320 --> 00:07:25.000]  輕視孩子就是羞辱上帝的禮物,不相信上帝在他們身上有工作,也不贊同上帝給我們照顧的安排。
[00:07:25.000 --> 00:07:31.120]  每一個孩子都是獨特的。
[00:07:31.120 --> 00:07:39.080]  每一個都是被上帝特別的關愛。
[00:07:39.080 --> 00:07:49.760]  既然孩子被託付在我們的照顧之下,我們更加應該體重重視他們。
[00:07:49.760 --> 00:08:05.960]  我們越重視他們,就越能將盼望灌輸在這班孩子的生命裏面。
[00:08:05.960 --> 00:08:15.760]  這班孩子就會有很強的品德和有上帝的榮美。
[00:08:15.760 --> 00:08:25.760]  我將這個故事講述給大家聽。
[00:08:25.760 --> 00:08:35.760]  這個故事講述在德國有一位教十至十一歲的男子的一個老師。
[00:08:35.760 --> 00:08:42.760]  在每次上課之前,他會將他的高帽脫下。
