
[00:00:00.000 --> 00:00:08.000]  弟兄姊妹,祖內平安。今天我們一同來到神的面前,來學習祂的話語。
[00:00:08.000 --> 00:00:23.000]  今天我們要跟弟兄姊妹一起來看的,就是《從罪得釋放》這一個大的系列的第四部分,就是次聖靈聖靈的律。
[00:00:23.000 --> 00:00:33.000]  是用到羅馬書的第八章,我們要看的是一節,一節到十四節的經文。
[00:00:33.000 --> 00:00:40.000]  在開始以前,我們在一起有一個同心的禱告。
[00:00:40.000 --> 00:00:49.000]  愛我們的神,我們感謝祢,祢給我們有機會,一同來到祢面前,來學習祢的話。
[00:00:49.000 --> 00:01:02.000]  在祢的靈運行在我們當中,開啟我們的悟性,叫我們能夠明白祢的話語,也能夠照著祢的話語來生活,來行事。
[00:01:02.000 --> 00:01:14.000]  我們感謝祢,求祢與我們同在,我們這樣禱告感謝奉耶穌基督的名,阿門。
[00:01:14.000 --> 00:01:33.000]  今天我們要看的這段經文呢,是第八章的一節到十四節,我們先一起來看這個第一節到這個第四節。
[00:01:33.000 --> 00:01:55.000]  這個我讀給弟兄姊妹聽:如今那些在基督耶穌裡的就不定罪了,因為賜生命聖靈的律在基督耶穌裡釋放了我,使我脫離罪和死的律了。
[00:01:55.000 --> 00:02:22.000]  律法,基因肉體軟弱,有所不能行的,神就差遣自己的兒子成為罪生的形狀,作了贖罪祭,在肉體中定了罪案,此律法的意,成就在我們這不隨從肉體之隨從聖靈的人身上。
[00:02:22.000 --> 00:02:27.000]  這個是第一節到第四節的內容。
[00:02:27.000 --> 00:02:51.000]  在第七章,我們已經看見了,律法不能夠救我們脫離在我們肢體中那個罪的律,我們這個肢體中間有這個罪和律,罪的律。律法能給我們的就是定罪、審犯、死亡。
[00:02:51.000 --> 00:03:03.000]  所以,假使我們靠著自己的話,來到審問面前,你要根據律法,那你就被定罪、被審判、被滅亡。
