
[00:00:00.000 --> 00:00:03.000]  今日同大家分享的經文比較冷門
[00:00:03.000 --> 00:00:06.000]  大家很少會用來讀
[00:00:06.000 --> 00:00:09.000]  或者讀到差不多時候就skip了
[00:00:09.000 --> 00:00:13.000]  究竟這個問安的名單和我們有什麼關係
[00:00:13.000 --> 00:00:17.000]  有什麼適切我們今天的處境
[00:00:17.000 --> 00:00:20.000]  話說昨天阿彪傳到
[00:00:20.000 --> 00:00:22.000]  就和我WhatsApp
[00:00:22.000 --> 00:00:24.000]  見到我這個問安經文
[00:00:24.000 --> 00:00:26.000]  他就說很大挑戰
[00:00:26.000 --> 00:00:29.000]  我心想他當然很擔心
[00:00:29.000 --> 00:00:31.000]  他擔心不止擔心我
[00:00:31.000 --> 00:00:32.000]  他擔心大家
[00:00:32.000 --> 00:00:34.000]  怎樣可以保持清醒
[00:00:34.000 --> 00:00:36.000]  不會睡覺的
[00:00:36.000 --> 00:00:39.000]  既然上帝給
[00:00:39.000 --> 00:00:43.000]  上帝感動我選了經文的時候
[00:00:43.000 --> 00:00:45.000]  當然要找上帝
[00:00:45.000 --> 00:00:47.000]  我們向祂祈禱
[00:00:47.000 --> 00:00:50.000]  求天父幫助我們明白祂的話語
[00:00:50.000 --> 00:00:52.000]  我們一起祈禱
[00:00:52.000 --> 00:00:55.000]  天父我們多謝祢讓我們一起
[00:00:55.000 --> 00:00:58.000]  去敬拜親近祢
[00:00:58.000 --> 00:01:01.000]  天父我們去讀祢話語的時候
[00:01:01.000 --> 00:01:04.000]  我們懇求真祢的聖靈在我們當中幫助我們
[00:01:04.000 --> 00:01:06.000]  主要重言講的是不配
[00:01:06.000 --> 00:01:09.000]  但主要是祢的話語是帶著能力的
[00:01:09.000 --> 00:01:10.000]  就求祢向我們說話
[00:01:10.000 --> 00:01:12.000]  讓我們明白祢的意思
[00:01:12.000 --> 00:01:14.000]  讓講的能夠講得清楚
[00:01:14.000 --> 00:01:15.000]  聽的能夠聽得明白
[00:01:15.000 --> 00:01:17.000]  求天父祢在當中和我們同在
[00:01:17.000 --> 00:01:18.000]  幫助我們
[00:01:18.000 --> 00:01:21.000]  聽我們祈禱奉耶穌基督的聖名
[00:01:25.000 --> 00:01:28.000]  今天講題就是「我們這一家」
[00:01:28.000 --> 00:01:32.000]  我不知道大家聽到這個題目
[00:01:32.000 --> 00:01:34.000]  會想起什麼
[00:01:34.000 --> 00:01:38.000]  會不會想起
[00:01:38.000 --> 00:01:40.000]  「花師奶」呢
[00:01:40.000 --> 00:01:42.000]  「客具一家」
[00:01:42.000 --> 00:01:45.000]  還是我們會想起
[00:01:45.000 --> 00:01:46.000]  「窩伏堂」
[00:01:46.000 --> 00:01:48.000]  我們一班基督徒
