
[00:00:00.000 --> 00:00:03.640]  很久沒有見到有實體的會眾在我面前
[00:00:03.640 --> 00:00:08.780]  弟兄姊妹的存在是很重要
[00:00:08.780 --> 00:00:11.920]  我們都是深存感恩 我們一起禱告
[00:00:11.920 --> 00:00:16.720]  祖上很感謝你今天帶領我們一起回到你的殿裡
[00:00:16.720 --> 00:00:18.400]  同心敬拜
[00:00:18.400 --> 00:00:20.920]  以我們在你的面前
[00:00:20.920 --> 00:00:23.320]  都能夠專注地仰望你
[00:00:23.320 --> 00:00:26.720]  以你的說話為我們學習的對象
[00:00:26.720 --> 00:00:30.900]  放下我們自己 以神為中心
[00:00:30.900 --> 00:00:34.080]  多謝你 祈禱奉耶穌的聖名 阿們
[00:00:34.080 --> 00:00:38.440]  我第一張的照片給大家看
[00:00:38.440 --> 00:00:41.120]  我相信大家都很熟悉的 是吧 是
[00:00:41.120 --> 00:00:43.160]  這是一張很精緻的劇照
[00:00:43.160 --> 00:00:45.560]  相信大家看就知道
[00:00:45.560 --> 00:00:49.080]  是2002年在香港上映的一部港產電影
[00:00:49.080 --> 00:00:52.520]  這部片不單止當年是票房的冠軍
[00:00:52.520 --> 00:00:54.880]  這部戲名《無間道》
[00:00:54.880 --> 00:00:58.640]  更加成為了臥底的一個代名詞
[00:00:58.640 --> 00:01:01.600]  故事是講到警方和黑幫
[00:01:01.600 --> 00:01:05.160]  都分別派臥底潛入對方的陣營
[00:01:05.160 --> 00:01:10.200]  潛入黑社會裡面的警察就很慘
[00:01:10.200 --> 00:01:12.280]  因為身份不見得光
[00:01:12.280 --> 00:01:13.680]  而且是一個黑道人物
[00:01:13.680 --> 00:01:16.400]  沒有人尊重 連女朋友都走了
[00:01:16.400 --> 00:01:19.320]  但在警隊裡面的黑幫臥底就很不同
[00:01:19.320 --> 00:01:22.400]  他有一個執法者的身份
[00:01:22.400 --> 00:01:27.560]  一個非常光明正大的 很正面的形象
[00:01:27.560 --> 00:01:31.040]  加上表現能幹 屢破奇案
[00:01:31.040 --> 00:01:34.920]  逐漸就爬到警隊的高層
[00:01:34.920 --> 00:01:37.520]  其實前途一片光明
[00:01:37.520 --> 00:01:40.600]  但我認為有趣的一幕是什麼呢
[00:01:40.600 --> 00:01:44.080]  就是教人怎樣分辨哪些是警察
[00:01:44.080 --> 00:01:48.440]  就是說凡是表面上做著自己的事
[00:01:48.440 --> 00:01:50.360]  但又當天妄地
[00:01:50.360 --> 00:01:55.040]  其實是監視著你那些 就是警察
[00:01:55.040 --> 00:01:57.840]  但我目的不是跟大家講這套電影
[00:01:57.840 --> 00:02:00.160]  而是在現實生活裡面 事實上
[00:02:00.160 --> 00:02:04.280]  很多人都是被人的身份 形象
[00:02:04.280 --> 00:02:08.320]  所做的事騙了
[00:02:08.320 --> 00:02:11.200]  你以為是 其實不是
[00:02:11.200 --> 00:02:14.720]  這本聖經本來就是要提摩泰警剔
[00:02:14.720 --> 00:02:20.440]  去分辨哪些是潛入信徒群體當中的危險人物
[00:02:20.440 --> 00:02:23.760]  要小心避害
[00:02:23.760 --> 00:02:29.320]  經文一開始其實是第三章的第一節
[00:02:29.320 --> 00:02:30.680]  第三章一開始的時候
[00:02:30.680 --> 00:02:34.640]  其實是一個希臘的原文的第一節
[00:02:34.640 --> 00:02:38.320]  是和修本是好像沒有翻譯出來的
[00:02:38.320 --> 00:02:41.680]  反而在新漢語的本 它用「可視」這個字
[00:02:41.680 --> 00:02:44.360]  「可視」是一個轉接詞
[00:02:44.360 --> 00:02:49.640]  即是對於上文來說是一個轉變 一個扭轉
[00:02:49.640 --> 00:02:52.000]  那上文講什麼呢?
[00:02:52.000 --> 00:02:55.360]  就是提後第二章所講的
[00:02:55.360 --> 00:02:57.280]  就是保羅要奉勸提摩泰
[00:02:57.280 --> 00:03:02.440]  用溫柔勸導反對福音的人
[00:03:02.440 --> 00:03:03.880]  反對真理的人
[00:03:03.880 --> 00:03:06.640]  讓這些人能夠死悟過來
[00:03:06.640 --> 00:03:09.720]  脫離魔鬼的網絡
[00:03:09.720 --> 00:03:14.040]  這個就是保羅在第二章教導
[00:03:14.040 --> 00:03:16.080]  但是到了第三章的時候
[00:03:16.080 --> 00:03:19.800]  接著就說「可視」
[00:03:19.800 --> 00:03:21.360]  什麼意思呢?
[00:03:21.360 --> 00:03:24.640]  就是在講保羅要提醒提摩泰
[00:03:24.640 --> 00:03:28.960]  雖然你是用溫柔勸導這些反對的人
[00:03:28.960 --> 00:03:31.280]  想挽回這些人
[00:03:31.280 --> 00:03:34.280]  但是不一定有用
[00:03:34.280 --> 00:03:36.080]  因為末世的時代
[00:03:36.080 --> 00:03:39.440]  下面所講的第二到第五節就是在講什麼呢?
[00:03:39.440 --> 00:03:44.240]  很多人的人心不是向著上帝
[00:03:44.240 --> 00:03:46.520]  他們抵擋真理
[00:03:46.520 --> 00:03:49.000]  這段日子充斥著叛逆的事
[00:03:49.000 --> 00:03:51.800]  而且這些叛逆的事
[00:03:51.800 --> 00:03:54.760]  接著十三節下面同一章裡面
[00:03:54.760 --> 00:03:56.680]  是講到什麼呢?
[00:03:56.680 --> 00:04:00.480]  只會變本加厲 越來越厲害
[00:04:00.480 --> 00:04:02.640]  所以要有心理準備
[00:04:02.640 --> 00:04:06.120]  末世有艱難的日子
[00:04:06.120 --> 00:04:08.280]  就是這個意思
[00:04:08.280 --> 00:04:10.280]  末世是什麼意思呢?
[00:04:10.280 --> 00:04:12.400]  是不是老遠老遠之後
[00:04:12.400 --> 00:04:14.720]  不知道多少個世代之後的事呢?
[00:04:14.720 --> 00:04:17.360]  其實末世直譯就是最後的日子
[00:04:17.360 --> 00:04:19.880]  最後一段時間的意思
[00:04:19.880 --> 00:04:22.480]  就是在講基督第一次來這個世界
[00:04:22.480 --> 00:04:24.000]  為我們釘死
[00:04:24.000 --> 00:04:28.200]  到第二次來這個世界審判之間
[00:04:28.200 --> 00:04:30.000]  第一次聽已經不是了
[00:04:30.000 --> 00:04:33.120]  那個已然而未然的一段日子
[00:04:33.120 --> 00:04:36.000]  等待主回來的時候就是末世
[00:04:36.000 --> 00:04:39.160]  其實就是保羅和提摩泰的年代
[00:04:39.160 --> 00:04:41.600]  也是我們今天的年代
[00:04:41.600 --> 00:04:43.480]  所以今天所講的東西
[00:04:43.480 --> 00:04:46.120]  是絕對跟我們有關係
[00:04:46.120 --> 00:04:46.840]  但你說不是的
[00:04:46.840 --> 00:04:51.480]  保羅用將來式去講到末世將來有什麼事
[00:04:51.480 --> 00:04:53.680]  但其實這個都不意味著
[00:04:53.680 --> 00:04:55.960]  這些只是跟將來老遠有關的東西
[00:04:55.960 --> 00:05:00.400]  因為新約的作者往往是用一些預言的口吻
[00:05:00.400 --> 00:05:04.240]  去講現在發生的事
[00:05:04.240 --> 00:05:05.960]  而且有警告性的
[00:05:05.960 --> 00:05:07.600]  又或者表達一些將來的事
[00:05:07.600 --> 00:05:10.600]  但是現在已經開始了
[00:05:10.600 --> 00:05:13.240]  所謂的present age as the last days
[00:05:13.240 --> 00:05:17.560]  就是在講這個東西
[00:05:17.560 --> 00:05:22.600]  關於末世其實保羅不單止在這一章裡面去講
[00:05:22.600 --> 00:05:24.240]  如果大家記得
[00:05:24.240 --> 00:05:28.000]  其實我記得都是我講的那段經文
[00:05:28.000 --> 00:05:30.360]  提前四章的時候
[00:05:30.360 --> 00:05:33.000]  保羅都說聖靈也都很清楚提醒我們
[00:05:33.000 --> 00:05:34.800]  很明明地講
[00:05:34.800 --> 00:05:38.400]  在末後日子一定有人離棄信仰
[00:05:38.400 --> 00:05:38.960]  做什麼呢
[00:05:38.960 --> 00:05:44.400]  他聽了那些誘惑人的邪靈和鬼魔的教訓
[00:05:44.400 --> 00:05:47.240]  真事不聽 喜歡聽假的
[00:05:47.240 --> 00:05:50.200]  還有聽那些殺荒者的假夢
[00:05:50.200 --> 00:05:51.600]  接著就說什麼呢
[00:05:51.600 --> 00:05:53.280]  就是禁戒食物
[00:05:53.280 --> 00:05:57.160]  禁止嫁娶 大家還不知道記不記得
[00:05:57.160 --> 00:06:01.880]  其實這些東西的追求不一定是壞的
[00:06:01.880 --> 00:06:04.600]  因為那些人想追求聖潔而已
[00:06:04.600 --> 00:06:07.520]  但是殺荒者告訴你
[00:06:07.520 --> 00:06:11.520]  禁止嫁娶 禁戒食物
[00:06:11.520 --> 00:06:14.480]  這些就是追求聖潔的方法
[00:06:14.480 --> 00:06:16.200]  但是保羅說不是
[00:06:16.200 --> 00:06:21.240]  是因為神的話和人的祈禱成為聖潔
[00:06:21.240 --> 00:06:22.680]  不是用旁門左道
[00:06:22.680 --> 00:06:26.680]  用人想出來的方法
[00:06:26.680 --> 00:06:31.000]  提摩泰是要認清在這個末世的現實
[00:06:31.000 --> 00:06:32.560]  什麼現實
[00:06:32.560 --> 00:06:36.920]  信徒一定會面對很多的困難和挑戰
[00:06:36.920 --> 00:06:40.040]  還有就是這些處境不斷地出現
[00:06:40.040 --> 00:06:42.320]  意味著一件事就是
[00:06:42.320 --> 00:06:45.560]  末後的日子 應該這麼說
[00:06:45.560 --> 00:06:48.480]  提摩泰等人和我們一樣
[00:06:48.480 --> 00:06:52.320]  都會面對一場凶險的屬靈戰爭
[00:06:52.320 --> 00:06:56.720]  所以看到在提摩泰前後輸的時候
