
[00:00:00.000 --> 00:00:02.760]  今天跟大家分享的題目是
[00:00:02.760 --> 00:00:06.600]  《有人福音》神蹟系列的第五講
[00:00:06.600 --> 00:00:08.360]  耶穌李海裡面
[00:00:08.360 --> 00:00:09.920]  我們的講題是
[00:00:09.920 --> 00:00:11.800]  「有主不怕」
[00:00:11.800 --> 00:00:14.080]  其實耶穌這次的
[00:00:14.080 --> 00:00:16.080]  神蹟 施行的神蹟
[00:00:16.080 --> 00:00:19.640]  對象其實只有門徒
[00:00:19.640 --> 00:00:21.720]  所以基本上可以說
[00:00:21.720 --> 00:00:23.880]  這次是私人的教授
[00:00:23.880 --> 00:00:25.720]  也都可以好像耶穌
[00:00:25.720 --> 00:00:27.360]  在無人的時候
[00:00:27.360 --> 00:00:28.680]  再一次解釋
[00:00:28.680 --> 00:00:29.840]  深入剖析
[00:00:29.840 --> 00:00:30.880]  比喻一樣
[00:00:30.880 --> 00:00:32.080]  經文選字
[00:00:32.080 --> 00:00:35.440]  《有人福音》六章十六至廿一節
[00:00:35.440 --> 00:00:37.760]  聖經其他另外兩卷聖經
[00:00:37.760 --> 00:00:39.200]  《馬太》和《馬可》
[00:00:39.200 --> 00:00:41.760]  都有這個平衡的記載
[00:00:41.760 --> 00:00:43.400]  我們可以互相參照
[00:00:43.400 --> 00:00:46.480]  對觀還原事件的情節
[00:00:46.480 --> 00:00:47.800]  不過請留意
[00:00:47.800 --> 00:00:49.840]  特別是我們應該成長班
[00:00:49.840 --> 00:00:51.840]  最近《查引經》
[00:00:51.840 --> 00:00:52.920]  第五課
[00:00:52.920 --> 00:00:54.360]  剛剛就是
[00:00:54.360 --> 00:00:56.600]  耶穌李海裡面的經文
[00:00:56.600 --> 00:00:58.240]  但是所以請你留意
[00:00:58.240 --> 00:01:00.000]  其實不同作者的
[00:01:00.000 --> 00:01:01.720]  敘事目標不同
[00:01:01.720 --> 00:01:03.280]  他的取材
[00:01:03.280 --> 00:01:05.560]  切入點都不同
[00:01:05.560 --> 00:01:07.440]  用詞也都有異
[00:01:07.440 --> 00:01:09.040]  所以今天的釋經
[00:01:09.040 --> 00:01:10.520]  和你的《查經》
[00:01:10.520 --> 00:01:13.160]  可能有不同都不一定
[00:01:13.160 --> 00:01:15.120]  所以請你特別留意
[00:01:15.120 --> 00:01:18.320]  千萬不要照紙搬字
[00:01:18.320 --> 00:01:20.120]  好 那很快我們說
[00:01:20.120 --> 00:01:25.160]  《讓福音》
