
[00:00:00.000 --> 00:00:02.000]  今天要講到的經文是
[00:00:02.000 --> 00:00:04.800]  《羅馬書》十二章一至二節
[00:00:04.800 --> 00:00:06.800]  兩節,很短的聖經
[00:00:06.800 --> 00:00:09.800]  原本講這段經文的是Pastor Fanny
[00:00:09.800 --> 00:00:11.800]  因為他要去旅行
[00:00:11.800 --> 00:00:13.200]  所以他跟我調
[00:00:13.200 --> 00:00:15.200]  我原本是講他上星期那篇的
[00:00:15.200 --> 00:00:18.000]  我一收到這個命令的時候
[00:00:18.000 --> 00:00:20.000]  便逐一講我的反應
[00:00:20.000 --> 00:00:22.200]  因為這段經文對我來說很重要
[00:00:22.200 --> 00:00:23.800]  有什麼重要呢?
[00:00:23.800 --> 00:00:27.800]  這段經文是我人生第一段懂得背的經文
[00:00:27.800 --> 00:00:30.200]  1990年當我信主的時候
[00:00:30.200 --> 00:00:32.200]  回教會的團契
[00:00:32.200 --> 00:00:35.200]  他的團訓就是《羅馬書》十二章一至
[00:00:35.200 --> 00:00:39.000]  第二,這段經文對我很重要的就是
[00:00:39.000 --> 00:00:42.600]  我想問你們中間有多少個結了婚的弟兄姊妹?
[00:00:42.600 --> 00:00:43.600]  舉舉手,可以嗎?
[00:00:43.600 --> 00:00:44.600]  揚一揚
[00:00:44.600 --> 00:00:45.600]  很多都結了婚
[00:00:45.600 --> 00:00:47.600]  有沒有帶結婚戒指?
[00:00:47.600 --> 00:00:51.600]  有些就說不見了,可能是吧?
[00:00:51.600 --> 00:00:55.600]  在結婚戒指裡面你通常會寫什麼?
[00:00:55.600 --> 00:00:58.600]  寫名字,寫日期
[00:00:58.600 --> 00:01:02.600]  通常你會寫另一半的名字和結婚日期
[00:01:02.600 --> 00:01:05.600]  八年前,我記錯了
[00:01:05.600 --> 00:01:07.600]  我太太不在
[00:01:07.600 --> 00:01:09.600]  八年前當我們準備結婚的時候
[00:01:09.600 --> 00:01:10.600]  我跟太太說
[00:01:10.600 --> 00:01:12.600]  不如我們創新一點
[00:01:12.600 --> 00:01:15.600]  不如我們想別的東西寫下去
[00:01:15.600 --> 00:01:16.600]  寫什麼呢?
[00:01:16.600 --> 00:01:20.600]  不如每人送一節經文給對方
[00:01:20.600 --> 00:01:22.600]  我送給我太太的經文
[00:01:22.600 --> 00:01:27.600]  是《馬太福音》九章三十五至三十八節
[00:01:27.600 --> 00:01:29.600]  不是刻了整段經文
[00:01:29.600 --> 00:01:30.600]  只是刻了章節
[00:01:30.600 --> 00:01:32.600]  如果刻了整段經文
[00:01:32.600 --> 00:01:35.600]  刻的費用應該比戒指貴
[00:01:35.600 --> 00:01:37.600]  我太太送給我的
[00:01:37.600 --> 00:01:40.600]  《羅馬書》十二章一至二節
[00:01:40.600 --> 00:01:43.600]  所以這段經文對我來說很重要
[00:01:43.600 --> 00:01:46.600]  為什麼要說這段經文?
[00:01:46.600 --> 00:01:48.600]  第一,因為已經安排了
[00:01:48.600 --> 00:01:50.600]  訂了一個題目叫做
[00:01:50.600 --> 00:01:54.600]  《得救之後》
[00:01:54.600 --> 00:01:59.600]  《羅馬書》頭十一章不停說的題目是
[00:01:59.600 --> 00:02:00.600]  「恩順清兒」
[00:02:00.600 --> 00:02:03.600]  無論你是希伯來人也好
[00:02:03.600 --> 00:02:04.600]  猶太人也好
[00:02:04.600 --> 00:02:06.600]  外邦人也好
[00:02:06.600 --> 00:02:08.600]  我們都是「恩順清兒」
[00:02:08.600 --> 00:02:09.600]  就像一個嬰兒
[00:02:09.600 --> 00:02:12.600]  恩順,你得了福音
[00:02:12.600 --> 00:02:14.600]  那怎麼辦呢?
[00:02:14.600 --> 00:02:17.600]  《羅馬書》十二章是說
[00:02:17.600 --> 00:02:19.600]  我們生完孩子之後
[00:02:19.600 --> 00:02:22.600]  我們屬靈生命應該怎樣成長
[00:02:22.600 --> 00:02:25.600]  讓我們帶著這個心態進入今天的講道
[00:02:25.600 --> 00:02:28.600]  讓我們低頭祈禱,好嗎?
[00:02:28.600 --> 00:02:29.600]  主,多謝祢
[00:02:29.600 --> 00:02:31.600]  祢讓我們有機會去讀《羅馬書》
[00:02:31.600 --> 00:02:33.600]  一本很不容易的書
[00:02:33.600 --> 00:02:37.600]  但卻是一本對我們信仰很有意義的書
[00:02:37.600 --> 00:02:40.600]  主,求祢與我們同在,幫助我們
[00:02:40.600 --> 00:02:43.600]  讓我們在這段經文可以多點默想
[00:02:43.600 --> 00:02:45.600]  多點反省自己的生命
