
[00:00:00.000 --> 00:00:04.360]  很高興能夠和大家繼續思想聖經神的話語
[00:00:04.360 --> 00:00:10.100]  大家看到讀經那裏寫著
[00:00:10.100 --> 00:00:14.440]  「出教會之推,推拉教會」有個四字
[00:00:14.440 --> 00:00:19.140]  即是說今天是第四次去講這個教會
[00:00:19.140 --> 00:00:23.040]  即是用了三次的主日崇拜和大家去分享
[00:00:23.040 --> 00:00:24.560]  但都未講完
[00:00:24.560 --> 00:00:30.060]  我想很多人都已經是忘記了之前講的東西
[00:00:30.060 --> 00:00:34.440]  連我自己都不會很記得
[00:00:34.440 --> 00:00:36.440]  不過不要緊的
[00:00:36.440 --> 00:00:38.620]  你可以上網聽
[00:00:38.620 --> 00:00:42.520]  我之前是派了一些筆記
[00:00:42.520 --> 00:00:45.100]  你可以溫習一下
[00:00:45.100 --> 00:00:48.740]  因為實在七個的教會
[00:00:48.740 --> 00:00:51.820]  不要說要記得裏面的內容
[00:00:51.820 --> 00:00:56.220]  我叫大家去數到七個教會都有少少難度
[00:00:56.220 --> 00:00:57.760]  我是記得的
[00:00:57.760 --> 00:01:00.220]  但間中我又會忘記
[00:01:00.220 --> 00:01:02.460]  這些就是這樣
[00:01:02.460 --> 00:01:07.560]  到某個程度你要接受自己是有一種情況
[00:01:07.560 --> 00:01:10.000]  記不記得七個教會第一個教會是甚麼
[00:01:10.000 --> 00:01:12.000]  大聲講
[00:01:12.000 --> 00:01:13.000]  沒有聲音
[00:01:13.000 --> 00:01:14.440]  即是沒有人知道
[00:01:14.440 --> 00:01:16.940]  已忽所教會
[00:01:16.940 --> 00:01:19.580]  第二個教會
[00:01:19.580 --> 00:01:21.160]  又沒有人講話
[00:01:21.160 --> 00:01:22.860]  因為你們沒有咪高峰
[00:01:22.860 --> 00:01:23.980]  又不敢大聲叫
[00:01:23.980 --> 00:01:25.980]  是仕美娜教會
[00:01:25.980 --> 00:01:27.580]  第三個教會是甚麼
[00:01:27.580 --> 00:01:28.580]  是別加摩
[00:01:28.580 --> 00:01:31.040]  第四個就是推亞推拉
[00:01:31.040 --> 00:01:34.720]  然後到第五個教會又來一個S
[00:01:34.720 --> 00:01:36.180]  就是薩迪教會
[00:01:36.180 --> 00:01:38.180]  然後又來一次的P
[00:01:38.180 --> 00:01:40.680]  就是叫做菲拉鐵飛
[00:01:40.680 --> 00:01:44.140]  最後一個就是魯底加的教會
[00:01:44.140 --> 00:01:47.100]  很多時候和別人分享
[00:01:47.100 --> 00:01:49.100]  我現在講啟示錄
[00:01:49.100 --> 00:01:52.940]  有些弟兄姊妹說我都聽過啟示錄
[00:01:52.940 --> 00:01:54.940]  不過我在教會聽
[00:01:54.940 --> 00:01:57.280]  講完七個教會就不講了
[00:01:57.280 --> 00:01:59.640]  根本就原諒我是
[00:01:59.640 --> 00:02:05.220]  因為啟示錄是一卷很難度高的經卷
[00:02:05.220 --> 00:02:07.940]  所以很多人看到這麼上下
[00:02:07.940 --> 00:02:09.600]  就說太過恐怖了
[00:02:09.600 --> 00:02:11.260]  心驚膽跳
[00:02:11.260 --> 00:02:12.260]  就不看了
[00:02:12.260 --> 00:02:14.260]  你說自己看而已
[00:02:14.260 --> 00:02:16.260]  看完還要去講解
[00:02:16.260 --> 00:02:18.840]  難度是更加大的
[00:02:18.840 --> 00:02:20.380]  所以我不敢快
[00:02:20.380 --> 00:02:23.280]  所以為甚麼講一個教會都要講這麼久
[00:02:23.280 --> 00:02:26.580]  就是我要慢慢自己去做研究
[00:02:26.580 --> 00:02:29.600]  然後才和大家分享
[00:02:29.600 --> 00:02:33.460]  剛才大家已經溫習了一次
[00:02:33.460 --> 00:02:35.720]  其實這次你們第四次讀了
[00:02:35.720 --> 00:02:37.140]  因為第四次講了
[00:02:37.140 --> 00:02:40.340]  溫習了一點有些印象了
[00:02:40.340 --> 00:02:44.060]  推亞推拉教會由第二章18至29節裏面
[00:02:44.060 --> 00:02:45.820]  其實有一個很特別的地方
[00:02:45.820 --> 00:02:47.820]  就是推亞推拉這個教會
[00:02:47.820 --> 00:02:52.220]  和爾弗所這個教會原來有一個很大的對比
[00:02:52.220 --> 00:02:56.520]  爾弗所教會有甚麼很特別的地方呢
[00:02:56.520 --> 00:03:01.980]  很特別的地方是有最猛最猛的牧者在裏面
[00:03:01.980 --> 00:03:04.780]  你說鬼我聽過有猛
[00:03:04.780 --> 00:03:06.360]  甚麼牧者都有猛的嗎
[00:03:06.360 --> 00:03:08.360]  當然不是講我自己
[00:03:08.360 --> 00:03:12.620]  我講的就是昔日推亞推拉的教會
[00:03:12.620 --> 00:03:17.420]  一會兒我去馬鞍山堂講就講爾弗所教會
[00:03:17.420 --> 00:03:20.360]  所以你們看看石門祖堂是最快的
[00:03:20.360 --> 00:03:23.880]  已經來到推亞推拉教會第四個教會
[00:03:23.880 --> 00:03:25.400]  還講第四次
[00:03:25.400 --> 00:03:28.940]  一會兒去馬鞍山堂是第一次講爾弗所
[00:03:28.940 --> 00:03:31.060]  所以他們有段時間都未跟得上你們
[00:03:31.060 --> 00:03:33.060]  對不對
[00:03:33.060 --> 00:03:36.400]  我又再一次溫習爾弗所教會
[00:03:36.400 --> 00:03:39.340]  其實這個推亞推拉教會和爾弗所教會
[00:03:39.340 --> 00:03:41.500]  有真是天淵之別的
[00:03:41.500 --> 00:03:46.120]  因為在爾弗所教會有最猛的牧者在裏面
[00:03:46.120 --> 00:03:47.580]  我想問一下你
[00:03:47.580 --> 00:03:49.580]  保羅猛不猛
[00:03:49.580 --> 00:03:51.580]  阿波羅猛不猛
[00:03:51.580 --> 00:03:52.980]  阿波羅是誰來的
[00:03:52.980 --> 00:03:54.360]  這個很厲害
[00:03:54.360 --> 00:03:56.360]  接著還有提摩泰
[00:03:56.360 --> 00:03:57.800]  厲害不厲害
[00:03:57.800 --> 00:04:01.580]  還有這三個都是厲害的
[00:04:01.580 --> 00:04:04.300]  但有一個講出來你們會驚訝的
[00:04:04.300 --> 00:04:05.100]  是誰
[00:04:05.100 --> 00:04:06.600]  若翰
[00:04:06.600 --> 00:04:08.360]  使徒若翰
[00:04:08.360 --> 00:04:12.060]  就是寫若翰福音和啟示錄的若翰
[00:04:12.060 --> 00:04:14.060]  是不是很厲害
[00:04:14.060 --> 00:04:17.440]  除了這四個猛人之外還有一對夫婦
[00:04:17.440 --> 00:04:20.520]  我經常不知為何講來講去都不記得這對夫婦
[00:04:20.520 --> 00:04:22.520]  一個應該叫阿基拉
[00:04:22.520 --> 00:04:24.520]  一個叫阿居拉
[00:04:24.520 --> 00:04:28.520]  我經常都不記得這對夫婦的名字
[00:04:28.520 --> 00:04:30.920]  總而言之這對夫婦是很厲害的
[00:04:30.920 --> 00:04:32.420]  厲害到怎樣
[00:04:32.420 --> 00:04:36.420]  厲害到他要拉阿波羅
[00:04:36.420 --> 00:04:37.920]  拉阿波羅過來
[00:04:37.920 --> 00:04:40.520]  有些事我要提點一下你
[00:04:40.520 --> 00:04:41.660]  厲害不厲害
[00:04:41.660 --> 00:04:44.940]  他將一個對聖經很熟悉的阿波羅
[00:04:44.940 --> 00:04:47.720]  聖經形容這個阿波羅是有熱心
[00:04:47.720 --> 00:04:49.000]  又有口才
