
[00:00:00.000 --> 00:00:06.320]  不知道大家看到題目的時候有什麼感覺呢
[00:00:06.320 --> 00:00:10.920]  這個題目其實我想很多中國人很不喜歡講的
[00:00:10.920 --> 00:00:12.480]  我叫「避諱」
[00:00:12.480 --> 00:00:15.120]  是中國人不喜歡聽的題目
[00:00:15.120 --> 00:00:15.920]  為什麼呢?
[00:00:15.920 --> 00:00:17.200]  人人都要死一次
[00:00:17.200 --> 00:00:18.400]  鬼不知道什麼
[00:00:18.400 --> 00:00:23.000]  但是很多時候不想聽又不想講
[00:00:23.000 --> 00:00:24.560]  我們不會否認這個事實
[00:00:24.560 --> 00:00:28.200]  但是一說到死的時候
[00:00:28.200 --> 00:00:30.800]  好像太多的「不知」
[00:00:30.800 --> 00:00:32.960]  太多我們不知道的東西在當中
[00:00:32.960 --> 00:00:35.040]  所以有時候我們都有點懼怕
[00:00:35.040 --> 00:00:36.680]  你不知道的東西就會害怕
[00:00:36.680 --> 00:00:37.880]  不知道是什麼事發生
[00:00:37.880 --> 00:00:39.560]  我們會很害怕
[00:00:39.560 --> 00:00:41.160]  我相信我們在座裡面
[00:00:41.160 --> 00:00:43.840]  就算你沒有親眼見過一個人死
[00:00:43.840 --> 00:00:45.760]  那個時刻是怎麼樣
[00:00:45.760 --> 00:00:49.880]  我相信我們大家都會參加過喪禮
[00:00:49.880 --> 00:00:52.040]  或者安息禮拜
[00:00:52.040 --> 00:00:55.560]  所以當我有時候會想到一個人
[00:00:55.560 --> 00:00:57.240]  不知道去哪裡或者什麼
[00:00:57.240 --> 00:00:59.200]  看你信不信神
[00:00:59.200 --> 00:01:01.600]  但是今天你坐在這裡
[00:01:01.600 --> 00:01:03.640]  無論你信不信上帝都好
[00:01:03.640 --> 00:01:05.600]  當你聽到這個題目
[00:01:05.600 --> 00:01:09.120]  人人都要死一次
[00:01:09.120 --> 00:01:11.000]  你心裡面又不知道會不會痴痴然
[00:01:11.000 --> 00:01:13.600]  有一些不太自在的感覺呢
[00:01:13.600 --> 00:01:16.560]  因為你覺得「邪死了,無所謂了」
[00:01:16.560 --> 00:01:17.960]  我不知道是哪一種
[00:01:17.960 --> 00:01:21.000]  其實人們的反應在面對死亡的時候
[00:01:21.000 --> 00:01:23.080]  有很多不同的反應
[00:01:23.080 --> 00:01:25.520]  問題就是我們信耶穌
