
[00:00:00.000 --> 00:00:10.160]  那個調查的題目就是你最後悔的問題是什麼
[00:00:10.160 --> 00:00:15.920]  他就列了十多項生活中最容易後悔的事給調查的人去選擇
[00:00:15.920 --> 00:00:21.240]  他就列了十多項生活中最後悔的事情給那些被調查的人
[00:00:21.240 --> 00:00:24.160]  結果就出現了一些這樣的結果
[00:00:24.160 --> 00:00:26.240]  結果就出現了一些結果
[00:00:26.240 --> 00:00:29.840]  有72%的人後悔年輕的時候不夠努力
[00:00:29.840 --> 00:00:30.960]  以致一事無成
[00:00:30.960 --> 00:00:35.360]  有72%的人後悔年輕的時候不夠努力
[00:00:35.360 --> 00:00:36.600]  以致一事無成
[00:00:36.600 --> 00:00:42.160]  有67%後悔年輕的時候選擇了錯誤的職業
[00:00:42.160 --> 00:00:47.520]  有67%後悔年輕的時候選擇了錯的職業
[00:00:47.520 --> 00:00:53.040]  其實應該說錯誤是選擇了什麼職業
[00:00:53.040 --> 00:00:55.600]  其實不是說他錯誤選擇了什麼職業
[00:00:55.600 --> 00:00:59.800]  而是他選擇了安穩而沒有讓自己突破
[00:00:59.800 --> 00:01:03.960]  而是他選擇了安穩而沒有讓自己突破
[00:01:03.960 --> 00:01:09.680]  有63%的人後悔在子女的教育做得不好或者不夠恰當
[00:01:09.680 --> 00:01:15.680]  有63%的人後悔自己在兒女教育方面做得不好或者不恰當
[00:01:15.680 --> 00:01:20.000]  有58%的人後悔自己沒有好好鍛鍊自己的身體
[00:01:20.000 --> 00:01:23.400]  有58%的人後悔自己沒有好好鍛鍊自己的身體
[00:01:23.400 --> 00:01:28.000]  最有趣的原來後悔自己沒有剩太多錢只有11%
[00:01:28.000 --> 00:01:32.360]  最有趣的就是自己沒有剩下太多的人只有11%
[00:01:32.360 --> 00:01:34.000]  我不知道你的後悔是什麼
[00:01:34.000 --> 00:01:35.600]  我不知道大家的後悔是什麼
[00:01:35.600 --> 00:01:39.440]  有一個人醫生診斷告訴他患上絕症
[00:01:39.440 --> 00:01:42.680]  有一個人醫生診斷他患上了絕症
[00:01:42.680 --> 00:01:44.480]  他說你最多可以活三年
[00:01:44.480 --> 00:01:46.200]  醫生跟他說你最多可以活三年
[00:01:46.200 --> 00:01:48.720]  那你想一想反正人生剩下三年
[00:01:48.720 --> 00:01:51.400]  那他想一想反正人生就剩下三年
[00:01:51.400 --> 00:01:54.720]  我要好好的去善用
[00:01:54.720 --> 00:02:00.240]  我不想在人生最後關頭最後我都是後悔
[00:02:00.240 --> 00:02:02.880]  所以他定了一個目標
[00:02:02.880 --> 00:02:06.200]  三年之內我寫好一本書
[00:02:06.200 --> 00:02:11.400]  我學一門另一個國家的語言
[00:02:11.400 --> 00:02:17.360]  我要游歷30座世界的名山
[00:02:17.360 --> 00:02:22.120]  我要看50個著名的城市
[00:02:22.120 --> 00:02:26.080]  因為時間不多他就馬上行動
[00:02:26.080 --> 00:02:29.320]  所以過年兩年零八個月
[00:02:29.320 --> 00:02:33.480]  他完成了自己定下所有的項目
[00:02:33.480 --> 00:02:36.440]  再回到醫院覆診的時候
[00:02:36.440 --> 00:02:43.120]  醫生就跟他道歉當時拿錯了病歷卡
[00:02:43.120 --> 00:02:47.120]  有人這樣形容後悔
[00:02:47.120 --> 00:02:53.240]  後悔是一種最負能量的情緒
[00:02:53.240 --> 00:02:59.520]  難怪有人說我們為昨日已過的事情後悔
[00:02:59.520 --> 00:03:05.840]  我們又為未來要發生的事情憂慮
[00:03:05.840 --> 00:03:10.280]  結果今天的事情沒有時間去做
[00:03:10.280 --> 00:03:18.280]  《耶華》第二次臨到越南
[00:03:18.280 --> 00:03:21.920]  一開始用了三個動詞
[00:03:21.920 --> 00:03:26.120]  「起來」、「往」和「宣告」
[00:03:26.120 --> 00:03:35.840]  作者第三章一開始用了很高超的文學表達手法
[00:03:35.840 --> 00:03:39.560]  用了一種懸疑的效果
[00:03:39.560 --> 00:03:48.840]  讓讀者猜測這次若拿聽應神的呼召有什麼反應
[00:03:48.840 --> 00:03:52.280]  會不會再在那裏耍個性
[00:03:52.280 --> 00:03:55.040]  會不會再次逃亡
[00:03:55.040 --> 00:03:58.120]  如果要逃亡又逃到那裏去
[00:03:58.120 --> 00:04:03.080]  如果他要跟神鬥氣又用什麼招數
[00:04:03.080 --> 00:04:10.960]  所以作者將讀者帶入那種尋根究底的效果裏面
[00:04:10.960 --> 00:04:15.800]  所以作者就把讀者帶入那個尋根到底的狀況裏面
[00:04:15.800 --> 00:04:18.840]  大家都很想知道下一步若拿會採取什麼行動
[00:04:18.840 --> 00:04:22.080]  大家都想知道下一步越南要採取什麼行動
[00:04:22.080 --> 00:04:24.360]  緊接著就是今天早上我們讀的經文
[00:04:24.360 --> 00:04:26.360]  今天介紹我們讀的經文
[00:04:26.360 --> 00:04:35.920]  若拿便召耶華的話起來往尼尼尾城去了
[00:04:35.920 --> 00:04:39.360]  大家以為鬆了一口氣了
[00:04:39.360 --> 00:04:45.720]  誰不知事情又有一個峰迴路轉的發展
[00:04:45.720 --> 00:04:50.560]  我們仔細去對比第一章和第三章的經文結構是非常相似
[00:04:50.560 --> 00:04:56.000]  我們仔細對比一下第一章和第三章的經文非常相似
[00:04:56.000 --> 00:04:59.560]  首先在神的呼召臨到若拿
[00:04:59.560 --> 00:05:02.360]  首先就是上帝的呼召臨到若拿
[00:05:02.360 --> 00:05:04.200]  然後就是若拿的回應
[00:05:04.200 --> 00:05:05.320]  之後若拿的回應
[00:05:05.320 --> 00:05:07.320]  大家留意第一章是逃跑
[00:05:07.320 --> 00:05:08.920]  你留意第一章是逃跑
[00:05:08.920 --> 00:05:11.000]  第三章是表面馴服
[00:05:11.000 --> 00:05:12.760]  第三章是表面馴服
[00:05:12.760 --> 00:05:15.040]  接著不同的人物會出現
[00:05:15.040 --> 00:05:17.120]  之後不同的人物出現了
[00:05:17.120 --> 00:05:19.800]  第一章是出現水手和船主
[00:05:19.800 --> 00:05:22.480]  第一章是出現水手和船主
[00:05:22.480 --> 00:05:25.640]  第三章是出現尼尼尾王和全國的人物
[00:05:25.640 --> 00:05:29.760]  第三章是出現尼尼尾王和全國的人物
[00:05:29.760 --> 00:05:33.520]  然後最後他們找到逃避災難的方法
[00:05:33.520 --> 00:05:36.280]  最後他們找到逃避災難的方法
[00:05:36.280 --> 00:05:38.400]  以救贖作為結束
[00:05:38.400 --> 00:05:41.400]  以救贖作為結束
[00:05:41.400 --> 00:05:44.480]  所以如果按照以上發展的模式
[00:05:44.480 --> 00:05:46.360]  所以按照以上發展的模式
[00:05:46.360 --> 00:05:52.000]  第三章的四至十節可以歸納三個階段的發展
[00:05:52.000 --> 00:05:57.600]  第三章的四至十節可以歸納三個階段的發展
[00:05:57.600 --> 00:06:00.800]  第一是災禍的威脅
[00:06:00.800 --> 00:06:02.920]  第一個是災禍的威脅
[00:06:02.920 --> 00:06:04.600]  然後有悔改的行動
[00:06:04.600 --> 00:06:06.120]  之後有悔改的行動
[00:06:06.120 --> 00:06:08.320]  最後是上帝救贖的臨在
[00:06:08.320 --> 00:06:10.520]  之後是上帝救贖的臨在
[00:06:10.520 --> 00:06:15.520]  其實這個模式不斷在舊約裏重複出現
[00:06:15.520 --> 00:06:18.720]  其實這種模式是不斷在舊約裏重複出現
[00:06:18.720 --> 00:06:22.000]  比如《耶利米蘇》第十八章七至八節
[00:06:22.000 --> 00:06:27.520]  比如《耶利米蘇》第十八章七至八節提到
[00:06:27.520 --> 00:06:33.960]  我何時論到一邦或一國說要拔出、拆毀、毀壞
[00:06:33.960 --> 00:06:38.400]  若是轉移離開他們的惡,我必後悔
[00:06:38.400 --> 00:06:42.080]  不將我想要施行的災禍降以他們
[00:06:42.080 --> 00:06:45.440]  如果我們對比《耶利米蘇》十八章
[00:06:45.440 --> 00:06:48.760]  如果我們對比《耶利米蘇》十八章
[00:06:48.760 --> 00:06:55.400]  其實上帝對人的處理方法是很一致的
[00:06:55.400 --> 00:06:58.440]  其實上帝對人的處理方法是很一致的
