
[00:00:00.000 --> 00:00:02.000]  (主席)提卿姐妹早晨
[00:00:02.000 --> 00:00:07.000]  我們剛才的經文主席都提過
[00:00:07.000 --> 00:00:11.000]  我們六月開始我們是在二佛所書裏面
[00:00:11.000 --> 00:00:13.000]  大家一齊學習
[00:00:13.000 --> 00:00:16.000]  按著我們教會的主題
[00:00:16.000 --> 00:00:19.000]  再次提醒大家
[00:00:19.000 --> 00:00:23.000]  在基督裏同心前行
[00:00:23.000 --> 00:00:28.000]  我們今天就開始二佛所書四次的學習
[00:00:28.000 --> 00:00:30.000]  我們再次一起祈禱
[00:00:30.000 --> 00:00:32.000]  多謝我們全能的天父
[00:00:32.000 --> 00:00:36.000]  我們在這裏學習你的心意
[00:00:36.000 --> 00:00:37.000]  你的話語
[00:00:37.000 --> 00:00:40.000]  學習你給我們的使命
[00:00:40.000 --> 00:00:43.000]  我們在世上怎樣去履行
[00:00:43.000 --> 00:00:45.000]  怎樣去遵從
[00:00:45.000 --> 00:00:49.000]  亦使我們的生命更加豐盛
[00:00:49.000 --> 00:00:51.000]  按著你的旨意
[00:00:51.000 --> 00:00:55.000]  我們參與你的救恩計劃
[00:00:55.000 --> 00:01:03.000]  亦都能夠享有你的永恆的天國的各種屬靈的福氣
[00:01:03.000 --> 00:01:06.000]  求聖靈繼續今日教導我們
[00:01:06.000 --> 00:01:09.000]  禱告奉耶穌的名 阿們
[00:01:09.000 --> 00:01:14.000]  剛才開始崇拜之前
[00:01:14.000 --> 00:01:18.000]  各團導跟我說
[00:01:18.000 --> 00:01:25.000]  牧土的內容就是今日講道經文的內容
[00:01:25.000 --> 00:01:29.000]  所以祈禱的時候已經講完了
[00:01:29.000 --> 00:01:37.000]  可以繼續講也可以不用講
[00:01:37.000 --> 00:01:43.000]  大家可以早些結束講道
[00:01:43.000 --> 00:01:46.000]  有時間唱回應詩歌
[00:01:46.000 --> 00:01:49.000]  多唱幾次聖餐的時候
[00:01:49.000 --> 00:01:55.000]  可以有時間去默想自己禱告
