
[00:00:00.000 --> 00:00:02.000]  我们一起来祷告
[00:00:02.000 --> 00:00:07.000]  主啊,今天求祢再次按照祢的丰富来纪念我们
[00:00:07.000 --> 00:00:13.000]  纪念我们肉身的需要,也纪念我们心灵中的一切的需要
[00:00:13.000 --> 00:00:18.000]  我们有信主的,我们也有当中还没有信主的
[00:00:18.000 --> 00:00:24.000]  我们对神有一些有把握的,有一些对神的应许没有把握的
[00:00:24.000 --> 00:00:29.000]  有一些正在喜乐的当中,有一些正在忧愁的里面
[00:00:29.000 --> 00:00:31.000]  主啊,求祢在当中纪念我们
[00:00:31.000 --> 00:00:35.000]  用祢的慈爱好像江河的水一样来充满我们
[00:00:35.000 --> 00:00:38.000]  主祢说过我们的生活就是这样
[00:00:38.000 --> 00:00:44.000]  我们往往在那一个空虚的日子当中需要主祢自己亲自的填满
[00:00:44.000 --> 00:00:48.000]  然而我们更知道在我们与祢的关系当中
[00:00:48.000 --> 00:00:53.000]  我们好像一个破的渗在水的器皿一样
[00:00:53.000 --> 00:00:59.000]  我们常常都晓得祢,但是不常经历主的慈爱
[00:00:59.000 --> 00:01:04.000]  常常都认识祢,但是不在认识的当中经历祢的丰富
[00:01:04.000 --> 00:01:09.000]  愿主祢纪念我们,纪念我们在肉身、属灵中一切的需要
[00:01:09.000 --> 00:01:13.000]  好教祢的话语再次填满我们心灵一切的空间
[00:01:13.000 --> 00:01:17.000]  主啊,世上真的没有一个再让我们能够依靠的
[00:01:17.000 --> 00:01:22.000]  乃是主单一的名字,我们的救主耶稣基督
[00:01:22.000 --> 00:01:25.000]  被挂在木头石架上的主耶稣基督
[00:01:25.000 --> 00:01:29.000]  才是我们生命一切的盼望跟根源
[00:01:29.000 --> 00:01:33.000]  主啊,帮助我们,让我们在这个七月份的时候
[00:01:33.000 --> 00:01:38.000]  不忘记了原来为我们安排一切的
[00:01:38.000 --> 00:01:41.000]  乃是在位上的这位的天父
[00:01:41.000 --> 00:01:45.000]  为我们准备一切的,乃是那位施恩的主
[00:01:45.000 --> 00:01:49.000]  为我们准备将来的,乃是这位带着救赎全能
[00:01:49.000 --> 00:01:52.000]  复活的主耶稣基督
[00:01:52.000 --> 00:01:56.000]  主啊,让我们今天轻轻的来在祢的面前经过的时候
[00:01:56.000 --> 00:02:00.000]  让祢的话语重重的临到我们的心里面
[00:02:00.000 --> 00:02:05.000]  让我们心里面许多的一切的属灵生活当中的事情
[00:02:05.000 --> 00:02:11.000]  都应做主祢的同在,再次的来在其中见证祢自己的名
[00:02:11.000 --> 00:02:15.000]  愿主祢宝贵的言语放在我们的心间
[00:02:15.000 --> 00:02:17.000]  也把团聚的生活放在我们的里面
[00:02:17.000 --> 00:02:20.000]  让我们再次的得着活泼的盼望
[00:02:20.000 --> 00:02:23.000]  兼顾我们,带领我们,保守我们
[00:02:23.000 --> 00:02:26.000]  让大目者主耶稣基督的恩赐
[00:02:26.000 --> 00:02:28.000]  常与我们同在
[00:02:28.000 --> 00:02:31.000]  我们这样的恩求祷告
[00:02:31.000 --> 00:02:34.000]  靠恩主耶稣基督的神灵
[00:02:34.000 --> 00:02:35.000]  Amen
[00:02:35.000 --> 00:02:37.000]  各位大家还记得上个礼拜
[00:02:37.000 --> 00:02:43.000]  上一次跟大家来分享属灵的话语
[00:02:43.000 --> 00:02:46.000]  当中以一个题目作为开始
[00:02:46.000 --> 00:02:51.000]  就是我们在危机当中能够找到上帝吗
[00:02:51.000 --> 00:02:54.000]  我们上次特别跟大家来分享
[00:02:54.000 --> 00:02:55.000]  说明一件事情
[00:02:55.000 --> 00:02:57.000]  就是我们信主的儿女们
[00:02:57.000 --> 00:03:00.000]  很多时候在患难的时候
[00:03:00.000 --> 00:03:03.000]  都与世界妥协了
[00:03:03.000 --> 00:03:07.000]  我们找一个不合福神信仰的办法
[00:03:07.000 --> 00:03:10.000]  以为在其中可以找到暂时的平安
[00:03:10.000 --> 00:03:11.000]  到最后的时候
[00:03:11.000 --> 00:03:14.000]  不能够体会上帝的恩眷
[00:03:14.000 --> 00:03:17.000]  上帝的保守和祂的大能
[00:03:17.000 --> 00:03:21.000]  今天我把这个信息的题目定为
[00:03:21.000 --> 00:03:24.000]  是谁掌管我们的一生
[00:03:24.000 --> 00:03:27.000]  我们就是用一个实实在在的例子
[00:03:27.000 --> 00:03:30.000]  发生在历史中一个家庭
[00:03:30.000 --> 00:03:33.000]  立位的家庭中的一个历史的记载
[00:03:33.000 --> 00:03:35.000]  让我们真的来看见
[00:03:35.000 --> 00:03:39.000]  这位创造天地万物的主宰
[00:03:39.000 --> 00:03:43.000]  正是掌管我们人生的主宰
[00:03:43.000 --> 00:03:45.000]  在今天开始的时候
[00:03:45.000 --> 00:03:47.000]  刚才已经念了好几节的圣经
