
[00:00:00.000 --> 00:00:02.360]  好,剛剛跟大家說一下新年快樂
[00:00:02.360 --> 00:00:05.440]  是新曆的,舊曆有機會見面再說
[00:00:05.440 --> 00:00:07.320]  其實我們香港人
[00:00:07.320 --> 00:00:09.040]  我們就是會慶祝
[00:00:09.040 --> 00:00:10.320]  和中國傳統一樣
[00:00:10.320 --> 00:00:11.840]  我們在舊曆,即是農曆
[00:00:11.840 --> 00:00:14.240]  我們才慶祝新年
[00:00:14.240 --> 00:00:15.720]  但是日本人
[00:00:15.720 --> 00:00:18.560]  他們其實和西方一樣
[00:00:18.560 --> 00:00:21.240]  在新曆那裡慶祝他們的新年
[00:00:21.240 --> 00:00:30.520]  日本的新年,他們就叫做初二
[00:00:30.520 --> 00:00:32.720]  他們讀個子字是二
[00:00:32.720 --> 00:00:34.440]  初二這樣
[00:00:34.440 --> 00:00:37.640]  這個日文叫做「初二」
[00:00:37.640 --> 00:00:38.680]  我要轉一轉Channel
[00:00:38.680 --> 00:00:40.880]  今天早上說了普通話
[00:00:40.880 --> 00:00:42.400]  撈亂了
[00:00:42.400 --> 00:00:45.920]  新年,如果大家透過看新聞都會見到
[00:00:45.920 --> 00:00:47.680]  他們就會去到神社那裡
[00:00:47.680 --> 00:00:50.080]  等到十二點就衝進去
[00:00:50.080 --> 00:00:51.280]  衝進去做什麼呢?
[00:00:51.280 --> 00:00:53.920]  就好像黃大仙的求籤那種
[00:00:53.920 --> 00:00:57.120]  大家見到新年又是攔住了黃大仙
[00:00:57.120 --> 00:00:58.280]  黃大仙的廟那裡
[00:00:58.280 --> 00:01:02.600]  有些人衝進去上頭炷香求籤
[00:01:02.600 --> 00:01:04.760]  日本人也有不同的習俗
[00:01:04.760 --> 00:01:07.280]  我就不多說太多
[00:01:07.280 --> 00:01:10.160]  譬如一開始他們都會去神社那裡
[00:01:10.160 --> 00:01:11.080]  會聚集
[00:01:11.080 --> 00:01:13.280]  然後倒數完就衝進去
[00:01:13.280 --> 00:01:14.880]  一窩蜂衝進去神社
[00:01:14.880 --> 00:01:17.280]  然後去完神社之後
[00:01:17.280 --> 00:01:19.480]  就會去一些商店街
[00:01:19.480 --> 00:01:24.160]  即是去一些商店街
[00:01:24.160 --> 00:01:27.680]  去購物或者去買一些紀念品
[00:01:27.680 --> 00:01:29.400]  或者買一些護身符
[00:01:29.400 --> 00:01:30.440]  進入神社之前
[00:01:30.440 --> 00:01:31.560]  大家見到他們有一些習俗
[00:01:31.560 --> 00:01:34.440]  就是洗手和授口
[00:01:34.440 --> 00:01:36.360]  當然我基督徒不試
[00:01:36.360 --> 00:01:38.160]  但有些朋友都叫他們不要試
[00:01:38.160 --> 00:01:39.920]  因為我曾經有朋友試過
[00:01:39.920 --> 00:01:41.920]  他說那些水是可以喝的
[00:01:41.920 --> 00:01:44.600]  我朋友喝了之後他拉了幾天
[00:01:44.600 --> 00:01:47.800]  所以朋友想試都叫他們千萬不要試
[00:01:47.800 --> 00:01:51.120]  這些異教習俗當然我們要避開
[00:01:51.120 --> 00:01:53.720]  另外他們跟我們中國特別有些相似
[00:01:53.720 --> 00:01:58.000]  就是他們剛才說了會去上香
[00:01:58.000 --> 00:02:01.560]  大概是一百日圓一束左右
[00:02:01.560 --> 00:02:03.840]  即是七塊港幣左右
