
[00:00:00.000 --> 00:00:02.000]  鄭姊妹,午安
[00:00:02.000 --> 00:00:07.000]  其實我們由今年年初開始
[00:00:07.000 --> 00:00:10.000]  就一直跟大家講希伯來書
[00:00:10.000 --> 00:00:13.000]  我們一直都是講到
[00:00:13.000 --> 00:00:16.000]  耶穌基督的優越性
[00:00:16.000 --> 00:00:18.000]  如果大家記得
[00:00:18.000 --> 00:00:20.000]  我們就提過
[00:00:20.000 --> 00:00:23.000]  他比天子、比摩西、亞伯拉罕
[00:00:23.000 --> 00:00:26.000]  甚至是麥基西德都超越
[00:00:26.000 --> 00:00:29.000]  所以在舊約的律法
[00:00:29.000 --> 00:00:32.000]  還有祭司獻上的祭
[00:00:32.000 --> 00:00:35.000]  全部都沒有辦法跟耶穌
[00:00:35.000 --> 00:00:38.000]  祂在十字架上
[00:00:38.000 --> 00:00:41.000]  為我們流血、捨身所立的新約
[00:00:41.000 --> 00:00:44.000]  並藉此去成就的救恩
[00:00:44.000 --> 00:00:47.000]  做一個比較
[00:00:47.000 --> 00:00:50.000]  既然我們有耶穌成為我們的救主
[00:00:50.000 --> 00:00:53.000]  所以呢
[00:00:53.000 --> 00:00:56.000]  這個就是我們整個的信仰基礎
[00:00:56.000 --> 00:00:59.000]  第21章
[00:00:59.000 --> 00:01:02.000]  這裡就開始了一個新的課題
[00:01:02.000 --> 00:01:05.000]  就是關於信心的教導
[00:01:05.000 --> 00:01:08.000]  前一個禮拜
[00:01:08.000 --> 00:01:11.000]  余姑娘就跟我們講了一點
[00:01:11.000 --> 00:01:14.000]  就是頭七節
[00:01:14.000 --> 00:01:17.000]  今個禮拜我就要在第八節
[00:01:17.000 --> 00:01:20.000]  接著一路講下去,去到第22節
[00:01:20.000 --> 00:01:23.000]  開始分享的先,我都想請大家
[00:01:23.000 --> 00:01:26.000]  讀一讀這段聖經,雖然是長一點
[00:01:26.000 --> 00:01:29.000]  讓我們都能夠有個初步的印象
[00:01:29.000 --> 00:01:32.000]  好,預備起
[00:01:32.000 --> 00:01:35.000]  阿伯拉罕因著信,蒙召的時候
[00:01:35.000 --> 00:01:38.000]  就遵命出去,往將來
