
[00:00:00.000 --> 00:00:02.820]  疫情這兩年多以來
[00:00:02.820 --> 00:00:06.560]  遠的 近的 很多地方都去不了
[00:00:06.560 --> 00:00:08.620]  還記得上一次出門
[00:00:08.620 --> 00:00:10.740]  真的想起也很懷念
[00:00:10.740 --> 00:00:17.200]  就是剛剛在香港的疫情蔓延之前
[00:00:17.200 --> 00:00:19.020]  2020年的農曆新年
[00:00:19.020 --> 00:00:22.080]  尖潮一行人就去了德國訪孫
[00:00:22.080 --> 00:00:24.540]  我們就去了江曉丹傳道
[00:00:24.540 --> 00:00:26.800]  他所服侍的馬爾堡這個大學城
[00:00:26.800 --> 00:00:29.020]  另外也去了一個地方叫做黑奴
[00:00:29.020 --> 00:00:30.940]  在那裡的大學城裏面
[00:00:30.940 --> 00:00:32.040]  就跟往年一樣
[00:00:32.040 --> 00:00:34.500]  我們去參加他們的團契
[00:00:34.500 --> 00:00:36.380]  主日學 崇拜
[00:00:36.380 --> 00:00:37.660]  也有家訪
[00:00:37.660 --> 00:00:41.580]  我們會去食堂宿舍派單張
[00:00:41.580 --> 00:00:44.500]  也把握了坐巴士的時間
[00:00:44.500 --> 00:00:48.860]  就去見到一些疑似貌似中國人
[00:00:48.860 --> 00:00:50.260]  華人的學生
[00:00:50.260 --> 00:00:51.860]  我們就會去搭訕
[00:00:51.860 --> 00:00:56.380]  有時候我們又會四個人去出動
[00:00:56.380 --> 00:00:58.780]  有時候我們又會分兩個兩個
[00:00:58.780 --> 00:01:01.540]  我們就可以去兩個不同的家裏
[00:01:01.540 --> 00:01:03.620]  跟他們聊天
[00:01:03.620 --> 00:01:07.260]  很感恩 在神的安排下
[00:01:07.260 --> 00:01:09.580]  剛剛好順利完成這個行程
[00:01:09.580 --> 00:01:11.980]  就在回來香港的飛機裏面
[00:01:11.980 --> 00:01:13.300]  我們就開始戴口罩
[00:01:13.300 --> 00:01:17.380]  在這場疫情迅速在全球蔓延
[00:01:17.380 --> 00:01:19.740]  我第一次聽到二人限聚
[00:01:19.740 --> 00:01:21.780]  是在2020年4月
[00:01:21.780 --> 00:01:23.300]  那時候曉丹就告訴我
[00:01:23.300 --> 00:01:25.860]  在德國已經實施二人限聚了
[00:01:25.860 --> 00:01:27.020]  當時我就覺得
