
[00:00:00.000 --> 00:00:01.540]  暑假快要過去了
[00:00:01.540 --> 00:00:04.360]  爸爸媽媽可能快可以鬆一口氣了
[00:00:04.360 --> 00:00:06.140]  如果你們的孩子要上學的話
[00:00:06.140 --> 00:00:07.940]  因為要照顧他們嘛
[00:00:07.940 --> 00:00:09.980]  八月底應該就要上學
[00:00:09.980 --> 00:00:12.040]  其實這段時間
[00:00:12.040 --> 00:00:13.060]  還是一個
[00:00:13.060 --> 00:00:15.360]  大家旅行的季節來的
[00:00:15.360 --> 00:00:18.440]  我知道在座裡面很多已經去了旅行回來
[00:00:18.440 --> 00:00:20.480]  有些可能正在計劃
[00:00:20.480 --> 00:00:22.280]  說到旅行的時候
[00:00:22.280 --> 00:00:25.080]  我們就充滿期待的
[00:00:25.080 --> 00:00:26.360]  為什麼你會去旅行
[00:00:26.880 --> 00:00:30.720]  不外兩三個目的,第一個是探親友
[00:00:30.720 --> 00:00:33.540]  好久沒見面了,見面了,聊聊天最後一句
[00:00:33.540 --> 00:00:34.560]  第二樣東西呢
[00:00:34.560 --> 00:00:37.380]  去散心,去解壓
[00:00:37.380 --> 00:00:38.920]  因為現在做人太艱難了
[00:00:38.920 --> 00:00:40.440]  我們的社會
[00:00:40.440 --> 00:00:41.720]  我們的世界
[00:00:41.720 --> 00:00:43.520]  我們的工作環境
[00:00:43.520 --> 00:00:45.820]  很多時候給我們很多的壓力
[00:00:45.820 --> 00:00:47.620]  增加我們很多的憂慮
[00:00:47.620 --> 00:00:51.460]  甚至到時候,弄不順了,我要出去走走
[00:00:51.460 --> 00:00:53.240]  旅行就最好了
[00:00:53.240 --> 00:00:54.520]  出去散散心
[00:00:55.560 --> 00:00:58.380]  去旅行的時候,真的很興奮
[00:00:58.380 --> 00:00:59.660]  但是
[00:00:59.660 --> 00:01:02.220]  到底我們去旅行之前
[00:01:02.220 --> 00:01:07.340]  我知道今天下午有些年輕人會去Camell,是不是Camell還是其他地方
[00:01:07.340 --> 00:01:08.100]  Anyway
[00:01:08.100 --> 00:01:09.900]  怎樣才能夠成行
[00:01:09.900 --> 00:01:12.200]  你怎樣才知道你能夠去到目的地
[00:01:12.200 --> 00:01:14.000]  How,OK
[00:01:14.000 --> 00:01:16.560]  好簡單,第一
[00:01:16.560 --> 00:01:18.340]  要做什麼
[00:01:18.340 --> 00:01:22.440]  去旅行,去哪裡,什麼地方
[00:01:22.440 --> 00:01:24.500]  那裡有什麼好玩的
[00:01:25.000 --> 00:01:29.340]  吸引我去那裡旅行,可以解壓
[00:01:29.340 --> 00:01:30.880]  我們中國人最重要
[00:01:30.880 --> 00:01:32.160]  有什麼好東西吃
[00:01:32.160 --> 00:01:38.820]  有什麼好餐廳,到時候就可以飽嘗美食
[00:01:38.820 --> 00:01:41.120]  然後又可以輕鬆一下
[00:01:41.120 --> 00:01:43.440]  除此之外呢
[00:01:43.440 --> 00:01:45.480]  還有什麼需要準備
[00:01:45.480 --> 00:01:48.040]  你才知道今次出行補問題
[00:01:48.040 --> 00:01:49.580]  訂酒店
[00:01:49.840 --> 00:01:55.980]  訂酒店或者AirBnB
[00:01:55.980 --> 00:02:00.840]  訂酒店OK,這個很重要,要住
[00:02:00.840 --> 00:02:03.400]  除此之外呢
[00:02:03.400 --> 00:02:05.960]  如果你要飛的話
[00:02:05.960 --> 00:02:08.020]  有沒有機票
[00:02:08.020 --> 00:02:11.340]  有機票,那就要住
[00:02:11.340 --> 00:02:14.160]  現在有沒有要Real ID
[00:02:14.160 --> 00:02:17.480]  沒有Real ID,你就要用護照
[00:02:18.520 --> 00:02:20.320]  有沒有過期,看護照
[00:02:20.320 --> 00:02:22.360]  是不是up to date
[00:02:22.360 --> 00:02:26.200]  你去旅行的地方
